Item_ID,Item_Name,Price,Sell_Price,Hold_Effect,Hold_Effect_Param,Natural_Gift_Power,Natural_Gift_Type,Pluck_Effect,SLP_Heal,PSN_Heal,BRN_Heal,FRZ_Heal,PRZ_Heal,HP_Restore,HP_Restore_Param,Shop_Locations,Given_At_Locations
180,ITEM_PAMTRE_BERRY,20,10,0,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
181,ITEM_WATMEL_BERRY,20,10,0,0,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
182,ITEM_DURIN_BERRY,20,10,0,0,0,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,SEWER ROOM 03 (H#0380)
183,ITEM_BELUE_BERRY,20,10,0,0,0,13,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
184,ITEM_OCCA_BERRY,80,40,0,0,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
185,ITEM_PASSHO_BERRY,80,40,0,0,0,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
186,ITEM_WACAN_BERRY,80,40,0,0,0,13,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
187,ITEM_RINDO_BERRY,80,40,0,0,0,12,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
188,ITEM_YACHE_BERRY,80,40,0,0,0,15,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
189,ITEM_CHOPLE_BERRY,80,40,0,0,0,1,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
190,ITEM_KEBIA_BERRY,80,40,0,0,0,3,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
191,ITEM_SHUCA_BERRY,80,40,0,0,0,4,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
192,ITEM_COBA_BERRY,80,40,0,0,0,2,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
193,ITEM_PAYAPA_BERRY,80,40,0,0,0,14,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
194,ITEM_TANGA_BERRY,80,40,0,0,0,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
195,ITEM_CHARTI_BERRY,80,40,0,0,0,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
196,ITEM_KASIB_BERRY,80,40,0,0,0,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
197,ITEM_HABAN_BERRY,80,40,0,0,0,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
198,ITEM_COLBUR_BERRY,80,40,0,0,0,17,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
199,ITEM_BABIRI_BERRY,80,40,0,0,0,8,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
200,ITEM_CHILAN_BERRY,80,40,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
201,ITEM_LIECHI_BERRY,80,40,0,4,0,12,16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
202,ITEM_GANLON_BERRY,80,40,0,4,0,15,17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
203,ITEM_SALAC_BERRY,80,40,0,4,0,1,18,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
204,ITEM_PETAYA_BERRY,80,40,0,4,0,3,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
205,ITEM_APICOT_BERRY,80,40,0,4,0,4,20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
206,ITEM_LANSAT_BERRY,80,40,0,4,0,2,21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
207,ITEM_STARF_BERRY,80,40,0,4,0,14,22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
208,ITEM_ENIGMA_BERRY,80,40,0,4,0,6,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
209,ITEM_MICLE_BERRY,80,40,0,4,0,5,23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
210,ITEM_CUSTAP_BERRY,80,40,0,4,0,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
211,ITEM_JABOCA_BERRY,80,40,0,8,0,16,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
212,ITEM_ROWAP_BERRY,80,40,0,8,0,17,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
686,ITEM_ROSELI_BERRY,80,40,0,0,0,18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,,
