Item_ID,Item_Name,Pocket,Price,Sell_Price,Hold_Effect,Hold_Effect_Param,Fling_Power,Fling_Effect,Natural_Gift_Power,Natural_Gift_Type,Prevent_Toss,Selectable,Field_Use_Func,Battle_Use_Func,Shop_Locations,Given_At_Locations
14,ITEM_HEAL_BALL,Poké Balls,300,150,0,0,0,0,0,31,FALSE,FALSE,0,1,HAMP 03 PM01 (H#0026) [Cherrygrove City Mart] | LOBA 03 PM02 (H#0059) [Violet City Mart] | LOBA 03 PM02 (H#0059) [Ecruteak Mart] | MELT 03 PM03 (H#0110) [Violet City Mart] | DANB 04 PM04 (H#0140) [Violet City Mart] | DANB 04 PM04 (H#0140) [Azalea City Mart] | BAIR 03 PM05 (H#0253) [Violet City Mart] | BAIR 03 PM05 (H#0253) [Olivine Mart] | SHED 03 PM06 (H#0282) [Violet City Mart] | DALI 03 PM07 (H#0302) [Violet City Mart] | RADE 04 PM08 (H#0359) [Violet City Mart] | TROO 04 PM09 (H#0413) [Violet City Mart] | T03FS0101 (H#0474) [Violet City Mart] | T08FS0101 (H#0478) [Violet City Mart] | D32FS0101 (H#0530) [Violet City Mart],
15,ITEM_QUICK_BALL,Poké Balls,1000,500,0,0,0,0,0,31,FALSE,FALSE,0,1,DALI 03 PM07 (H#0302) [Vermilion And Safari Mart] | RADE 04 PM08 (H#0359) [Saffron Mart] | MANSION A5 (H#0396) [Vermilion And Safari Mart] | TROO 04 PM09 (H#0413) [Cerulean Mart] | T03FS0101 (H#0474) [Pewter Mart] | T08FS0101 (H#0478) [Fuschia Mart],
16,ITEM_CHERISH_BALL,Poké Balls,200,100,0,0,0,0,0,31,FALSE,FALSE,0,1,,T08R0201 (H#0479)
17,ITEM_POTION,Medicine,200,100,0,20,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 0 badges),MAUN 09 LAB01 (H#0019)
18,ITEM_ANTIDOTE,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 0 badges),
19,ITEM_BURN_HEAL,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
20,ITEM_ICE_HEAL,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
21,ITEM_AWAKENING,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
22,ITEM_PARALYZE_HEAL,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 0 badges),
23,ITEM_FULL_RESTORE,Medicine,3000,1500,0,255,30,0,0,31,FALSE,FALSE,1,2,Badge Mart (unlocks at 8 badges),
24,ITEM_MAX_POTION,Medicine,2500,1250,0,255,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 7 badges),
25,ITEM_HYPER_POTION,Medicine,1500,750,0,200,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 5 badges),
26,ITEM_SUPER_POTION,Medicine,700,350,0,50,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 1 badge),
27,ITEM_FULL_HEAL,Medicine,400,200,0,0,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 5 badges),
28,ITEM_REVIVE,Medicine,2000,1000,0,0,30,0,0,31,FALSE,FALSE,1,2,DEPART 1 F2 (H#0169) [Goldenrod Department Upper2 F] | SHED 05 HS23 (H#0284) [Cianwood Pharmacy] | DEPART 2 F2 (H#0448) [Celadon Department Upper2 F] | Badge Mart (unlocks at 3 badges),
29,ITEM_MAX_REVIVE,Medicine,4000,2000,0,0,30,0,0,31,FALSE,FALSE,1,2,,
30,ITEM_FRESH_WATER,Medicine,200,100,0,50,30,0,0,31,FALSE,FALSE,1,2,RADE F2 LIBRY (H#0372) [Mt Moon Square] | D02FS0101 (H#0518) [Mt Moon Square],
31,ITEM_SODA_POP,Medicine,300,150,0,60,30,0,0,31,FALSE,FALSE,1,2,RADE F2 LIBRY (H#0372) [Mt Moon Square] | D02FS0101 (H#0518) [Mt Moon Square],
32,ITEM_LEMONADE,Medicine,400,200,0,80,30,0,0,31,FALSE,FALSE,1,2,RADE F2 LIBRY (H#0372) [Mt Moon Square] | D02FS0101 (H#0518) [Mt Moon Square],
33,ITEM_MOOMOO_MILK,Medicine,600,300,0,100,30,0,0,31,FALSE,FALSE,1,2,,
34,ITEM_ENERGY_POWDER,Medicine,500,250,0,0,30,0,0,31,FALSE,FALSE,1,2,,
35,ITEM_ENERGY_ROOT,Medicine,1200,600,0,0,30,0,0,31,FALSE,FALSE,1,2,,
36,ITEM_HEAL_POWDER,Medicine,300,150,0,0,30,0,0,31,FALSE,FALSE,1,2,,
37,ITEM_REVIVAL_HERB,Medicine,2800,1400,0,0,30,0,0,31,FALSE,FALSE,1,2,,
38,ITEM_ETHER,Medicine,1200,600,0,10,30,0,0,31,FALSE,FALSE,1,2,,RADE 06 HS30 (H#0361)
39,ITEM_MAX_ETHER,Medicine,2000,1000,0,255,30,0,0,31,FALSE,FALSE,1,2,,
40,ITEM_ELIXIR,Medicine,3000,1500,0,10,30,0,0,31,FALSE,FALSE,1,2,,
41,ITEM_MAX_ELIXIR,Medicine,4500,2250,0,255,30,0,0,31,FALSE,FALSE,1,2,,
42,ITEM_LAVA_COOKIE,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,2,,
43,ITEM_BERRY_JUICE,Medicine,100,50,0,20,30,0,0,31,FALSE,FALSE,1,2,,
44,ITEM_SACRED_ASH,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,0,,RADE 01 GV09 (H#0356)
45,ITEM_HP_UP,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,DEPART 1 F4 (H#0171) [Goldenrod Department4 F] | MANSION A5 (H#0396) [Goldenrod Department4 F] | DEPART 2 F5 (H#0451) [Celadon Department Right5 F],A HQ1 F2 (H#0062) | LOBA 07 GV01 (H#0082) | A HQ1 F2 (H#0180) | D HQ1 F2 (H#0186)
46,ITEM_PROTEIN,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,DEPART 1 F4 (H#0171) [Goldenrod Department4 F] | MANSION A5 (H#0396) [Goldenrod Department4 F] | DEPART 2 F5 (H#0451) [Celadon Department Right5 F],
47,ITEM_IRON,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,DEPART 1 F4 (H#0171) [Goldenrod Department4 F] | MANSION A5 (H#0396) [Goldenrod Department4 F] | DEPART 2 F5 (H#0451) [Celadon Department Right5 F],
48,ITEM_CARBOS,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,DEPART 1 F4 (H#0171) [Goldenrod Department4 F] | MANSION A5 (H#0396) [Goldenrod Department4 F] | DEPART 2 F5 (H#0451) [Celadon Department Right5 F],
49,ITEM_CALCIUM,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,DEPART 1 F4 (H#0171) [Goldenrod Department4 F] | MANSION A5 (H#0396) [Goldenrod Department4 F] | DEPART 2 F5 (H#0451) [Celadon Department Right5 F],
50,ITEM_RARE_CANDY,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,,SEWER ROOM 04 (H#0381)
51,ITEM_PP_UP,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,,
52,ITEM_ZINC,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,DEPART 1 F4 (H#0171) [Goldenrod Department4 F] | MANSION A5 (H#0396) [Goldenrod Department4 F] | DEPART 2 F5 (H#0451) [Celadon Department Right5 F],
53,ITEM_PP_MAX,Medicine,10000,5000,0,0,30,0,0,31,FALSE,FALSE,1,0,,
54,ITEM_OLD_GATEAU,Medicine,200,100,0,0,30,0,0,31,FALSE,FALSE,1,2,,
55,ITEM_GUARD_SPEC,Battle Items,1500,750,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
56,ITEM_DIRE_HIT,Battle Items,1000,500,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
57,ITEM_X_ATTACK,Battle Items,1000,500,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
58,ITEM_X_DEFENSE,Battle Items,2000,1000,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
59,ITEM_X_SPEED,Battle Items,1000,500,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
60,ITEM_X_ACCURACY,Battle Items,1000,500,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
61,ITEM_X_SP_ATK,Battle Items,1000,500,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
62,ITEM_X_SP_DEF,Battle Items,2000,1000,0,0,30,0,0,31,FALSE,FALSE,0,0,DEPART 1 F3 (H#0170) [Goldenrod Department3 F] | DEPART 2 F5 (H#0451) [Celadon Department Left5 F],
63,ITEM_POKE_DOLL,Battle Items,300,150,0,0,30,0,0,31,FALSE,FALSE,0,3,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | RADE F2 LIBRY (H#0372) [Mt Moon Square] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | D02FS0101 (H#0518) [Mt Moon Square],
64,ITEM_FLUFFY_TAIL,Battle Items,1000,500,0,0,30,0,0,31,FALSE,FALSE,0,3,,
65,ITEM_BLUE_FLUTE,Battle Items,100,50,0,0,30,0,0,31,FALSE,FALSE,0,0,,
66,ITEM_YELLOW_FLUTE,Battle Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
67,ITEM_RED_FLUTE,Battle Items,300,150,0,0,30,0,0,31,FALSE,FALSE,0,0,,
68,ITEM_BLACK_FLUTE,Items,400,200,0,50,30,0,0,31,FALSE,FALSE,19,0,,
69,ITEM_WHITE_FLUTE,Items,500,250,0,150,30,0,0,31,FALSE,FALSE,19,0,,
70,ITEM_SHOAL_SALT,Items,20,10,0,0,30,0,0,31,FALSE,FALSE,0,0,,
71,ITEM_SHOAL_SHELL,Items,20,10,0,0,30,0,0,31,FALSE,FALSE,0,0,,
72,ITEM_RED_SHARD,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
73,ITEM_BLUE_SHARD,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
74,ITEM_YELLOW_SHARD,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
75,ITEM_GREEN_SHARD,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
76,ITEM_SUPER_REPEL,Items,500,250,0,200,30,0,0,31,FALSE,FALSE,19,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 3 badges),
77,ITEM_MAX_REPEL,Items,700,350,0,250,30,0,0,31,FALSE,FALSE,19,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 5 badges),
78,ITEM_ESCAPE_ROPE,Items,550,275,0,0,30,0,0,31,FALSE,FALSE,21,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | Badge Mart (unlocks at 1 badge),
79,ITEM_REPEL,Items,350,175,0,100,30,0,0,31,FALSE,FALSE,19,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | RADE F2 LIBRY (H#0372) [Mt Moon Square] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F] | D02FS0101 (H#0518) [Mt Moon Square] | Badge Mart (unlocks at 1 badge),
80,ITEM_SUN_STONE,Items,3000,1500,0,0,30,0,0,31,FALSE,FALSE,20,0,,
81,ITEM_MOON_STONE,Items,3000,1500,0,0,30,0,0,31,FALSE,FALSE,20,0,,
82,ITEM_FIRE_STONE,Items,3000,1500,0,0,30,0,0,31,FALSE,FALSE,20,0,,
83,ITEM_THUNDER_STONE,Items,3000,1500,0,0,30,0,0,31,FALSE,FALSE,20,0,,
84,ITEM_WATER_STONE,Items,3000,1500,0,0,30,0,0,31,FALSE,FALSE,20,0,,
85,ITEM_LEAF_STONE,Items,3000,1500,0,0,30,0,0,31,FALSE,FALSE,20,0,,
86,ITEM_TINY_MUSHROOM,Items,1000,500,0,0,30,0,0,31,FALSE,FALSE,0,0,,
87,ITEM_BIG_MUSHROOM,Items,10000,5000,0,0,30,0,0,31,FALSE,FALSE,0,0,,
88,ITEM_PEARL,Items,4000,2000,0,0,30,0,0,31,FALSE,FALSE,0,0,,
89,ITEM_BIG_PEARL,Items,16000,8000,0,0,30,0,0,31,FALSE,FALSE,0,0,,
90,ITEM_STARDUST,Items,6000,3000,0,0,30,0,0,31,FALSE,FALSE,0,0,,
91,ITEM_STAR_PIECE,Items,24000,12000,0,0,30,0,0,31,FALSE,FALSE,0,0,,
92,ITEM_NUGGET,Items,20000,10000,0,0,30,0,0,31,FALSE,FALSE,0,0,,- (H#0263)
93,ITEM_HEART_SCALE,Items,100,50,0,0,30,0,0,31,FALSE,FALSE,0,0,,
94,ITEM_HONEY,Items,900,450,0,0,30,0,0,31,FALSE,FALSE,14,0,,
95,ITEM_GROWTH_MULCH,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
96,ITEM_DAMP_MULCH,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
97,ITEM_STABLE_MULCH,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
98,ITEM_GOOEY_MULCH,Items,200,100,0,0,30,0,0,31,FALSE,FALSE,0,0,,
99,ITEM_ROOT_FOSSIL,Items,1000,500,0,0,100,0,0,31,FALSE,FALSE,0,0,,
100,ITEM_CLAW_FOSSIL,Items,1000,500,0,0,100,0,0,31,FALSE,FALSE,0,0,,
101,ITEM_HELIX_FOSSIL,Items,1000,500,0,0,100,0,0,31,FALSE,FALSE,0,0,,
102,ITEM_DOME_FOSSIL,Items,1000,500,0,0,100,0,0,31,FALSE,FALSE,0,0,,
103,ITEM_OLD_AMBER,Items,1000,500,0,0,100,0,0,31,FALSE,FALSE,0,0,,
104,ITEM_ARMOR_FOSSIL,Items,1000,500,0,0,100,0,0,31,FALSE,FALSE,0,0,,
105,ITEM_SKULL_FOSSIL,Items,1000,500,0,0,100,0,0,31,FALSE,FALSE,0,0,,
106,ITEM_RARE_BONE,Items,10000,5000,0,0,100,0,0,31,FALSE,FALSE,0,0,,
107,ITEM_SHINY_STONE,Items,3000,1500,0,0,80,0,0,31,FALSE,FALSE,20,0,,
108,ITEM_DUSK_STONE,Items,3000,1500,0,0,80,0,0,31,FALSE,FALSE,20,0,,
109,ITEM_DAWN_STONE,Items,3000,1500,0,0,80,0,0,31,FALSE,FALSE,20,0,,
110,ITEM_OVAL_STONE,Items,2000,1000,0,0,80,0,0,31,FALSE,FALSE,20,0,,
111,ITEM_ODD_KEYSTONE,Items,2100,1050,0,0,80,0,0,31,FALSE,FALSE,0,0,,
112,ITEM_GRISEOUS_ORB,Items,10000,5000,0,20,60,0,0,31,FALSE,FALSE,0,0,,
113,ITEM_TEA,Key Items,0,0,0,0,0,0,0,31,TRUE,FALSE,0,0,,
114,ITEM_UNKNOWN_72,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
115,ITEM_AUTOGRAPH,Key Items,0,0,0,0,0,0,0,31,TRUE,FALSE,0,0,,
116,ITEM_DOUSE_DRIVE,Items,1000,500,0,0,70,0,0,31,FALSE,FALSE,0,0,,
117,ITEM_SHOCK_DRIVE,Items,1000,500,0,0,70,0,0,31,FALSE,FALSE,0,0,,
118,ITEM_BURN_DRIVE,Items,1000,500,0,0,70,0,0,31,FALSE,FALSE,0,0,,
119,ITEM_CHILL_DRIVE,Items,1000,500,0,0,70,0,0,31,FALSE,FALSE,0,0,,
120,ITEM_UNKNOWN_78,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
121,ITEM_POKEMON_BOX,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
122,ITEM_UNKNOWN_7A,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
123,ITEM_UNKNOWN_7B,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
124,ITEM_UNKNOWN_7C,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
125,ITEM_UNKNOWN_7D,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
126,ITEM_UNKNOWN_7E,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
127,ITEM_UNKNOWN_7F,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
128,ITEM_UNKNOWN_80,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
129,ITEM_UNKNOWN_81,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
130,ITEM_UNKNOWN_82,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
131,ITEM_UNKNOWN_83,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
132,ITEM_UNKNOWN_84,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
133,ITEM_UNKNOWN_85,Items,0,0,0,0,0,0,0,0,FALSE,FALSE,0,0,,
134,ITEM_SWEET_HEART,Medicine,100,50,0,20,30,0,0,31,FALSE,FALSE,1,2,,
135,ITEM_ADAMANT_ORB,Items,10000,5000,0,20,60,0,0,31,FALSE,FALSE,0,0,,
136,ITEM_LUSTROUS_ORB,Items,10000,5000,0,20,60,0,0,31,FALSE,FALSE,0,0,,
137,ITEM_GRASS_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F],
138,ITEM_FLAME_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F],
139,ITEM_BUBBLE_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F],
140,ITEM_BLOOM_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,DANB 04 PM04 (H#0140) [Azalea City Mart] | DEPART 2 F4 (H#0450) [Celadon Department4 F],
141,ITEM_TUNNEL_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,LOBA 03 PM02 (H#0059) [Violet City Mart] | MELT 03 PM03 (H#0110) [Violet City Mart] | DANB 04 PM04 (H#0140) [Violet City Mart] | BAIR 03 PM05 (H#0253) [Violet City Mart] | SHED 03 PM06 (H#0282) [Violet City Mart] | DALI 03 PM07 (H#0302) [Violet City Mart] | RADE 04 PM08 (H#0359) [Violet City Mart] | TROO 04 PM09 (H#0413) [Violet City Mart] | DEPART 2 F4 (H#0450) [Celadon Department4 F] | T03FS0101 (H#0474) [Violet City Mart] | T08FS0101 (H#0478) [Violet City Mart] | D32FS0101 (H#0530) [Violet City Mart],
142,ITEM_STEEL_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,T03FS0101 (H#0474) [Pewter Mart] | T08FS0101 (H#0478) [Fuschia Mart],
143,ITEM_HEART_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,LOBA 03 PM02 (H#0059) [Ecruteak Mart] | BAIR 03 PM05 (H#0253) [Olivine Mart] | RADE F2 LIBRY (H#0372) [Mt Moon Square] | D02FS0101 (H#0518) [Mt Moon Square],
144,ITEM_SNOW_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,,
145,ITEM_SPACE_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,DEPART 1 F2 (H#0169) [Goldenrod Department Lower2 F] | DEPART 2 F2 (H#0448) [Celadon Department Lower2 F],
146,ITEM_AIR_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,HAMP 03 PM01 (H#0026) [Cherrygrove City Mart] | SHED 03 PM06 (H#0282) [Blackthorn And Battle Frontier Mart] | DALI 03 PM07 (H#0302) [Vermilion And Safari Mart] | RADE 04 PM08 (H#0359) [Saffron Mart] | MANSION A5 (H#0396) [Vermilion And Safari Mart] | TROO 04 PM09 (H#0413) [Cerulean Mart] | DEPART 2 F4 (H#0450) [Celadon Department4 F] | D32FS0101 (H#0530) [Blackthorn And Battle Frontier Mart],
147,ITEM_MOSAIC_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,,
148,ITEM_BRICK_MAIL,Mail,50,25,0,0,0,0,0,31,FALSE,FALSE,7,0,,
149,ITEM_CHERI_BERRY,Berries,80,40,0,0,10,1,0,10,FALSE,FALSE,8,0,,
150,ITEM_CHESTO_BERRY,Berries,80,40,0,0,10,2,0,11,FALSE,FALSE,8,0,,
151,ITEM_PECHA_BERRY,Berries,80,40,0,0,10,3,0,13,FALSE,FALSE,8,0,,ULURU 4 A1 (H#0346) | ULURU 4 A2 (H#0347) | ULURU 4 A3 (H#0350)
152,ITEM_RAWST_BERRY,Berries,80,40,0,0,10,4,0,12,FALSE,FALSE,8,0,,
153,ITEM_ASPEAR_BERRY,Berries,80,40,0,0,10,5,0,15,FALSE,FALSE,8,0,,
154,ITEM_LEPPA_BERRY,Berries,80,40,0,10,10,6,0,1,FALSE,FALSE,8,0,,
155,ITEM_ORAN_BERRY,Berries,80,40,0,10,10,7,0,3,FALSE,FALSE,8,0,,ULURU 4 A1 (H#0346) | ULURU 4 A2 (H#0347) | ULURU 4 A3 (H#0350)
