script_file,section,command,args
0002,function,SetVar,0x8004 4
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,OpenTouchScreen,
0002,function,YesNoTouchScreen,0x800C
0002,function,CompareVarValue,0x800C 0
0002,function,JumpIf,DIFFERENT Function#2
0002,function,FadeScreen,6 1 0 0
0002,function,WaitFadeScreen,
0002,function,CloseMessage,
0002,function,HideSpecialCurrency,
0002,function,ChoosePokemonSelection,
0002,function,GetSelectedPartySlot,0x8001
0002,function,ReturnScreen,
0002,function,ShowSpecialCurrency,1 21 1
0002,function,FadeScreen,6 1 1 0
0002,function,WaitFadeScreen,
0002,function,CompareVarValue,0x8001 255
0002,function,JumpIf,EQUAL Function#2
0002,function,GetPartyPokemonID,0x8001 0x8002
0002,function,CompareVarValue,0x8002 0
0002,function,JumpIf,EQUAL Function#3
0002,function,GetTutorPageQuantity,0x8001 0x8000 0x8002
0002,function,CompareVarValue,0x8002 0
0002,function,JumpIf,EQUAL Function#4
0002,function,Jump,Function#5
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#6
0002,function,Message,15
0002,function,Jump,Function#7
0002,function,Message,40
0002,function,WaitButton,
0002,function,CloseMessage,
0002,function,CloseTouchScreen,
0002,function,HideSpecialCurrency,
0002,function,OverlayManager,3 1
0002,function,LocalScript,
0002,function,End,
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#8
0002,function,Message,5
0002,function,Jump,Function#9
0002,function,SetVar,0x8004 0
0002,function,OpenTouchScreen,
0002,function,CMD_490,0x8000
0002,function,CMD_490,0x8001
0002,function,CMD_490,0x8002
0002,function,CMD_490,0x8003
0002,function,MoveTutorChooseMove,0x8001 0x8000 0x8004 0x800C
0002,function,CMD_490,0x8000
0002,function,CMD_490,0x8001
0002,function,CMD_490,0x8002
0002,function,CMD_490,0x8003
0002,function,SetVarFromVariable,0x8003 0x800C
0002,function,CompareVarValue,0x8003 0xFFFD
0002,function,JumpIf,DIFFERENT Function#10
0002,function,IncrementVar,0x8004 1
0002,function,CompareVars,0x8004 0x8002
0002,function,JumpIf,LESS Function#11
0002,function,SetVar,0x8004 0
0002,function,Jump,Function#11
0002,function,CompareVarValue,0x8007 1
0002,function,JumpIf,DIFFERENT Function#12
0002,function,Message,27
0002,function,Jump,Function#7
0002,function,WaitButton,
0002,function,CloseMessage,
0002,function,CloseTouchScreen,
0002,function,HideSpecialCurrency,
0002,function,OverlayManager,3 1
0002,function,LocalScript,
0002,function,End,
0002,function,CompareVarValue,0x8007 1
0002,function,JumpIf,DIFFERENT Function#13
0002,function,Message,17
0002,function,Jump,Function#9
0002,function,Jump,Function#14
0002,function,CompareVarValue,0x8003 0xFFFE
0002,function,JumpIf,DIFFERENT Function#15
0002,function,TextPokeNickname,0 0x8001
0002,function,SetVar,0x8004 7
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,YesNoTouchScreen,0x800C
0002,function,CompareVarValue,0x800C 0
0002,function,JumpIf,EQUAL Function#2
0002,function,SetVar,0x8004 0
0002,function,CloseMessage,
0002,function,Jump,Function#11
0002,function,MoveTutorChooseMove,0x8001 0x8000 0x8004 0x800C
0002,function,CMD_490,0x8000
0002,function,CMD_490,0x8001
0002,function,CMD_490,0x8002
0002,function,CMD_490,0x8003
0002,function,SetVarFromVariable,0x8003 0x800C
0002,function,CompareVarValue,0x8003 0xFFFD
0002,function,JumpIf,DIFFERENT Function#10
0002,function,IncrementVar,0x8004 1
0002,function,CompareVars,0x8004 0x8002
0002,function,JumpIf,LESS Function#11
0002,function,SetVar,0x8004 0
0002,function,Jump,Function#11
0002,function,Message,39
0002,function,WaitButton,
0002,function,CloseMessage,
0002,function,CloseTouchScreen,
0002,function,HideSpecialCurrency,
0002,function,OverlayManager,3 1
0002,function,LocalScript,
0002,function,End,
0002,function,Message,29
0002,function,Jump,Function#14
0002,function,FadeScreen,6 1 0 0
0002,function,WaitFadeScreen,
0002,function,CloseMessage,
0002,function,HideSpecialCurrency,
0002,function,ChoosePokemonSelection,
0002,function,GetSelectedPartySlot,0x8001
0002,function,ReturnScreen,
0002,function,ShowSpecialCurrency,1 21 1
0002,function,FadeScreen,6 1 1 0
0002,function,WaitFadeScreen,
0002,function,CompareVarValue,0x8001 255
0002,function,JumpIf,EQUAL Function#2
0002,function,GetPartyPokemonID,0x8001 0x8002
0002,function,CompareVarValue,0x8002 0
0002,function,JumpIf,EQUAL Function#3
0002,function,GetTutorPageQuantity,0x8001 0x8000 0x8002
0002,function,CompareVarValue,0x8002 0
0002,function,JumpIf,EQUAL Function#4
0002,function,Jump,Function#5
0002,function,TutorMoveGetPrice,0x8003 0x8005
0002,function,CheckBP,0x8005 0x800C
0002,function,CompareVarValue,0x800C 0
0002,function,JumpIf,EQUAL Function#16
0002,function,Jump,Function#17
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#18
0002,function,Message,6
0002,function,Jump,Function#19
0002,function,TextPokeNickname,0 0x8001
0002,function,TextMove,1 0x8003
0002,function,GetMoveCount,0x8006 0x8001
0002,function,CompareVarValue,0x8006 4
0002,function,JumpIf,LESS Function#20
0002,function,SetVar,0x8004 8
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,OpenTouchScreen,
0002,function,YesNoTouchScreen,0x800C
0002,function,CompareVarValue,0x800C 1
0002,function,JumpIf,EQUAL Function#21
0002,function,FadeScreen,6 1 0 0
0002,function,WaitFadeScreen,
0002,function,CloseMessage,
0002,function,HideSpecialCurrency,
0002,function,PokemonSummaryScreen,1 0x8001 0x8003
0002,function,GetMoveSelection,1 0x8006
0002,function,CMD_490,0x8006
0002,function,ReturnScreen,
0002,function,ShowSpecialCurrency,1 21 1
0002,function,FadeScreen,6 1 1 0
0002,function,WaitFadeScreen,
0002,function,CompareVarValue,0x8006 4
0002,function,JumpIf,EQUAL Function#21
0002,function,CMD_490,0x8006
0002,function,TextPartyPokemonMove,2 0x8001 0x8006
0002,function,SetVar,0x8004 9
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,OpenTouchScreen,
0002,function,YesNoTouchScreen,0x800C
0002,function,CompareVarValue,0x800C 1
0002,function,JumpIf,EQUAL Function#21
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#22
0002,function,Message,12
0002,function,Jump,Function#23
0002,function,CompareVarValue,0x8007 1
0002,function,JumpIf,DIFFERENT Function#24
0002,function,Message,18
0002,function,Jump,Function#19
0002,function,Jump,Function#2
0002,function,TextMove,1 0x8003
0002,function,SetVar,0x8004 14
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,PlaySound,SEQ_ME_LVUP
0002,function,WaitSound,
0002,function,TakeBP,0x8005
0002,function,UpdateSpecialCurrency,1
0002,function,TutorMoveTeachInSlot,0x8001 0x8006 0x8003
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#6
0002,function,Message,15
0002,function,Jump,Function#7
0002,function,SetVar,0x8004 10
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,OpenTouchScreen,
0002,function,YesNoTouchScreen,0x800C
0002,function,CloseTouchScreen,
0002,function,CompareVarValue,0x800C 1
0002,function,JumpIf,EQUAL Function#25
0002,function,SetVar,0x8004 11
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,Jump,Function#2
0002,function,CompareVarValue,0x8007 1
0002,function,JumpIf,DIFFERENT Function#26
0002,function,Message,24
0002,function,Jump,Function#23
0002,function,PlayFanfare,SEQ_SE_DP_KON
0002,function,WaitFanfare,SEQ_SE_DP_KON
0002,function,WaitTime,30 0x800C
0002,function,TextPartyPokemonMove,1 0x8001 0x8006
0002,function,SetVar,0x8004 13
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,TextMove,1 0x8003
0002,function,SetVar,0x8004 14
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,PlaySound,SEQ_ME_LVUP
0002,function,WaitSound,
0002,function,TakeBP,0x8005
0002,function,UpdateSpecialCurrency,1
0002,function,TutorMoveTeachInSlot,0x8001 0x8006 0x8003
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#6
0002,function,Message,15
0002,function,Jump,Function#7
0002,function,Message,30
0002,function,Jump,Function#2
0002,function,SetVar,0x8004 8
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,OpenTouchScreen,
0002,function,YesNoTouchScreen,0x800C
0002,function,CompareVarValue,0x800C 1
0002,function,JumpIf,EQUAL Function#21
0002,function,FadeScreen,6 1 0 0
0002,function,WaitFadeScreen,
0002,function,CloseMessage,
0002,function,HideSpecialCurrency,
0002,function,PokemonSummaryScreen,1 0x8001 0x8003
0002,function,GetMoveSelection,1 0x8006
0002,function,CMD_490,0x8006
0002,function,ReturnScreen,
0002,function,ShowSpecialCurrency,1 21 1
0002,function,FadeScreen,6 1 1 0
0002,function,WaitFadeScreen,
0002,function,CompareVarValue,0x8006 4
0002,function,JumpIf,EQUAL Function#21
0002,function,CMD_490,0x8006
0002,function,TextPartyPokemonMove,2 0x8001 0x8006
0002,function,SetVar,0x8004 9
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,OpenTouchScreen,
0002,function,YesNoTouchScreen,0x800C
0002,function,CompareVarValue,0x800C 1
0002,function,JumpIf,EQUAL Function#21
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#22
0002,function,Message,12
0002,function,Jump,Function#23
0002,function,Message,36
0002,function,PlayFanfare,SEQ_SE_DP_KON
0002,function,WaitFanfare,SEQ_SE_DP_KON
0002,function,WaitTime,30 0x800C
0002,function,TextPartyPokemonMove,1 0x8001 0x8006
0002,function,SetVar,0x8004 13
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,TextMove,1 0x8003
0002,function,SetVar,0x8004 14
0002,function,IncrementVar,0x8004 0x400F
0002,function,MessageFlex,0x8004
0002,function,PlaySound,SEQ_ME_LVUP
0002,function,WaitSound,
0002,function,TakeBP,0x8005
0002,function,UpdateSpecialCurrency,1
0002,function,TutorMoveTeachInSlot,0x8001 0x8006 0x8003
0002,function,CompareVarValue,0x8007 0
0002,function,JumpIf,DIFFERENT Function#6
0002,function,Message,15
0002,function,Jump,Function#7
0003,script,SetVarFromVariable,0x8008 0x800C
0003,script,CompareVarValue,0x8008 0
0003,script,JumpIf,EQUAL Function#1
0003,script,CompareVarValue,0x8008 1
0003,script,JumpIf,EQUAL Function#2
0003,script,CloseBoard,0x800C
0003,script,SetVarFromVariable,0x8008 0x800C
0003,script,CompareVarValue,0x8008 1
0003,script,JumpIf,EQUAL Function#2
0003,script,ShowBoard,2
0003,script,LocalScript,
0003,script,End,
0003,script,Call,Function#3
0003,script,LocalScript,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FacePlayer,
0003,script,CheckTrainerCardLevel,0x800C
0003,script,CompareVarValue,0x800C 4
0003,script,JumpIf,GREATER/EQUAL Function#4
0003,script,SetVar,0x8004 0
0003,script,GetTimePeriod,0x800C
0003,script,DummyGetVar,0x800C
0003,script,SetVar,0x8004 83
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#5
0003,script,SetVar,0x8004 84
0003,script,CompareVarValue,0x800C 1
0003,script,JumpIf,EQUAL Function#5
0003,script,SetVar,0x8004 0
0003,script,MessageFlex,0x8004
0003,script,OpenTouchScreen,
0003,script,YesNoTouchScreen,0x800C
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#6
0003,script,CompareVarValue,0x800C 1
0003,script,JumpIf,EQUAL Function#7
0003,script,End,
0003,script,MecScript,
0003,script,LockAll,
0003,script,GetPartyCount,0x8004
0003,script,SetVar,0x8005 0
0003,script,SurvivePoison,0x800C 0x8005
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#8
0003,script,TextPokeNickname,0 0x8005
0003,script,Message,53
0003,script,IncrementVar,0x8005 1
0003,script,CompareVars,0x8004 0x8005
0003,script,JumpIf,DIFFERENT Function#9
0003,script,CountAlivePokemonExceptFirst,0x800C 6
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#10
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,WaitAB,
0003,script,FadeScreen,6 1 0 0
0003,script,WaitFadeScreen,
0003,script,End,
0003,script,ClearFlag,32
0003,script,Call,Function#11
0003,script,ReturnScriptWkSet,0x800C
0003,script,CloseMessage,
0003,script,End,
0003,script,SetFlag,32
0003,script,Call,Function#11
0003,script,SetVarFromVariable,0x4000 0x800C
0003,script,LocalScript,
0003,script,End,
0003,script,Call,Function#12
0003,script,Message,32
0003,script,WaitAB,
0003,script,LocalScript,
0003,script,End,
0003,script,Call,Function#13
0003,script,LocalScript,
0003,script,End,
0003,script,Call,Function#14
0003,script,LocalScript,
0003,script,End,
0003,script,MecScript,
0003,script,LockAll,
0003,script,PlayFanfare,SEQ_SE_DP_PC_ON
0003,script,Call,Function#15
0003,script,TextPlayerName,0
0003,script,Message,33
0003,script,OpenTouchScreen,
0003,script,Jump,Function#16
0003,script,Message,38
0003,script,LocalScript,
0003,script,End,
0003,script,MecScript,
0003,script,LockAll,
0003,script,Movement,Player Action#1
0003,script,Movement,Overworld.0 Action#2
0003,script,WaitMovement,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,TextPlayerName,0
0003,script,Message,41
0003,script,FadeScreen,6 1 0 0
0003,script,WaitFadeScreen,
0003,script,CloseMessage,
0003,script,PlaySound,SEQ_ME_ASA
0003,script,WaitSound,
0003,script,HealPokemon,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,Message,42
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,MecScript,
0003,script,LockAll,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,CheckPlayerForm,0x800C
0003,script,CompareVarValue,0x800C 3
0003,script,JumpIf,DIFFERENT Function#17
0003,script,SetPlayerForm,2048
0003,script,Jump,Function#18
0003,script,FadeScreen,6 1 0 0
0003,script,WaitFadeScreen,
0003,script,SealCapsuleScreen,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FadeScreen,6 1 0 0
0003,script,WaitFadeScreen,
0003,script,GeonetScreen,
0003,script,ReturnScreen,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,ReleaseAll,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FacePlayer,
0003,script,CMD_455,
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FacePlayer,
0003,script,Message,54
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FacePlayer,
0003,script,Message,57
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FacePlayer,
0003,script,Message,58
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,CheckItem,ITEM_BICYCLE 1 0x800C
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#19
0003,script,MecScript,
0003,script,LockAll,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,CheckBike,0x800C
0003,script,CompareVarValue,0x800C 1
0003,script,JumpIf,EQUAL Function#20
0003,script,Message,59
0003,script,YesNoBox,0x800C
0003,script,CompareVarValue,0x800C 1
0003,script,JumpIf,EQUAL Function#21
0003,script,RideBike,1
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,Message,62
0003,script,WaitAB,
0003,script,FadeScreen,6 1 0 0
0003,script,WaitFadeScreen,
0003,script,CloseMessage,
0003,script,EggHatchScreen,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,ReleaseAll,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,Message,65
0003,script,WaitAB,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FacePlayer,
0003,script,Message,103
0003,script,OpenTouchScreen,
0003,script,MultiTouchLocalText,1 1 0 1 0x800C
0003,script,CreateMultiTouchBox,112 255 0
0003,script,CreateMultiTouchBox,113 255 1
0003,script,CreateMultiTouchBox,114 255 2
0003,script,CreateMultiTouchBox,115 255 3
0003,script,CreateMultiTouchBox,116 255 4
0003,script,CloseMultiTouch,
0003,script,CompareVarValue,0x800C 4
0003,script,JumpIf,GREATER/EQUAL Function#22
0003,script,SetVar,0x8004 104
0003,script,IncrementVar,0x8004 0x800C
0003,script,MessageFlex,0x8004
0003,script,FadeScreen,6 1 0 0
0003,script,WaitFadeScreen,
0003,script,CloseMessage,
0003,script,SetVar,0x8000 2
0003,script,IncrementVar,0x8000 0x800C
0003,script,CMD_492,0x8000 0x800C 0x8001
0003,script,ReturnScreen,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#22
0003,script,Message,109
0003,script,YesNoTouchScreen,0x800C
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#23
0003,script,CompareVarValue,0x8001 0xFFFF
0003,script,JumpIf,EQUAL Function#24
0003,script,CMD_494,0 0x8001
0003,script,Message,111
0003,script,Jump,Function#25
0003,script,Message,20
0003,script,WaitAB,
0003,script,CloseMessage,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,FacePlayer,
0003,script,Message,68
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,End,
0003,script,Call,Function#26
0003,script,Message,32
0003,script,WaitAB,
0003,script,LocalScript,
0003,script,End,
0003,script,End,
0003,script,MecScript,
0003,script,LockAll,
0003,script,ReleaseAll,
0003,script,End,
0003,script,StopMusic,0
0003,script,CheckPlayerGender,0x800C
0003,script,CompareVarValue,0x800C 0
0003,script,CallIf,EQUAL Function#27
0003,script,CompareVarValue,0x800C 1
0003,script,CallIf,EQUAL Function#28
0003,script,LocalScript,
0003,script,End,
0003,script,FadeOutMusic,0 30
0003,script,StopMusic,0
0003,script,PlayDefaultMusic,
0003,script,LocalScript,
0003,script,End,
0003,script,StopMusic,0
0003,script,TempMusic,SEQ_GS_E_RIVAL1
0003,script,LocalScript,
0003,script,End,
0003,script,UseScript_#31,
0003,script,Call,Function#29
0003,script,LocalScript,
0003,script,End,
0003,script,Call,Function#26
0003,script,Message,90
0003,script,LocalScript,
0003,script,End,
0003,script,Call,Function#12
0003,script,Message,90
0003,script,LocalScript,
0003,script,End,
0003,script,StopMusic,0
0003,script,TempMusic,SEQ_GS_E_TSURETEKE1
0003,script,LocalScript,
0003,script,End,
0003,script,StopMusic,0
0003,script,TempMusic,SEQ_GS_E_TSURETEKE2
0003,script,LocalScript,
0003,script,End,
0003,script,UseScript_#31,
0003,script,PreparePokeGearCall,0x8004 0x8005 0x8006
0003,script,Call,Function#30
0003,script,LocalScript,
0003,script,End,
0003,script,CheckFlag,253
0003,script,JumpIf,EQUAL Function#31
0003,script,CompareVarValue,0x404E 4
0003,script,JumpIf,DIFFERENT Function#31
0003,script,CompareVarValue,0x404F 4
0003,script,JumpIf,DIFFERENT Function#31
0003,script,CompareVarValue,0x4050 4
0003,script,JumpIf,DIFFERENT Function#31
0003,script,CompareVarValue,0x4051 4
0003,script,JumpIf,DIFFERENT Function#31
0003,script,CompareVarValue,0x404D 4
0003,script,JumpIf,DIFFERENT Function#31
0003,script,SetFlag,253
0003,script,CMD_680,31
0003,script,Jump,Function#31
0003,script,Message,93
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,ReleaseAll,
0003,script,LocalScript,
0003,script,End,
0003,script,StopMusic,0
0003,script,TempMusic,SEQ_GS_E_MINAKI
0003,script,LocalScript,
0003,script,End,
0003,script,UseScript_#31,
0003,script,StopMusic,0
0003,script,TempMusic,SEQ_GS_IBUKI
0003,script,LocalScript,
0003,script,End,
0003,script,UseScript_#31,
0003,script,FadeScreen,6 1 0 0
0003,script,WaitFadeScreen,
0003,script,InitWFC,0x800C
0003,script,SetVarFromVariable,0x8004 0x800C
0003,script,CMD_662,0x8005 0x8004 0x800C
0003,script,CompareVarValue,0x800C 0
0003,script,JumpIf,EQUAL Function#32
0003,script,ReturnScreen,
0003,script,FadeScreen,6 1 1 0
0003,script,WaitFadeScreen,
0003,script,LocalScript,
0003,script,End,
0003,script,Call,Function#30
0003,script,End,
0003,script,Jump,Function#33
0003,script,MartScreen,0x8004
0003,script,Jump,Function#34
0003,script,MartSell,
0003,script,Jump,Function#34
0003,script,CloseTouchScreen,
0003,script,GetCommonMessageArchive,3 0x800C
0003,script,MessageFromArchive,0x800C 1
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,LocalScript,
0003,script,End,
0003,script,Jump,Function#35
0003,script,SpMartScreen,0x8004
0003,script,Jump,Function#36
0003,script,MartSell,
0003,script,Jump,Function#36
0003,script,CloseTouchScreen,
0003,script,CheckFlag,367
0003,script,JumpIf,EQUAL Function#37
0003,script,CheckFlag,368
0003,script,JumpIf,EQUAL Function#38
0003,script,CheckFlag,369
0003,script,JumpIf,EQUAL Function#39
0003,script,CheckFlag,394
0003,script,JumpIf,EQUAL Function#40
0003,script,GetCommonMessageArchive,3 0x800C
0003,script,MessageFromArchive,0x800C 1
0003,script,WaitButton,
0003,script,CloseMessage,
0003,script,LocalScript,
0003,script,End,
0003,script,OpenTouchScreen,
0003,script,MultiTouchStandardText,1 1 0 1 0x800C
0003,script,CreateMultiTouchBox,321 255 0
0003,script,CreateMultiTouchBox,324 255 1
0003,script,CreateMultiTouchBox,323 255 2
0003,script,CloseMultiTouch,
0003,script,SetVarFromVariable,0x8008 0x800C
0003,script,CompareVarValue,0x8008 0
0003,script,JumpIf,EQUAL Function#41
0003,script,CompareVarValue,0x8008 1
0003,script,JumpIf,EQUAL Function#42
0003,script,CompareVarValue,0x8008 2
0003,script,JumpIf,EQUAL Function#43
0003,script,End,
0003,script,CMD_771,
0003,script,LocalScript,
0003,script,End,
0003,script,CloseTouchScreen,
0003,script,LocalScript,
0003,script,End,
0003,script,CloseTouchScreen,
0003,script,LocalScript,
0003,script,End,
0003,script,OpenTouchScreen,
0003,script,MultiTouchStandardText,1 1 0 1 0x800C
0003,script,CreateMultiTouchBox,321 255 0
0003,script,CreateMultiTouchBox,324 255 1
0003,script,CreateMultiTouchBox,323 255 2
0003,script,CloseMultiTouch,
0003,script,SetVarFromVariable,0x8008 0x800C
0003,script,CompareVarValue,0x8008 0
0003,script,JumpIf,EQUAL Function#44
0003,script,CompareVarValue,0x8008 1
0003,script,JumpIf,EQUAL Function#45
0003,script,CompareVarValue,0x8008 2
0003,script,JumpIf,EQUAL Function#46
0003,script,End,
0003,script,CMD_772,
0003,script,LocalScript,
0003,script,End,
0003,script,CloseTouchScreen,
0003,script,LocalScript,
0003,script,End,
0003,script,CloseTouchScreen,
0003,script,LocalScript,
0003,script,End,
0003,script,PlayFanfare,SEQ_SE_CONFIRM
0003,script,LockAll,
0003,script,GetFollowingPokePartySlot,0x8005
0003,script,TextPokeNickname,0 0x8005
0003,script,Message,99
