archive_file,maps_using_archive,key,entry_count,longest_entry_len,has_control_codes,first_entry_preview
0054,SHREDSNOW TMP; REGIGIGAS TMP,0xE423,5,86,no,Only those who reach the top will receive a wonderful move.
0055,SWORD TRIO,0xE42F,3,53,no,"However hard we battle, the tower will stand strong."
0056,D HQ1 F6; MOLTEN CAVERN,0xE42B,9,296,yes,"Elder: You showed us what you’ve got, and it is indeed good... Take this Technical Machine. However, you should care mor"
0057,HO-OH TWR F1,0xC423,12,338,yes,So many people have gone up the tower with a Rainbow Wing\fto try and bring back HO-OH. But none succeeded in making HO-
0058,HO-OH TWR TOP,0xC027,9,229,yes,"Zuki: Yes, this is where we welcome HO-OH. When the dance we practiced for many days becomes one with the sound of the\f"
0059,D17R1101,0x4C22,10,238,yes,Morty: The legendary Pokémon did not choose me... But that does not mean that I have lost out on my future. I will conti
0060,D18R0101; BURNT TWR F1,0x3423,5,386,yes,": .................. ......Oh, it’s you. You must be here to catch the legendary Pokémon to make yourself\flook strong. "
0061,BURNT TWR F2,0x342F,2,285,yes,"Eusine: Did you see it? SUICUNE raced by like a blur, right in front of my eyes! I have been chasing SUICUNE for almost "
0062,RADE F2 LIBRY,0x9443,90,243,yes,Only one Pokémon can Stroll with you in a Pokéwalker... I can’t decide which one!
0063,HOTEL 2 F1; D22R0102,0x944F,33,104,no,Relaxation Square for Everyone National Park
0064,SYDT 01 GV05,0x945B,10,135,no,
0065,A HQ1 F1; -; -; A HQ1 F1; D HQ1 F1; -; -; -; -,0x8443,46,256,yes,Welcome to Goldenrod’s Radio Tower!
0066,A HQ1 F2; A HQ1 F2; D HQ1 F2,0x844F,70,304,yes,"Radio is good, you know? Cool music and Pokémon information... Surprising news and moving dramas...\fIt has everything! "
0067,A HQ1 F3; A HQ1 F3; D HQ1 F3,0x844B,17,122,yes,We have recordings of the cries of many of the Pokémon that have been found. We must have about 200 kinds.
0068,A HQ1 F4; A HQ1 F4; D HQ1 F4,0x8457,15,189,yes,I listened to the radio while I was at the ruins. I heard a strange broadcast there.
0069,A HQ1 F5; A HQ1 F5; D HQ1 F5,0x8453,9,250,yes,"Ahem, do you hear me? ...I am the Director. We have decided to broadcast wonderful shows to praise Team Rocket! Everyone"
0070,A HQ1 F6; A HQ1 F6; D HQ1 F6,0x845F,10,338,yes,Archer: Oh? You managed to get this far...?\fYou must be quite the Trainer. We intend to take over this Radio Tower and 
0071,RADE F3 LIBRY,0x845B,4,67,no,Goldenrod City Radio Tower Elevator\fNext stop: Observation Deck
0072,GBR 01,0xF443,11,306,no,"Hm? That’s a Pokédex, isn’t it? May I see it? There are so many kinds of Pokémon. Hm? What’s this? What is this Pokémon?"
0073,VICTRY RD 2 1,0xF44F,25,591,yes,Bravo! A promising youth who is about to start the journey of archaeology has\fjust arrived!
0074,VICTRY RD 2 2; VICTRY RD 2 3,0xF457,4,278,no,Welcome to this chamber! We are reconstructing ancient Pokémon stone panels. You can rotate stone-panel pieces by touchi
0075,VICTRY RD 2 4; VICTRY RD 2 5,0xF44F,2,31,no,
0076,VICTRY RD 3 1; VICTRY RD 3 2,0xF44B,11,270,no,Did you just come down from above...? So! You must have solved the stone-panel puzzle! That is wonderful! You seem to ha
0077,VICTRY RD 4 1; VICTRY RD 4 2; VICTRY RD 4 3; VICTRY RD 4 4; VICTRY RD 4 5; VICTRY RD 4 6; VICTRY RD 4 7,0xF447,2,31,no,
0078,,0xF47F,1,33,no,
0079,NAVEL WEST 03,0xF05B,7,90,yes,It’s a replica of an ancient Pokémon.
0080,RT 20 AREA 1; RT 20 AREA 2; RT 20 AREA 3; RT 20 AREA 4; RT 20 AREA 5; RT 20 AREA 6; RT 20 AREA 7; RT 20 AREA 8; RT 20 AREA 9; RT 20 AREA 10; RT 20 AREA 11; RT 20 AREA 12; RT 20 AREA 13,0xF057,1,37,no,It’s a replica of an ancient Pokémon.
0081,,0xF053,1,37,no,It’s a replica of an ancient Pokémon.
0082,TROOME CAVE 1; TROOME CAVE 2; TROOME CAVE 3,0xF04F,1,37,no,It’s a replica of an ancient Pokémon.
0083,HOTEL 1 BS,0xF04B,1,37,no,It’s a replica of an ancient Pokémon.
0084,D24R0216,0xF047,6,270,no,It’s a replica of an ancient Pokémon.
0085,D24R0217,0xF043,1,37,no,It’s a replica of an ancient Pokémon.
0086,D24R0218,0xF07F,6,270,no,It’s a replica of an ancient Pokémon.
0087,NAVEL WEST 01,0xE443,15,62,no,
0088,NAVEL WEST 02,0xE44F,12,61,no,
0089,SUBTRN CAVE,0xE44B,9,57,no,
0090,WELL CAVE F1,0xD443,1,329,yes,"Kurt: Hey there, ! The guard up top took off when I shouted at him. But then I took a tumble down the well. I slammed do"
0091,WELL CAVE F2,0xD44F,6,241,yes,"Kurt: Way to go, ! Team Rocket has taken off. My back’s better, too. Let’s get out of here."
0092,WELL CAVE F4,0xD44B,3,204,no,"I’m waiting to see SLOWPOKE’s moment of evolution. Through observation,\fI made a new discovery. A SLOWPOKE with a King’"
0093,LIGHT H 01 F1,0xC443,2,127,no,People train at this Lighthouse. It’s not easy to climb because of all the Trainers.
0094,LIGHT H 01 F7,0xC45B,13,255,yes,Jasmine: ...This Pokémon always kept the sea lit at night. ...But it suddenly got sick... It’s gasping for air... ...I u
0095,LIGHT H 01 EL,0xC467,4,54,no,Lighthouse elevator. Going up to the light room.
0096,,0x247A,133,833,yes,Welcome to the Battle Tower! I am your guide to the Single and Double Battle Rooms.
0097,,0x246A,23,298,yes,Your Pokémon will be restored to full health.
0098,,0x2466,17,102,yes,Thank you so much for participating! Please wait while I save the game. Don’t turn off the power.
0099,,0x2462,18,268,yes,Please find a partner from the Trainers that are gathered here.
0100,,0xCBA6,42,260,yes,Battle Tower... It’s so tall! I wonder how many times my height it is?
0101,D32FS0101,0xAB10,2,174,no,Some Trainers rely on a Pokémon’s potential alone. But you can use items\fand medicines to help improve a\fPokémon’s cap
0102,VICTRY RD 1 1; VICTRY RD 1 2; VICTRY RD 1 3; VICTRY RD 1 4; VICTRY RD 1 5; D32PC0101,0x4A13,3,157,no,The karate uniform is the uniform of fighters! There is nothing better suited for going to the Battle Frontier than this
0103,,0x1462,36,464,yes,"Welcome to the Battle Frontier! This is your first visit? Right this way, please!"
0104,,0x146E,10,239,no,Wait for meeee!!
0105,WILD AREA,0x146A,30,99,no,
0106,,0x147A,33,99,no,
0107,,0x9473,34,638,yes,Welcome to the Battle Factory! I am your guide to the Single and Double Battle challenges. Please be aware that these ch
0108,,0x144A,100,750,yes,Welcome to the Battle Hall! I am your guide to the Single and Double Battle challenges. Please be aware that these chall
0109,,0x9443,53,604,yes,Welcome to the Battle Castle! I am your guide to the Single and Double Battle challenges. Please be aware that these cha
0110,,0x945B,56,659,yes,Welcome to the Battle Arcade! I am your guide to the Single and Double Battle challenges. Please be aware that these cha
0111,,0x6462,16,179,yes,Huh? You hear wind blowing into this room? That is...just me whistling. Enough about that. Why don’t you buy something?
0112,,0x646E,11,103,yes,Hey! Intruder alert!
0113,,0x646A,28,360,yes,"Lance: Are you all right? Your Pokémon are hurt and tired. Here, give them some of my medicine."
0114,,0x6476,13,502,yes,"Lance: ! In order to unlock the door to the\fradio transmitter, you need the voice\fof a certain person. The name of the"
0115,SYD FOREST 01; SYD FOREST 02; SYD FOREST 03; SYD FOREST 04; SYD FOREST 05; SYD FOREST 06; SYD FOREST 07; SYD FOREST 08,0x5462,68,318,yes,"Oh, man... My boss is going to be angry... The FARFETCH’D that cut trees for charcoal took off in the forest. Can you ca"
0116,,0x4462,12,254,yes,I was challenged to a battle downstairs. It’s rough down there. You’d better be careful.
0117,,0x446E,65,321,yes,"Hello, dear. I sell inexpensive herbal medicine. They’re good, but a trifle bitter. Your Pokémon may not like them. Hehe"
0118,DEPART 1 B1,0x446A,3,129,no,"MACHOKE, help us move the container!"
0119,,0x4476,2,370,yes,": Hold it! What I told you before was to deceive you. I thought it would let me tail you,\fand it would lead me to Lance"
0120,,0x4472,4,262,no,Director: Who? What? You came to rescue me? Thank you! The Radio Tower! What’s happening there? Taken over by Team Rocke
0121,REGIDRACO DEN,0xB476,7,169,yes,Hey! I am the Karate King! I train alone here in the cave! You! Battle with me! Hwaaarggh!
0122,LOBART CAVERN,0xA462,8,295,yes,"You see the item over there? It was me who dropped it, but I cannot get over there to pick it up. Why? Walking on ice ma"
0123,FLORAL FISURE,0xA46A,1,35,no,It has sunk in and cannot be moved.
0124,NAVEL WEST 05; SPARK ROAR C,0xB497,8,605,no,"A long time ago, the Whirl Islands used to be one large island. There were two countries fighting over the island back t"
0125,LUGIA DEN 01,0xB49B,9,244,yes,Zuki: That’s right. This is where we welcome LUGIA. When the dance we practiced many days becomes one with the sound of 
0126,D41R0108,0xA4A7,2,40,no,.................. ..................
0127,NAVEL EAST 01,0x9483,4,210,no,"Whoa! You startled me there! I had my BlackGlasses on, so I didn’t notice you at all. What am I doing here? Hey, don’t y"
0128,,0x848B,2,373,no,"Hold it. ...Are you going to challenge the Pokémon League? Victory Road is at its end, for sure. But did you notice...? "
0129,REGIELECT DEN,0xF48F,34,330,yes,Wait!
0130,DRAGON DEN 02,0xF48B,33,304,yes,"Hm... Good to see you here.\fNo need to explain why you came. Clair sent you here, didn’t she?\fThat girl is a handful.."
0131,,0xE48F,28,246,yes,"... I don’t know why you have come here. Anyway, I have to warn you that this is not a place for kids like you."
0132,,0xD483,5,161,yes,"Bugsy: I came to Kanto to look for Bug-type Pokémon, so I can become\fa stronger Bug-type Pokémon Trainer! Hey, why don’"
0133,MANSION A5,0xD7B2,18,202,no,"Baoba: It is you! It must have been a long way. Welcome to the Safari Zone! It hasn’t been open too long, but you\fcan e"
0134,D47PC0101,0x2AB2,2,142,no,Those who come to a Pokémon Center often take good care of their Pokémon.\fWouldn’t you agree?
0135,,0xC483,97,441,yes,"Welcome to the Safari Zone! For just $, you can play the Safari Game. You can roam the wide-open Safari Zone and catch w"
0136,MANSION A4,0x3483,12,390,yes,Did you know? They are constructing a Safari Zone\fjust around the corner. They say it’ll be really fun! You will see ma
0137,,0xD78A,50,493,yes,Muhaha!
0138,SEWER ROOM 04,0x2483,115,339,yes,
0139,,0x248F,53,416,yes,"Young Pokéathlete! Hello! ... Running out of energy? Hello, again! Good! My name is Maximo! I am the Pokéathlon MC! Nice"
0140,,0x2497,14,319,yes,"This is the “Solidarity” room. It is to show the solidarity of Pokémon and people, as well as the history\fof the Pokéat"
0141,,0x2493,16,235,yes,This is the “Trust” room. It is to show the mutual reliance between Pokémon and people.
0142,,0x249F,25,374,yes,This is the “Potential” room. It is to show the infinite potential\fof both Pokémon and people.
0143,,0x249B,14,491,yes,"Magnus: Oh, gosh!"
0144,VOLTIC CAVE 1; VOLTIC CAVE 2; AZELF DEN; VOLTIC CAVE 3; VOLTIC CAVE 4; UXIE DEN; VOLTIC CAVE 5; VOLTIC CAVE 6; MESPIRIT DEN,0x34A2,1,203,no,"If you see a fork in the road inside a cave, most likely one way is right and\fthe other leads to a dead end.\fBut peopl"
0145,D51R0101,0x24A2,8,293,yes,"Well, hello! It’s so freezing, isn’t it? For a youngster like you to be interested in the Sinjoh Ruins is\fnot something"
0146,D51R0201,0x24BA,34,260,yes,Cynthia: This is the Mystri Stage. The mythical stage built to show respect\ffor ARCEUS. It is said that people used to 
0147,D51R0301,0xA4B3,14,652,yes,"Cynthia: My name is Cynthia. I am a Pokémon Trainer. The Sinjoh Ruins remind me of Sinnoh, where I come from. Initially,"
0148,GROUDON DEN; D52R0101,0x14A2,5,227,no,GROUDON: Grrgggrrrrah!
0149,KYOGRE DEN,0x14AE,5,234,no,KYOGRE: Gyararoooah!
0150,SKY PILLAR 02,0x14AA,3,27,no,RAYQUAZA: Kiyuryursheeah!
0151,,0xEAC3,47,31,no,Moves’ secondary effects OFF
0152,,0xB380,4,11,no,つながりのどうくつ
0153,,0xA4BC,21,17,no,ビデオじぶん　カレントはかい
0154,,0x7852,236,22,no,Player’s side 1
0155,,0xBAED,34,26,no,Bag ON
0156,,0x770E,107,33,no,Review
0157,,0x66D4,68,33,yes,Target
0158,,0x6E9B,70,76,yes,コインゲ－ム
0159,,0xCA9D,20,7,no,あにめてすと
0160,,0x0ED8,154,14,no,ListJump1
0161,,0x547E,68,51,yes,Overlay
0162,,0x103C,1,7,no,Mystery
0163,,0x6E7B,76,235,yes,Can’t be seen
0164,,0x2ECC,32,28,yes,Connection List
0165,,0xE2BD,70,181,no,ワイプ
0166,,0x0BCE,144,41,yes,Status
0167,,0xB29B,79,23,yes,Play in reverse
0168,,0xC56B,140,32,yes,
0169,,0x4EEC,55,53,yes,Script Battle
0170,,0xBB13,10,109,yes,Advance: months
0171,,0x491E,109,22,no,Set Camera
0172,,0xE278,25,15,no,Tamada Menu
0173,,0xCA9C,15,30,no,Move Pokémon
0174,,0xE9AF,27,90,yes,Start debug
0175,,0x16E9,190,167,yes,Light ON/OFF
0176,,0xB4B2,22,138,yes,TV
0177,,0x3D9B,22,149,no,Ratio
0178,,0xD790,60,9,no,Junichi
0179,,0xEF78,6,57,yes,will be sent to .
0180,,0x05BF,19,92,yes,The Hall of Fame!
0181,,0x6B7A,7,102,yes,"HALL OF FAME No.   ,"
0182,,0x0D41,165,94,yes,There appears to be a problem...
0183,,0x6323,51,71,yes,
0184,,0x6759,1,21,no,
0185,,0x1C08,24,11,no,くらやみのほらあな
0186,,0x923C,17,230,yes,"Welcome to Geonet, the high-tech globe!"
0187,,0xBBE6,4,80,yes,hatched from the Egg!
0188,,0x06B5,59,285,yes,Check Wii Number
0189,,0x123F,1,19,yes,
0190,,0xE6E4,9,89,yes,Professor Elm: Touch a Poké Ball to see what Pokémon is inside!
0191,,0x5031,495,79,yes,POISONED
0192,,0x84EE,25,284,no,
0193,,0x7A1F,1,5,no,?????
0194,,0x0F6D,29,89,yes,Please choose Pokémon no. .
0195,,0x2239,40,483,yes,"First, we will hold your Pokémon in exchange for you renting our Pokémon. May I suggest choosing Pokémon after appropria"
0196,,0xD3A0,37,39,yes,POKéDEX
0197,,0x5A5F,1598,146,yes,gained  Exp. Points!
0198,,0x6A87,4,6,no,ESCAPE
0199,,0xA206,10,110,yes,obtained the !
0200,,0x12E7,26,9,no,Rocky
0201,,0xD2C8,20,8,no,
0202,,0x90D0,2,23,no,
0203,,0x535D,7,137,no,
0204,,0x8E95,28,386,yes,"Hi! How’s it going? You’re in the  group with  as leader, right? Would you like to leave that group and join another one"
0205,,0x56F9,14,136,no,
0206,,0x3774,13,67,yes,Please stand by...
0207,,0xC3CA,21,72,yes,
0208,,0x082E,8,6,no,
0209,,0xB330,32,147,yes,Good morning. You must be . I’ve received a gift for you. Here you go!
0210,,0x4F58,10,110,yes,
0211,,0x9644,35,111,yes,This tree looks like it can be cut down! Would you like to cut it?
0212,MANSION A9; HIROBA,0x453E,1,17,no,Have a good time!
0213,,0x08EF,42,134,no,
0214,,0xC019,4,46,yes,Please touch the bottom screen.
0215,,0x0CAD,48,351,yes,DONE!
0216,,0x7B4D,100,15,no,White Fluff
0217,,0xE4A5,100,46,yes,a White Fluff
0218,,0x141F,18,16,no,Dress Up
0219,,0xF2D0,63,249,yes,
0220,,0x3FE6,537,14,no,
0221,,0x515F,1,23,no,Custom item description
0222,,0x515C,2474,20,no,None
0223,,0x515D,1,41,yes,a Custom Item
0224,,0x515A,1,40,yes,Custom Items
0225,,0xD6DC,8,7,no,
0226,,0x49B2,8,39,yes,♈ITEMS
0227,,0x291F,35,45,no,
0228,,0x110A,16,13,no,
0229,,0x4754,6,105,no,The save file is corrupted. The previous save file will be loaded.
0230,,0x387C,9,38,no,Throw Berries into SWALOT’s big mouth!
0231,,0x1FBC,12,26,no,
0232,,0x0F73,15,59,yes,MAILBOX
0233,,0xE814,4,30,no,CONFIRM
0234,,0xAF15,3,44,yes,Mic Test
0235,,0x56FC,2,54,no,Roll the ball while keeping MIME JR. balanced on top.
0236,,0x66E7,24,97,yes,These players have been accepted.
0237,,0x5059,1393,10,no,-----
0238,,0x5056,1393,13,no,a -----
0239,,0xE25C,12,4,no,Jan.
0240,,0x80E3,57,407,no,
0241,,0x80EF,40,448,no,
0242,,0x80EB,11,314,no,
0243,,0x80F7,56,471,no,
0244,,0x80F3,29,458,no,
0245,,0x8896,16,68,no,
0246,,0x2B57,88,250,yes,Ding-ding! Time’s up! The Bug-Catching Contest is over.
0247,,0x2A22,83,161,yes,Welcome to Mystery Gift!
0248,,0xA7C9,29,258,yes,CANCEL
0249,,0x71D3,10,45,yes,Your name?
0250,,0xA004,64,55,no,
0251,,0x3455,64,6,no,Cheri
0252,,0xD9AE,14,73,yes,has entered.
0253,,0x1B1A,33,264,no,
0254,,0xE7E1,86,7,no,Heart
0255,SYDT DOCK 01,0x2407,16,244,yes,"Welcome to Fast Ship S.S. Aqua. ...Except that the engine-maintenance team is taking some time off, and we\fdon’t know w"
0256,SYDT DOCK 02,0x240B,14,144,yes,OK! You must be the last passenger.
0257,,0x240F,4,125,no,Welcome to the S.S. Aqua! Your Ticket is...right there. Please come through.
0258,,0x2413,2,39,no,OK! You must be the last passenger.
0259,BOAT 01,0xA416,11,127,no,Fast Ship S.S. Aqua is en route to Vermilion City. We will make an announcement when we arrive.
0260,BOAT 02,0xA41A,9,249,yes,"Captain, play with me, please? I’m bored! I want to play more!"
0261,BOAT 03,0xA41E,7,189,no,A comfy bed! Time to sleep...
0262,BOAT 06,0xA40A,9,162,yes,I see. So you are playing hide-and-seek wih my granddaughter. I guess there is no need to worry as long as she’s on the 
0263,BOAT 07,0xA40E,7,182,no,"Hey, kid. Could I get you to look for my buddy? He’s taking it easy somewhere, that good for nothing! I want to go find "
0264,,0x1605,14,57,no,
0265,,0x949F,759,117,yes,Huh?  is holding something... Would you like to take it?
0266,,0x9935,48,118,no,
0267,,0x0639,30,464,yes,"Oh, hello! Right this way, please!"
0268,,0x670D,9,65,yes,It will forget the saying it knows now. Is that OK?
0269,,0x213D,28,45,no,
0270,,0x1F6D,2,6,no,CHANGE
0271,,0xB132,45,32,yes,Call
0272,,0xA782,36,186,no,
0273,,0x2353,118,78,yes,Kanto
0274,,0x14E2,157,258,yes,"Welcome! From here, you can select a Pokémon from your PC Box and send it to the\fPokéwalker to take along on a Stroll."
0275,,0x16F7,91,157,yes,Went on a great adventure with ’s !
0276,,0xBC67,6,23,yes,
0277,,0x519B,32,41,yes,
0278,,0x1105,10,34,yes,
0279,,0x0A06,259,23,no,Mystery Zone
0280,,0x5C7D,77,16,no,Lovely place
0281,,0x1078,15,15,no,Day-Care Couple
0282,,0xA375,14,11,no,POKéMON
0283,,0x909B,15,37,no,Choose a word or phrase.
0284,,0x3DCE,3,7,no,CONFIRM
0285,,0xFBA6,38,12,no,MATCH UP
0286,,0xFBA2,38,11,no,OPPONENT
0287,,0xFB9E,107,12,no,KONNICHIWA
0288,,0xFB9A,104,12,no,IDOL
0289,,0xFFBE,47,12,no,BEAUTY
0290,,0xFFBA,32,12,no,EARTH TONES
0291,,0xFFB6,23,12,no,SINGLE
0292,,0xDB06,20,60,yes,You win... !
0293,,0xBB16,20,63,yes,Hello! !
0294,,0x16E5,20,59,yes,Please! !
0295,,0x6289,20,60,yes,! Hello!
0296,,0x08F7,20,58,yes,I win! !
0297,,0xE9A2,143,35,no,つぶれて　はねる
0298,,0x3336,6,28,no,CANCEL
0299,,0x3854,26,80,yes,
0300,,0xD35D,176,141,yes,CONFIRM
0301,,0x5198,47,261,yes,Make Pokémon migrate from ’s Ruby Game Pak?
0302,,0xD35F,206,288,yes,
0303,,0x0D4F,7,12,no,
0304,,0x62B7,25,10,no,
0305,,0x3A19,1,9,no,
0306,,0xCD8E,1,3,no,
0307,,0xBF7A,25,43,no,
0308,,0x0F58,11,33,no,
0309,,0x2AC5,309,273,yes,Welcome to the Pokéathlon! Today’s event-- the ! Who will shine brightest today? Let’s meet the competitors!
0310,,0xB6D6,50,7,no,Susie
0311,,0xE2EF,50,82,no,"Wow, you’re energetic and hardworking! I won’t get tricked by your cuteness!"
0312,,0x58C2,63,497,yes,Welcome! This is the reception for admission. Will you try the Pokéathlon?
0313,,0x8E3F,30,22,no,Speed Course
0314,,0xE6EF,130,140,yes,Return
0315,,0x8BDC,3,24,no,
0316,,0x24FF,23,17,no,
0317,,0x0165,26,33,no,
0318,,0x7B00,29,9,no,
0319,R01; RT 1 AREA 1,0x471B,1,27,no,Rt. 1 South to Pallet Town
0320,RT 2 AREA 1; RT 2 AREA 2,0x4717,1,27,no,Rt. 2 North to Pewter City
0321,,0xD406,1,23,no,This is DIGLETT’s Cave.
0322,,0xD41E,3,174,no,Oh my good nuggets! You’re the first visitor I’ve had in a\flong time. I’m going crazy with joy! Since you look as brigh
0323,RADE 01 GV09,0x5417,4,156,yes,"So you are ? Professor Oak is waiting for you in his\flab in Pallet Town. Also, I received this from him. He wants you t"
0324,,0xD42E,1,76,no,Viridian Forest is like a maze inside. Be careful. Don’t get lost in there.
0325,,0x5427,1,131,no,Viridian Forest not only has trees standing like a maze but also has many\fups and downs. That’s why people get lost eas
0326,RT 3 AREA 1; RT 3 AREA 2; RT 3 AREA 3,0x4713,6,84,no,Mt. Moon ahead. Mt. Moon Square is on the way to the top!
0327,,0xAFB2,2,221,no,"Oh my! I remember there was nothing built here\fwhen I climbed the mountain. Things change, and it’s getting more and mo"
0328,,0x470F,1,59,no,Mt. Moon ahead. Mt. Moon Square is on the way to the top!
0329,RT 3 AREA 4,0x470B,2,104,no,The road is closed until the problem at the Power Plant is solved.
0330,MANSION A3; R05R0201,0xA41E,1,61,no,Many cities in Johto have long histories. I’d love to visit!
0331,R05R0202,0xA412,10,230,yes,Don’t be afraid. I’m not a bad person. A place like this... attracts mean people. They would eventually cause trouble...
0332,,0x2417,1,328,no,"You are from Johto, aren’t you? How do you like Kanto?\fIt’s nice, don’t you agree?\fHow many cities have you visited?\f"
0333,R05R0401,0xA42E,3,103,no,Eeyaaaah! I sense a sinister shadow hovering over you.\fTake this to ward it off!
0334,LOB FOREST 01; LOB FOREST 02; LOB FOREST 03; LOB FOREST 04; LOB FOREST 05; LOB FOREST 06; LOB FOREST 07; LOB FOREST 08; LOB FOREST 09,0x4707,2,105,no,The road is closed until the problem at the Power Plant is solved.
0335,WLDA03 GV08,0x941E,2,216,no,"Welcome to Saffron City, home of the Magnet Train! ...That’s what I’d normally say, but the Magnet Train isn’t running n"
0336,RT 4 AREA 1,0x4703,2,233,no,There is a notice! ...Uncouth Trainers have been holding battles in the Underground Path. Because of rising complaints b
0337,R07R0101,0x8406,2,104,no,"Did you hear about the accident at the Power Plant? It’s located in the east, close to Lavender Town."
0338,RT 5 AREA 1; RT 5 AREA 2,0x473F,2,47,no,It won’t open! It’s locked...
0339,,0x741E,1,66,no,Have you been to Lavender Town? There’s a tall Radio Tower there.
0340,SUB PATH 1; SUB PATH 2; SUB PATH 3; SUB PATH 4; RT 5 AREA 3,0x473B,1,26,no,Rt. 9 East to Rock Tunnel
