script_file,maps_using_script,script_count,function_count,action_count,message_refs,item_refs,pokemon_refs,flag_refs,var_refs,top_commands,total_commands
0016,D HQ1 F5,5,0,0,0; 1; 2; 3,,,,,End(5); PlayFanfare(4); LockAll(4); FacePlayer(4); Message(4); WaitButton(4); CloseMessage(4); ReleaseAll(4),33
0017,SWORD TRIO,3,0,0,0; 1,,,,,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2),17
0018,D HQ1 F6; MOLTEN CAVERN,11,11,0,,,,164,,RemoveOW(31); End(22); CompareVarValue(19); JumpIf(19); ReleaseAll(11); PlayFanfare(9); LockAll(9); FacePlayer(9); PlayCry(9); SetFlag(9),184
0019,HO-OH TWR F1,3,31,20,0; 1; 2; 3; 4; 5; 6,,,147; 261; 264; 278,0x40F3,End(30); CompareVarValue(25); JumpIf(22); Movement(22); Jump(16); WaitMovement(14); Message(11); CloseMessage(10); WalkSouth8(9); ReleaseAll(8),264
0020,RADE F1 LIBRY,1,0,0,,,,,,End(1),1
0021,HO-OH TWR TOP,7,14,21,0; 1; 2; 3; 4; 5; 6; 7; 8,,,164; 261; 264; 266; 278; 417; 418; 572; 577; 578; 580; 741; 744,0x4003; 0x400A; 0x400B; 0x4081; 0x40FA; 0x8004,Movement(94); Delay2(40); End(37); WaitTime(31); WaitMovement(22); JumpIf(18); PlayFanfare(16); SetFlag(16); SetOWPosition(15); CompareVarValue(13),511
0022,D17R1101,2,15,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9,,,2404; 393; 714,0x4002,JumpIf(15); End(13); CompareVarValue(13); Message(10); CloseMessage(6); ClearFlag(5); SetFlag(5); WaitButton(5); ReleaseAll(5); Jump(4),120
0023,D18R0101; BURNT TWR F1,4,4,4,0; 1; 2; 3; 4,,,454,0x40A2; 0x40A6,End(10); CommonScript(7); Movement(6); Message(6); CloseMessage(6); ReleaseAll(6); WalkSouth8(6); WalkWest8(5); LockAll(4); WaitMovement(4),116
0024,BURNT TWR F2,3,12,14,0; 1,,,164; 373; 455; 456; 457; 458; 459; 460; 478; 479; 480; 481; 583; 584; 782,0x4076; 0x4079; 0x40A1,SetFlag(23); End(21); Movement(19); WaitMovement(14); CompareVarValue(10); JumpIf(10); RemoveOW(9); ClearFlag(8); GetPlayerPosition(7); Jump(7),244
0025,RADE F3 LIBRY,27,27,7,0; 1; 2; 4; 5; 6; 7; 8; 9; 42; 45; 48; 51; 54; 57; 60; 63; 66; 69; 72; 84; 85; 86; 87; 88; 89,,,2404; 2454; 270; 393; 638; 639; 648,0x4000; 0x4001; 0x4002; 0x8004; 0x8005,End(50); JumpIf(37); CloseMessage(36); CompareVarValue(34); ReleaseAll(33); WaitButton(32); LockAll(29); Message(27); FacePlayer(23); PlayFanfare(22),562
0026,HOTEL 2 F1; D22R0102,13,0,0,3; 6; 9; 12; 15; 18; 21; 24; 27; 30,,,,,End(13); PlayFanfare(10); LockAll(10); Message(10); WaitButton(10); CloseMessage(10); ReleaseAll(10); SetTextBoard(3); ShowBoard(3); WaitBoard(3),88
0027,,1,0,0,,,,,,End(1),1
0028,SYDT 01 GV05,1,0,0,,,,,,End(1),1
0029,A HQ1 F1; -; -; A HQ1 F1; D HQ1 F1; -; -; -; -,11,61,34,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 38; 39; 40; 41; 42; 43; 44; 45,,,138; 2725; 2726; 440; 444; 445; 792,0x400A; 0x400B; 0x4077; 0x409F; 0x4136; 0x8003; 0x8005,JumpIf(67); CompareVarValue(64); End(63); Message(52); Movement(48); Jump(43); CloseMessage(31); WaitMovement(27); ReleaseAll(24); FaceEast(19),765
0030,A HQ1 F2; A HQ1 F2; D HQ1 F2,11,44,12,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 14; 19; 22; 23; 26; 27; 28; 29; 32; 33; 34; 35; 36; 37; 38; 39,ITEM_BLUE_CARD; ITEM_BLUE_CARD,,258; 2723; 2742; 439; 440,0x413A; 0x8004; 0x8005,JumpIf(80); CompareVarValue(74); CloseMessage(49); Message(43); End(40); Movement(35); WaitMovement(30); Jump(27); ReleaseAll(24); SetVar(21),607
0031,A HQ1 F3; A HQ1 F3; D HQ1 F3,8,12,2,0; 1; 2; 3; 4; 5; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16,,,143; 144; 439; 440; 447,0x8004; 0x8005,End(18); Message(16); CloseMessage(15); ReleaseAll(14); WaitButton(13); JumpIf(10); CompareVarValue(8); PlayFanfare(7); LockAll(7); FacePlayer(7),143
0032,A HQ1 F4; A HQ1 F4; D HQ1 F4,9,14,2,0; 1; 2; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14,,,145; 439; 440,0x8004; 0x8005,End(20); Message(17); CloseMessage(15); ReleaseAll(14); WaitButton(13); JumpIf(11); CompareVarValue(9); PlayFanfare(8); LockAll(8); FacePlayer(7),159
0033,A HQ1 F5; A HQ1 F5; D HQ1 F5,4,17,13,0; 1; 2; 3; 4; 5; 6; 7; 8,,,439; 567; 710; 711,0x40E7; 0x4125; 0x8004; 0x8005,End(22); CompareVarValue(19); JumpIf(19); Movement(17); Message(13); Jump(12); CloseMessage(11); FaceSouth(11); FaceEast(11); FaceWest(11),232
0034,A HQ1 F6; A HQ1 F6; D HQ1 F6,2,16,11,0; 1; 2; 5; 6; 7; 8; 9,,,147; 148; 198; 2429; 2456; 2459; 439; 440; 487; 512; 513; 710; 711,0x4077; 0x407A; 0x40F8; 0x4125; 0x8004; 0x8005,CompareVarValue(20); SetFlag(19); JumpIf(19); Movement(18); End(17); SetVar(16); WaitMovement(15); Message(14); ClearFlag(11); CloseMessage(10),257
0035,VICTRY RD 1 1; VICTRY RD 1 2; VICTRY RD 1 3; VICTRY RD 1 4; VICTRY RD 1 5,1,8,2,0; 1; 2; 3,,,,0x4125; 0x8004,CompareVarValue(7); JumpIf(7); End(7); Jump(4); Message(4); CloseMessage(4); SetVar(4); Movement(3); WaitMovement(3); GetElevatorFloor(2),69
0036,,1,0,0,,,,,,End(1),1
0037,GBR 01,2,20,0,,,,,,CreateMultiTouchBox(30); CompareVarValue(30); JumpIf(30); FadeScreen(30); WaitFadeScreen(30); End(22); ReleaseAll(21); Warp(15); GetCommonMessageArchive(4); OpenTouchScreen(4),231
0038,VICTRY RD 2 1,6,31,2,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24,,,271,,JumpIf(36); CompareVarValue(35); Jump(35); Message(29); FaceWest(8); FaceNorth(8); FaceEast(8); FaceSouth(8); PlayFanfare(5); LockAll(5),210
0039,VICTRY RD 2 2,5,13,3,0; 1; 3,,,2423; 273; 392; 539; 540; 565,0x40CE; 0x40DD,End(17); FadeScreen(16); WaitFadeScreen(16); JumpIf(13); ReleaseAll(12); CompareVarValue(10); PlayFanfare(9); Movement(8); SetVar(7); Warp(7),176
0040,VICTRY RD 2 3,3,16,9,,,,273,0x40CD; 0x40CE; 0x40ED,End(18); CompareVarValue(16); JumpIf(16); Movement(13); Jump(10); FadeScreen(10); WaitFadeScreen(10); SetInvisible(8); PlayFanfare(5); WaitMovement(5),146
0041,VICTRY RD 2 4,4,12,3,1,,,2424; 273; 541; 542; 565,0x40CE; 0x40DE,FadeScreen(16); WaitFadeScreen(16); End(15); JumpIf(12); ReleaseAll(10); CompareVarValue(10); PlayFanfare(8); Movement(8); SetVar(7); Warp(7),165
0042,VICTRY RD 2 5,10,7,17,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10,,,272; 273; 565; 566; 731; 732; 733; 742; 743,0x40CE; 0x40FB; 0x4104; 0x8004; 0x8005,End(31); Movement(20); PlayFanfare(12); WaitMovement(12); FadeScreen(12); WaitFadeScreen(12); Message(11); CloseMessage(11); SetVar(9); SetFlag(9),281
0043,VICTRY RD 3 1; VICTRY RD 3 2,4,12,3,1,,,2425; 273; 543; 544; 565,0x40CE; 0x40DF,FadeScreen(16); WaitFadeScreen(16); End(15); JumpIf(12); ReleaseAll(10); CompareVarValue(10); PlayFanfare(8); Movement(8); SetVar(7); Warp(7),160
0044,VICTRY RD 4 1; VICTRY RD 4 2; VICTRY RD 4 3; VICTRY RD 4 4; VICTRY RD 4 5; VICTRY RD 4 6; VICTRY RD 4 7,3,16,9,,,,273,0x40CE; 0x40D5; 0x40EF,End(18); CompareVarValue(16); JumpIf(16); Movement(13); Jump(10); FadeScreen(10); WaitFadeScreen(10); SetInvisible(8); PlayFanfare(5); WaitMovement(5),147
0045,RADE HQ #####,3,13,3,,,,2426; 273; 545; 546; 565,0x40CE; 0x40E0,FadeScreen(16); WaitFadeScreen(16); End(14); JumpIf(12); CompareVarValue(11); ReleaseAll(9); PlayFanfare(8); Movement(8); SetVar(7); Warp(7),154
0046,,3,16,9,,,,273,0x40CE; 0x40D8; 0x40F0,End(18); CompareVarValue(16); JumpIf(16); Movement(13); Jump(10); FadeScreen(10); WaitFadeScreen(10); SetInvisible(8); PlayFanfare(5); WaitMovement(5),146
0047,,3,16,9,,,,273,0x40CE; 0x40D1; 0x40EE,End(18); CompareVarValue(16); JumpIf(16); Movement(13); Jump(10); FadeScreen(10); WaitFadeScreen(10); SetInvisible(8); PlayFanfare(5); WaitMovement(5),146
0048,NAVEL WEST 03,3,4,0,,,,164; 778,,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29
0049,RT 20 AREA 1; RT 20 AREA 2; RT 20 AREA 3; RT 20 AREA 4; RT 20 AREA 5; RT 20 AREA 6; RT 20 AREA 7; RT 20 AREA 8; RT 20 AREA 9; RT 20 AREA 10; RT 20 AREA 11; RT 20 AREA 12; RT 20 AREA 13,2,9,6,0,,,,0x40CD,End(11); Movement(9); CompareVarValue(6); JumpIf(6); Jump(6); FadeScreen(6); WaitFadeScreen(6); SetInvisible(6); PlayFanfare(4); ReleaseAll(4),90
0050,,2,9,6,0,,,,0x40D1,End(11); Movement(9); CompareVarValue(6); JumpIf(6); Jump(6); FadeScreen(6); WaitFadeScreen(6); SetInvisible(6); PlayFanfare(4); ReleaseAll(4),90
0051,TROOME CAVE 1; TROOME CAVE 2; TROOME CAVE 3,2,9,6,0,,,,0x40D8,End(11); Movement(9); CompareVarValue(6); JumpIf(6); Jump(6); FadeScreen(6); WaitFadeScreen(6); SetInvisible(6); PlayFanfare(4); ReleaseAll(4),90
0052,HOTEL 1 BS,2,9,6,0,,,,0x40D5,End(11); Movement(9); CompareVarValue(6); JumpIf(6); Jump(6); FadeScreen(6); WaitFadeScreen(6); SetInvisible(6); PlayFanfare(4); ReleaseAll(4),90
0053,ICE PATH C2; D24R0216,2,0,0,,,,,,End(2),2
0054,ICE PATH C3; D24R0217,2,0,0,,,,,,End(2),2
0055,MANSION A6; D24R0218,2,0,0,,,,,,End(2),2
0056,NAVEL WEST 01,1,0,0,,,,,,End(1),1
0057,NAVEL WEST 02,1,0,0,,,,,,End(1),1
0058,SUBTRN CAVE,3,5,0,,,,164; 2744; 778,,End(7); SetFlag(5); JumpIf(4); ClearFlag(2); CompareVarValue(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1),35
0059,WELL CAVE F1,3,9,5,0,,,393; 638,,End(15); JumpIf(11); CompareVarValue(10); CloseMessage(7); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); WaitButton(6); ReleaseAll(6); FadeScreen(6),152
0060,WELL CAVE F2,3,4,3,0; 1; 2; 3; 4; 5,,,123; 414; 423; 424; 425; 426; 427; 428; 429; 469,0x4075; 0x4080; 0x4099; 0x409B; 0x409E; 0x40F4,SetVar(12); ClearFlag(10); End(9); SetFlag(9); Message(7); CloseMessage(7); PlayFanfare(6); ReleaseAll(6); FadeScreen(6); WaitFadeScreen(6),150
0061,WELL CAVE F4,1,2,0,0; 2,,,122,0x8004; 0x8005,CloseMessage(3); JumpIf(2); Message(2); SetVar(2); CommonScript(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1),25
0062,LIGHT H 01 F1,3,0,0,0; 1,,,,0x4125,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); SetVar(1),18
0063,LIGHT H 01 F3,2,1,1,,,,,0x40A7,End(4); PlayFanfare(2); Movement(1); WaitTime(1); UnvanishOverworld(1); WaitMovement(1); ShakeCamera(1); SetVar(1); CompareVarValue(1); JumpIf(1),16
0064,LIGHT H 01 F5,1,2,2,,,,,0x40A7,FadeScreen(4); WaitFadeScreen(4); End(4); Movement(3); WaitMovement(2); PlayFanfare(2); Warp(2); ReleaseAll(2); WalkEast4(2); SetInvisible(2),34
0065,LIGHT H 01 F6,2,7,4,,,,393; 638,,End(12); JumpIf(8); GetCommonMessageArchive(7); MessageFromArchive(7); CompareVarValue(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6); Movement(5); ClearFlag(5),126
0066,LIGHT H 01 F7,5,6,8,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,ITEM_SECRET_MEDICINE,,185; 2410; 2456; 471; 472; 473; 474; 475; 476; 477,0x40A5; 0x410E; 0x4125,End(18); Message(13); CloseMessage(10); Movement(10); WaitMovement(8); ReleaseAll(6); SetFlag(6); JumpIf(5); PlayCry(5); WaitCry(5),163
0067,LIGHT H 01 EL,1,8,2,0; 1; 2; 3,,,,0x4125; 0x8004,CompareVarValue(7); JumpIf(7); End(7); Jump(4); Message(4); CloseMessage(4); SetVar(4); Movement(3); WaitMovement(3); GetElevatorFloor(2),69
0068,,1,0,0,,,,,,End(1),1
0069,,24,141,5,0; 1; 2; 3; 4; 8; 9; 10; 11; 12; 14; 15; 16; 19; 20; 21; 23; 26; 27; 32; 33; 34; 35; 36; 37; 38; 47; 48; 52; 53; 54; 55; 56; 57; 60; 61; 65; 69; 70; 73; 74; 75; 76; 77; 78; 79; 80; 81; 84; 85; 86; 87; 88; 89; 111; 112; 113; 114; 115; 116; 117; 118; 119; 120; 121; 128; 129; 130; 131; 132,,,335; 559; 681; 682; 683,0x4001; 0x4002; 0x4003; 0x404D; 0x414B; 0x414C; 0x414D; 0x414E; 0x414F; 0x4150; 0x4151; 0x8000; 0x8001; 0x8004,CompareVarValue(130); JumpIf(122); Jump(102); Message(92); CMD_412(68); Call(64); SetVar(59); End(36); Return(31); CloseMessage(29),1115
0070,,4,11,3,,,,,0x4000; 0x402A,CompareVarValue(10); CallIf(8); End(8); Return(7); Call(6); SetVar(6); FadeScreen(4); WaitFadeScreen(4); Warp(4); MecScript(3),99
0071,,3,7,10,,,,,,End(13); Movement(10); WalkEast8(8); WalkNorth8(8); SetInvisible(8); WaitMovement(6); WalkSouth8(6); Jump(5); CompareVarValue(4); JumpIf(3),94
0072,,1,0,0,,,,,,End(1),1
0073,,1,0,0,,,,,,End(1),1
0074,,1,0,0,,,,,,End(1),1
0075,,10,49,20,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17,,,685; 686; 687; 688; 689,0x4000; 0x4009; 0x414B; 0x414D; 0x4151,CompareVarValue(68); JumpIf(67); End(48); CMD_412(31); ClearFlag(30); Jump(25); Message(24); ReleaseAll(20); Movement(20); CloseMessage(19),565
0076,,39,74,10,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 26; 27; 29; 30; 31; 39; 40; 41,0x8004,,393; 564; 638,0x8000; 0x8001; 0x8004; 0x8005; 0x8006; 0x8007,SetVar(151); JumpIf(82); CompareVarValue(81); Jump(69); CreateMultiTouchBox(67); End(54); Message(36); LockAll(35); ReleaseAll(35); PlayFanfare(33),951
0077,D32FS0101,4,0,0,0; 1,,,,0x8004,PlayFanfare(4); LockAll(4); FacePlayer(4); CommonScript(4); ReleaseAll(4); End(4); FreezeMessage(2); SetVar(2); Message(2); WaitButton(2),34
0078,D32PC0101,5,0,0,0; 1; 2,,,,0x40E5; 0x8007,End(5); PlayFanfare(3); LockAll(3); FacePlayer(3); Message(3); WaitButton(3); CloseMessage(3); ReleaseAll(3); SetVar(2); CommonScript(1),29
0079,D32PC0102,1,0,0,,,,,,End(1),1
0080,,12,25,4,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35,,,2507; 374,0x40E5; 0x40E6,Message(38); End(22); JumpIf(16); Jump(16); CompareVarValue(15); CloseMessage(13); Movement(13); WaitButton(12); ReleaseAll(12); LockAll(11),246
0081,,9,19,16,0; 1; 2; 3; 4; 5; 6; 7; 8,,,336; 393; 603; 638,0x40E5,End(35); Movement(24); JumpIf(18); CompareVarValue(16); CloseMessage(15); WalkNorth8(14); ReleaseAll(13); WaitButton(11); LockAll(10); Message(10),306
0082,WILD AREA,4,0,0,,,,,,End(4); PlayFanfare(3); LockAll(3); FacePlayer(3); CommonScript(3); ReleaseAll(3),19
0083,,3,0,0,,,,,,End(3),3
0084,,14,47,8,0; 1; 2; 3; 4; 5; 6; 7; 9; 11; 12; 13; 14; 15; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33,,,,0x4000; 0x4003; 0x4004; 0x404E; 0x4142; 0x4143; 0x4144,CompareVarValue(42); Jump(27); Message(27); CallIf(26); Return(24); SetVar(18); End(18); JumpIf(16); CloseMessage(13); Movement(12),388
0085,,22,104,8,0; 1; 2; 3; 4; 5; 6; 9; 11; 12; 13; 14; 15; 30; 31; 32; 33; 34; 35; 36; 57; 59; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 78; 79; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 94; 95; 96; 97; 98; 99,,,254; 2721; 564,0x4000; 0x4003; 0x4004; 0x4021; 0x4029; 0x404F; 0x4053; 0x4145; 0x4146,CompareVarValue(94); Jump(69); JumpIf(67); Message(66); Return(33); End(32); CallIf(31); SetVar(25); CloseMessage(20); PlayFanfare(17),713
0086,,14,52,8,0; 1; 2; 3; 4; 5; 6; 7; 8; 29; 30; 32; 33; 34; 35; 36; 37; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52,,,,0x4000; 0x4003; 0x4004; 0x4050; 0x4147; 0x4148,CompareVarValue(56); Jump(34); JumpIf(34); Message(32); CallIf(22); Return(21); End(19); SetVar(17); CloseMessage(14); CloseTouchScreen(13),462
0087,,17,52,8,0; 1; 2; 3; 4; 5; 6; 7; 8; 29; 30; 32; 33; 34; 35; 36; 37; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55,,,,0x4000; 0x4003; 0x4004; 0x4051; 0x4149; 0x414A,CompareVarValue(56); Message(35); Jump(34); JumpIf(34); CallIf(22); End(22); Return(21); SetVar(17); CloseMessage(17); PlayFanfare(14),484
0088,,10,30,14,0; 1; 2; 3; 4; 7; 10; 11; 12; 13; 14; 15,,,369; 485; 499; 500; 504; 640,0x40A8; 0x8004,End(32); Message(28); CompareVarValue(27); JumpIf(27); Jump(22); Movement(17); SetOWPosition(11); WaitMovement(10); CloseMessage(9); Delay8(9),289
0089,,33,65,22,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10,,SPECIES_KOFFING; SPECIES_VOLTORB; SPECIES_GEODUDE; SPECIES_VOLTORB; SPECIES_GEODUDE; SPECIES_VOLTORB; SPECIES_VOLTORB; SPECIES_KOFFING; SPECIES_KOFFING; SPECIES_GEODUDE; SPECIES_GEODUDE; SPECIES_KOFFING; SPECIES_VOLTORB; SPECIES_VOLTORB; SPECIES_KOFFING; SPECIES_GEODUDE,214; 488; 587; 588; 589; 594,0x40A9; 0x40AC; 0x40AD; 0x40AE; 0x40AF; 0x40B0; 0x40B1; 0x40B2; 0x40B3; 0x40B4; 0x40B5; 0x40B6; 0x40B7; 0x40B8; 0x40B9; 0x40BA; 0x40BB; 0x40BC; 0x40BD; 0x40BE; 0x40BF; 0x40C0; 0x40C1,Movement(118); CompareVarValue(115); JumpIf(115); WaitMovement(90); End(76); SetVar(73); Message(56); ReleaseAll(47); Jump(43); CloseMessage(42),1143
0090,,15,24,44,0; 3; 4; 5; 6; 8; 14; 15; 17; 20; 21; 22; 23; 24; 25; 26; 27,,,164; 202; 203; 204; 205; 211; 2411; 2412; 2413; 2456; 485; 488; 498; 499; 501; 502; 503; 505; 506; 507; 587; 588; 589; 594,0x4007; 0x400A; 0x40A9; 0x40AC; 0x40B2; 0x40B3; 0x40B4; 0x40B5; 0x40B6; 0x40B7; 0x40B8; 0x40B9; 0x40BA; 0x40BB; 0x40BC; 0x40BD; 0x40BE; 0x40BF; 0x40C0; 0x40C1; 0x410F; 0x8004; 0x8005,Movement(73); End(72); SetVar(55); WaitMovement(43); SetFlag(41); JumpIf(31); CloseMessage(29); LockFollowingPoke(26); WaitFollowingPoke(26); SetFollowingPokeMovement(26),774
0091,,9,10,27,2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,,,211; 486; 500; 509; 586; 587; 588; 589; 640,0x40AC,End(43); Movement(42); WaitMovement(29); CloseMessage(20); Message(19); LockFollowingPoke(19); WaitFollowingPoke(19); SetFollowingPokeMovement(19); JumpIf(12); ReleaseAll(11),418
0092,SYD FOREST 01; SYD FOREST 02; SYD FOREST 03; SYD FOREST 04; SYD FOREST 05; SYD FOREST 06; SYD FOREST 07; SYD FOREST 08,23,183,90,0; 1; 2; 3; 4; 6; 8; 10; 11; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55,,,123; 125; 126; 128; 198; 293; 294; 393; 423; 424; 428; 429; 430; 431; 467; 468; 573; 638; 667; 668; 769; 770; 784,0x4000; 0x4001; 0x4002; 0x4003; 0x4004; 0x4008; 0x400A; 0x4099; 0x409A; 0x409B; 0x409C; 0x409D; 0x409E; 0x40E9; 0x40EA; 0x40F4; 0x40FE; 0x412B; 0x8004; 0x8005,End(176); JumpIf(166); CompareVarValue(151); Movement(145); SetVar(123); Jump(110); WaitMovement(110); Message(91); ReleaseAll(78); CloseMessage(76),2172
