command,total_uses
StopFanfare,25
GetElevatorFloor,25
DayCareSanitizeMon,25
GetEyeTrainerNum,25
EndTrade,24
JumpOnSpotWest8,24
WalkSouth16,24
SetElevatorWarp,24
ChoosePokemonNickname,24
FadeOutMusic,23
FreeDoor,23
WalkWest16,23
WalkEast16,23
ShakeCamera,23
ShowMoney,23
UpdateMoney,23
ChoosePokemonSelection,22
FinishOverworldScreen,22
SetOWMovement,22
CheckPlayerForm,21
YesNoBox,21
GetBattleOutcome,21
CMD_271,20
HideSpecialCurrency,19
ShowMulti,19
JumpOnSpotNorth8,19
WalkWest6,19
TakeItem,19
DecrementVar,19
TextMove,18
GetTimePeriod,18
MysteryGiftGive,18
CMD_272,18
ShowSpecialCurrency,17
OpenDoor,17
JumpOnSpotEast8,17
WalkEast6,17
DisablePokegearRematch,17
CMD_261,17
CMD_258,16
FloorTrapAnimation,16
WildBattle,16
CloseDoor,15
WalkNorth6,15
MultiLocalText,15
OpenMessage,15
InitTrade,14
TradePokemonScreen,14
WalkOnSpotNorth2,14
CheckMoveInParty,14
NoBallResetFollowingPoke,14
VermillionGymBin,14
TrainerMessage,14
TempMusic,13
UnvanishOverworld,13
PartyPokemonTradeScreen,13
GetItemQuantity,13
FollowingPokemonIsEventTrigger,13
SetOWDefaultPosition,13
SetVarFromFlexible,13
CheckPokemonHasMove,13
WalkOnSpotEast4,13
TextFloor,13
CheckPlayerGender,12
GetFollowingPokePartySlot,12
GetRequestedPokemon,12
JumpFarEast,12
CMD_682,12
SetFollowingPokeStatus,12
AzaleaGym,12
CheckBike,11
WaitTimeOrAB,11
TextRulesetName,11
LockCamera,11
ReleaseCamera,11
ShakeOverworld,11
Delay32,11
CheckPortrait,11
DressUpArtworkScreen,11
NationalDex,11
PlayDefaultMusic,10
CMD_226,10
CMD_227,10
AddRoamingPokemon,10
WalkOnSpotWest2,10
Battle2vs2,10
JumpOnSpotSouth8,10
AddHappiness,10
FollowingPokeJump,10
GetMoveSelection,9
CountPartyBornPokemon,9
JumpFarWest,9
JumpFarSouth,9
WalkOnSpotWest4,9
WalkOnSpotEast2,9
CMD_444,9
CMD_725,9
CMD_820,9
CheckFollowingPoke,9
CyclingRoad,9
GetPokemonHappiness,9
TrainerMusic,9
GetTrainerPathToPlayer,9
AddWaitingIcon,8
RemoveWaitingIcon,8
CheckStarter,8
CheckTrainerFlag,8
GetCounterpartSprite,8
CMD_828,8
GiveRibbon,8
SetSafariFlag,8
CountPCFreeSpace,8
AdjustFollowingPokeMood,8
CMD_582,8
SetDeoxysForm,8
SetFollowingPokePosition,8
RunWest,8
GetFollowingPokeSize,8
ShowPokemonPic,8
HideMomMoney,8
PokemonSummaryScreen,7
TextPartyPokemonMove,7
CountAlivePokemonExceptFirst,7
UseScript_#31,7
SaveGame,7
CheckPartyPokemonForm,7
WalkOnSpotNorth4,7
ActivateRocketCostume,7
ElevatorAnimation,7
TeleportDown,7
CMD_410,7
CMD_420,7
CMD_627,7
CMD_633,7
JumpSouth8,7
DummyNationalDexCheck,7
SendOutFollowingPoke,7
PalParkScoreResult,7
GetCurrentHeaderID,6
MessageAll,6
PartyLegalCheck,6
ReplaceMove,6
JumpFarNorth,6
CheckBornPokemonInParty,6
CheckDefeatedPokemon,6
JumpEast8,6
CompareMoneyFlex,6
SetFlagFromVar,6
RockSmashItemCheck,6
HeadbuttEncounter,6
SwapFollowingPokeAndPlayerPositions,6
GetBornPokemonPartyPos,6
CheckRibbon,6
CheckSeals,6
GiveSeals,6
TextSealPlural,6
AddListOption,6
LoadPokegearData,6
TakeBP,5
CMD_680,5
TextItemPlural,5
PCBoxScreen,5
MultiStandardText,5
MessageNoSkip,5
WalkOnSpotSouth2,5
CMD_709,5
JumpNorth8,5
CelebiTimeTravelAnimation,5
WalkOnSpotSouth4,5
CMD_553,5
TextItemLowercase,5
CheckCompleteNationalDex,5
TextBugContestPlacement,5
BugContestControl,5
HidePokemonPic,5
CMD_48,5
Pokeathlon,5
GetDaycareStatus,5
OpenPokedexScreen,5
CanGiveCoins,5
Nop,5
GiveCoins,5
SetRebattleTrainerID,5
TrainerStepTowardsPlayer,5
CMD_262,5
CMD_263,5
GetMoveCount,4
HideSaveBox,4
CMD_230,4
CMD_451,4
CMD_762,4
CMD_763,4
CMD_761,4
CheckBugContestParticipant,4
CountSeenUnown,4
OpenAlphaPuzzle,4
OpenRuinsofAlphHiddenRoom,4
WalkOnSpotEast16,4
CMD_413,4
CMD_637,4
CMD_643,4
CMD_832,4
CheckGivenAccessory,4
CMD_712,4
CMD_817,4
CMD_149,4
Strength,4
SetOWDefaultDirection,4
BoatAnimation,4
UpdateTownMap,4
CMD_232,4
CMD_233,4
GiveAthletePoints,4
CheckPokemonInParty,4
RunSouth,4
RunNorth,4
0070,4
RankingView,4
GivePokemonEgg,4
TrainerMsgCheck,4
CMD_274,4
CMD_269,4
DrawScreenUnion,4
RecordMixingUnion,4
CMD_629,4
CMD_266,4
CMD_587,3
CheckBP,3
TutorMoveTeachInSlot,3
CheckTrainerCardLevel,3
DummyGetVar,3
CMD_492,3
CMD_494,3
InitWFC,3
GiveAccessory,3
GiveDressupBackground,3
CMD_616,3
EnterBattleRoom,3
CMD_152,3
CMD_800,3
RenderCutscene,3
CMD_726,3
UpgradePokegear,3
GetBuenasPassword,3
CMD_770,3
CMD_409,3
CMD_414,3
BattleHallCountUsedSpecies,3
GiveSpikyEaredPichu,3
JumpWest8,3
CMD_833,3
CMD_823,3
CMD_792,3
StoreApricornJuice,3
TakeMoneyFlex,3
CompareAthletePoints,3
TakeAthletePoints,3
CMD_819,3
CheckMomGift,3
ClearFlagFromVar,3
UseScript_#9,3
CountTotalAlivePokemon,3
KenyaCheckPartyOrMailbox,3
GetScratchCardPrize,3
GetDaycareNames,3
DummyGetPokemonFootprint,3
CMD_546,3
VermillionGymAnimation,3
ElevatorBox,3
CheckBGAccessory,3
CountTranformedRotomsInParty,3
CheckFatefulEncounter,3
TextSealSingular,3
TextPokemonRecordSize,3
ResponseTeachMove,3
GetPartyPokemonTypes,3
TrainerID,3
CMD_264,3
CMD_592,3
CountPartyEggs,3
TrainerCaseUnion,3
UnionChoosePKMNSelection,3
CMD_586,3
TradeScreenUnion,3
CMD_151,2
ExitBattleRoom,2
GetTutorPageQuantity,2
MoveTutorChooseMove,2
SurvivePoison,2
SealCapsuleScreen,2
RideBike,2
MartSell,2
CMD_771,2
CMD_772,2
TextAccessory,2
TextBackgroundName,2
FollowingPokePCAnimation,2
CountMail,2
MailScreen,2
CMD_840,2
UseScript_#13,2
CommSanitizeParty,2
CMD_803,2
BattleRoomWarp,2
ShowLegendaryWing,2
CMD_805,2
CMD_755,2
CMD_757,2
CMD_765,2
CMD_766,2
CMD_756,2
CMD_764,2
TextNumberSp,2
WalkOnSpotWest16,2
CMD_415,2
CMD_521,2
SetOWDirection,2
CMD_411,2
CMD_416,2
CMD_417,2
CMD_846,2
ScratchOffScreen,2
SetMatrixAlternativeMap,2
CheckHeadbuttCompatibility,2
CMD_831,2
GetOWDirection,2
EndGameScreen,2
CMD_824,2
CMD_791,2
CheckJuice,2
CMD_835,2
CheckItemIsMachine,2
TextAttackItem,2
CheckPartner,2
RockClimbAnimation,2
SurfAnimation,2
WaterfallAnimation,2
WhirlpoolAnimation,2
Flash,2
FlashAnimation,2
TextCapitalize,2
FollowingPokeFlash,2
CheckFollowingPokeNextToPlayer,2
CMD_731,2
GetDexProgressMsg,2
CheckCompleteJohtoDex,2
TextBugContestRemainingTime,2
TextBugContestPokeNickname,2
GetPreviousHeaderID,2
EnableMassOutbreaks,2
CMD_565,2
SystemSetSleepFlag,2
TextPokeathlonCourseName,2
CheckCurrentRadioSong,2
CatchTutorial,2
GivePokedex,2
WalkOnSpotSouth16,2
CheckPokemonMail,2
CheckReturnLoanPokemon,2
DeletePartyPokemon,2
SetOWDefaultMovement,2
UpdateDayCareMonOverworlds,2
GiveLoanPokemon,2
CMD_718,2
CMD_551,2
CMD_552,2
TextDaycareMonData,2
LastBattleCheckCaught,2
GetPokeNameFromFossil,2
CheckTradedPokemon,2
VermilionGymInit,2
HasCoinsImmediate,2
TextTypeName,2
PalParkDepositCountCheck,2
CMD_722,2
GetPartyPokemonForm,2
UpdateRotomForme,2
GetPartyPokemonMove,2
JumpOnSpotSouth16,2
GiveShoes,2
ChooseRivalName,2
UpdateStarterSelectionMachine,2
ListLocalText,2
ShowList,2
WaitABPad,2
CheckMoneyFull,2
TakeMomMoney,2
GiveTogepiEgg,2
EasyChat,2
TextTrainerClass,2
AzaleaGym2,2
CheckKurtApricorn,2
CMD_775,2
TextPartyPokemonSize,2
TeachMovesScreen,2
CMD_807,2
TrainerTypeCheck,2
Check2vs2,2
GetTrainerEyeType,2
CMD_317,2
CMD_268,2
CountPokemonUnderLevel,2
WorldMapScreen,1
TutorMoveGetPrice,1
ReturnScriptWkSet,1
GeonetScreen,1
CMD_455,1
EggHatchScreen,1
PreparePokeGearCall,1
CMD_662,1
MartScreen,1
SpMartScreen,1
CMD_806,1
DummyTextTrap,1
Menu,1
DummyLostBattle,1
ShowSaveBox,1
CheckSaveGame,1
PreparePCAnimation,1
OpenPCAnimation,1
StartPokeGearCall,1
UseScript_#58,1
UseScript_#59,1
UseScript_#60,1
UseScript_#62,1
UseScript_#63,1
UseScript_#64,1
PCHealAnimation,1
UseScript_#50,1
UseScript_#51,1
UseScript_#52,1
UseScript_#54,1
UseScript_#55,1
UseScript_#56,1
CheckPokerus,1
PlayerMovementSavingSet,1
PlayerMovementSavingClear,1
CMD_642,1
CMD_706,1
HallOfFameData,1
CMD_148,1
ClosePCAnimation,1
SaveWipeExtraChunks,1
GetUniqueSealsQuantity,1
CMD_617,1
PlayerGive,1
PlayerReceive,1
NurseJoyBow,1
CMD_252,1
CMD_837,1
CMD_799,1
CMD_801,1
CMD_802,1
UnionMapChange,1
WalkNorth32,1
WalkWest32,1
0069,1
006A,1
006B,1
006C,1
006D,1
006E,1
GetLottoNumber,1
CheckWinLotto,1
BufferBoxPokemonNick,1
CMD_459,1
CMD_419,1
UseScript_#6,1
CMD_408,1
IVCheckerJudge,1
CMD_418,1
BattleTowerSetUpMultiBattle,1
CMD_520,1
CMD_628,1
CMD_636,1
TextBattleHallStreak,1
BattleHallGetTotalStreak,1
CMD_635,1
CMD_634,1
CMD_640,1
CMD_639,1
CMD_638,1
CMD_646,1
CMD_645,1
CMD_644,1
CMD_710,1
UseScript_#12,1
CMD_830,1
ContestDressupScreen,1
SetPortraitTitle,1
PauseAnimation,1
ResumeAnimation,1
CMD_759,1
CMD_767,1
CMD_769,1
CMD_768,1
CMD_716,1
CMD_822,1
CMD_834,1
CMD_743,1
CreatePokeathlonFriendshipRoomStatues,1
InitMystriStageAnimation,1
UnownCircle,1
UseScript_#801,1
CMD_811,1
CMD_812,1
CountJohtoDexSeen,1
CountJohtoDexObtained,1
CountNationalDexSeen,1
CountNationalDexObtained,1
InitLotto,1
HarvestApricorn,1
GetApricornColor,1
TextApricorn,1
GiveApricorn,1
BugContestResults,1
FollowingPokeFacePlayer,1
TalkFollowingPoke,1
CMD_691,1
CMD_564,1
CMD_547,1
CheckChatotCry,1
StartChatotCry,1
FadeInMusic,1
StopChatotCry,1
SaveChatotCry,1
CMD_548,1
CMD_549,1
CMD_234,1
CMD_237,1
CMD_235,1
CMD_540,1
CMD_538,1
WalkEast32,1
DummyActivateMysteryGift,1
SetLastWarp,1
WalkOnSpotNorth32,1
TakePokemonMail,1
CheckDayCareEgg,1
WalkOnSpotNorth16,1
CMD_721,1
CMD_719,1
CMD_720,1
CMD_717,1
ReleaseScriptApp,1
CMD_631,1
RemoveDayCareEgg,1
GetDayCareMonCompatibility,1
CheckDaycareLevelGain,1
GiveDayCareMon,1
GetDayCareSpeciesandNick,1
GiveDayCareEgg,1
TextDayCareCost,1
RetrieveDayCareMon,1
CheckJadeOrbRequirements,1
ViridianGymInit,1
GetFossilCount,1
CheckFossil,1
CMD_491,1
ResetVermilionGymCans,1
GetHiddenPowerType,1
CheckGBACartidge,1
PalParkBoxPokemonCaught,1
HallOfFameAnime,1
GetOwnedRotomFormes,1
CountPartyMonsOfSpecies,1
GetPartySlotWithSpecies,1
StarterSelectionScreen,1
SetStarter,1
WalkNorth3,1
Delay15,1
ShowMomMoney,1
CheckMomMoneyBalance,1
GetShinyLeafCount,1
TryGiveShinyLeafCrown,1
InitVioletGym,1
VioletGymElevator,1
CheckPrimoPasswordWallpaper,1
CheckPrimoPasswordEggs,1
TextPlayerTrainerType,1
TextUnionRoomTrainerClassOptions,1
CheckUnionRoomTrainerClass,1
CheckUnionRoomTrainerSprite,1
SetUnionRoomSprite,1
InitAzaleaGym,1
GetApricornCount,1
KurtApricornMenuScreen,1
GetApricornBallID,1
ClearKurtApricornData,1
CianwoodGymInit,1
CianwoodGymTurnWinch,1
GiveMoney,1
CMD_681,1
SetFavoriteMon,1
CMD_579,1
StoreGTSStatus,1
GiveRandomSeals,1
ComparePokemonPlayerSize,1
SetPokemonSizeRecord,1
BlackthornGymInit,1
CountPokemonEVs,1
GetPokemonGender,1
CheckHasLearnableMoves,1
RememberMoveScreen,1
CMD_394,1
CMD_395,1
DeleteMove,1
FlagStatusToVar,1
CMD_809,1
CMD_808,1
CMD_555,1
GetOWMovement,1
GetPokegearContactGiftItem,1
CMD_315,1
CMD_316,1
CMD_454,1
TrainerRematchMsgCheck,1
GetPokegearContactRandomGiftBerry,1
RevealTrainer,1
UseScript_#16,1
UseScript_#17,1
UseScript_#18,1
CMD_270,1
CMD_273,1
CMD_841,1
CMD_585,1
CMD_576,1
CMD_260,1
CMD_630,1
CMD_265,1
