Header_ID,Internal_Name,Script_File,Mart_Indices,Given_Item_IDs,CommonScript_Give_IDs
360,RADE 05 GYM07,859,,,367 | 427 | 671
361,RADE 06 HS30,940,,,38
365,HOTEL 2 HS33,222,,,364
372,RADE F2 LIBRY,6,27(special),,
373,RADE F3 LIBRY,25,,,217
375,SEWER AREA 01,913,,,350 | 350 | 350
376,SEWER AREA 02,913,,,350 | 350 | 350
377,SEWER AREA 03,913,,,350 | 350 | 350
378,SEWER ROOM 01,932,,,334 | 334
380,SEWER ROOM 03,807,,,156 | 164 | 169 | 165 | 170 | 175 | 168 | 173 | 178 | 167 | 172 | 182
381,SEWER ROOM 04,123,,,50 | 50
392,MANSION A1,252,,,423 | 423
393,MANSION A2,252,,,423 | 423
396,MANSION A5,116,6(special) | 14(special),,
413,TROO 04 PM09,759,1(regular) | 17(special),,
414,TROO 05 GYM08,922,,,357 | 668 | 426 | 425 | 357 | 656
417,TROO 08 HS38,833,,,356
419,TROO 10 HS40,841,,,480
448,DEPART 2 F2,790,18(special) | 19(special),,
449,DEPART 2 F3,791,20(special),,
450,DEPART 2 F4,792,21(special),,
451,DEPART 2 F5,793,23(special) | 22(special),,
454,DEPART 2 ROOM,800,,,247
457,D11R0106,15,,,377
473,T03GYM0101,752,,,407
474,T03FS0101,751,25(special) | 1(regular),,
478,T08FS0101,808,24(special) | 1(regular),,
479,T08R0201,812,,,16
489,R10R0202,196,,,384
505,VICTRY RD 2 5,42,,,469
517,R05R0401,183,,,224
518,D02FS0101,6,27(special),,
530,D32FS0101,77,1(regular) | 12(special),,
531,HOME 57 SROD,200,,,447
536,T25SP0101,910,,,444 | 444
537,T07SP0101,806,,,444 | 444
