BankId,Area,SurfRate,Slot1Pct,Slot1Species,Slot1Min,Slot1Max,Slot2Pct,Slot2Species,Slot2Min,Slot2Max,Slot3Pct,Slot3Species,Slot3Min,Slot3Max,Slot4Pct,Slot4Species,Slot4Min,Slot4Max,Slot5Pct,Slot5Species,Slot5Min,Slot5Max,HeadersUsed
27,SUB CAVE 1,15,60,CORSOLA,8,10,30,CARVANHA,9,11,5,FRILLISH,9,11,4,MAGIKARP,10,12,1,MAGIKARP,10,13,84
28,SUB CAVE 2,15,60,CARVANHA,8,10,30,CORSOLA,9,11,5,MAGIKARP,9,11,4,MAGIKARP,10,12,1,MAGIKARP,10,13,7;85
29,SUB PATH 1,15,60,MAREANIE,11,11,30,POLIWAG,10,12,5,CLAUNCHER,10,12,4,MAGIKARP,11,13,1,MAGIKARP,11,14,86
30,SUB PATH 2,15,60,FEEBAS,9,11,30,POLIWAG,10,12,5,TYMPOLE,10,12,4,MAGIKARP,11,13,1,MAGIKARP,11,14,87
31,SUB PATH 3,15,60,MAREANIE,11,11,30,CLAMPERL,10,12,5,REMORAID,10,12,4,MAGIKARP,11,13,1,MAGIKARP,11,14,88
32,SUB PATH 4,15,60,STARYU,9,11,30,PYUKUMUKU,10,12,5,CLAMPERL,10,12,4,MAGIKARP,11,13,1,MAGIKARP,11,14,89
33,ROCK PASSAGE,15,60,FRILLISH,10,12,30,CARVANHA,11,13,5,CORSOLA,11,13,4,MAGIKARP,12,14,1,MAGIKARP,12,15,90
34,ICE PASSAGE,15,60,SPHEAL,10,12,30,MAGIKARP,11,13,5,SPHEAL,11,13,4,MAGIKARP,12,14,1,MAGIKARP,12,15,91
35,STEEL PASSAGE,15,60,FRILLISH,10,12,30,MAGIKARP,11,13,5,CARVANHA,11,13,4,MAGIKARP,12,14,1,MAGIKARP,12,15,92
36,SANSTONE CAVE,15,60,MAGIKARP,10,12,30,FRILLISH,11,13,5,CARVANHA,11,13,4,MAGIKARP,12,14,1,MAGIKARP,12,15,105
37,FISHERMAN,15,60,TYMPOLE,11,13,30,HORSEA,12,14,5,SHELLDER,12,14,4,MAGIKARP,13,15,1,MAGIKARP,13,16,
38,PALM TREE,15,60,SURSKIT,14,16,30,FEEBAS,15,17,5,LUVDISC,15,17,4,MAGIKARP,16,18,1,MAGIKARP,16,19,
39,Cave Generic 2,15,60,CORSOLA,11,13,30,MAGIKARP,12,14,5,CARVANHA,12,14,4,MAGIKARP,13,15,1,MAGIKARP,13,16,131;145;146
40,WAYDOWN CAVE,15,60,CORSOLA,11,13,30,CARVANHA,12,14,5,FRILLISH,12,14,4,MAGIKARP,13,15,1,MAGIKARP,13,16,147;148
41,ROUTE 7 AREA 1,15,60,CORSOLA,13,15,30,CLAMPERL,14,16,5,FINNEON,14,16,4,MAGIKARP,15,17,1,MAGIKARP,15,18,129
42,ROUTE 7 AREA 2,15,60,SEEL,13,15,30,CARVANHA,14,16,5,CLAUNCHER,14,16,4,MAGIKARP,15,17,1,MAGIKARP,15,18,130
43,ROUTE 7 AREA 3,15,60,POLIWAG,14,16,30,WAILMER,15,17,5,SPHEAL,15,17,4,MAGIKARP,16,18,1,MAGIKARP,16,19,134
44,ROUTE 7 AREA 4,15,60,CORSOLA,14,16,30,HORSEA,15,17,5,REMORAID,15,17,4,MAGIKARP,16,18,1,MAGIKARP,16,19,136
45,ROUTE 8 AREA 1,15,60,STARYU,15,17,30,GOLDEEN,16,18,5,MAGIKARP,16,18,4,MAGIKARP,17,19,1,GYARADOS,20,20,150
46,ROUTE 8 AREA 2,15,60,WAILMER,15,17,30,MAGIKARP,16,18,5,HORSEA,16,18,4,MAGIKARP,17,19,1,GYARADOS,20,20,151
47,ROUTE 8 AREA 3,15,60,WINGULL,17,19,30,CARVANHA,18,20,5,MAGIKARP,18,20,4,MAGIKARP,19,20,1,GYARADOS,20,22,161
48,ROUTE 8 AREA 4,15,60,TENTACOOL,17,19,30,TYMPOLE,18,20,5,REMORAID,18,20,4,MAGIKARP,19,20,1,GYARADOS,20,22,162;486
49,VOLTIC CAVE 1,15,60,MAGIKARP,17,19,30,CARVANHA,18,20,5,CORSOLA,18,20,4,MAGIKARP,19,20,1,MAGIKARP,19,20,152
50,VOLTIC CAVE 2,15,60,FRILLISH,17,19,30,CORSOLA,18,20,5,CARVANHA,18,20,4,MAGIKARP,19,20,1,MAGIKARP,19,20,153
51,VOLTIC CAVE 3,15,60,CARVANHA,17,19,30,FRILLISH,18,20,5,CORSOLA,18,20,4,MAGIKARP,19,20,1,MAGIKARP,19,20,155
52,VOLTIC CAVE 4,15,60,MAGIKARP,19,20,30,FRILLISH,20,22,5,MAGIKARP,20,20,4,MAGIKARP,2,20,1,MAGIKARP,2,20,156
53,VOLTIC CAVE 5,15,60,FRILLISH,19,21,30,MAGIKARP,20,20,5,MAGIKARP,20,20,4,MAGIKARP,2,20,1,MAGIKARP,2,20,158
54,VOLTIC CAVE 6,15,60,CARVANHA,19,21,30,MAGIKARP,20,20,5,MAGIKARP,20,20,4,MAGIKARP,2,20,1,MAGIKARP,2,20,159
55,SYD FOREST 1,15,60,SKRELP,21,22,30,GOLDEEN,21,23,5,GYARADOS,21,23,4,GYARADOS,22,24,1,GYARADOS,22,25,232
56,SYD FOREST 2,15,60,SEEL,20,22,30,POLIWAG,21,23,5,GYARADOS,21,23,4,GYARADOS,22,24,1,GYARADOS,22,25,233
57,SYD FOREST 3,15,60,MAGIKARP,20,20,30,WAILMER,21,23,5,GYARADOS,21,23,4,GYARADOS,22,24,1,GYARADOS,22,25,234
58,SYD FOREST 4,15,60,HORSEA,22,24,30,PELIPPER,25,25,5,OCTILLERY,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,235
59,SYD FOREST 5,15,60,WAILMER,22,24,30,PELIPPER,25,25,5,OCTILLERY,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,236
60,SYD FOREST 6,15,60,SURSKIT,22,24,30,PELIPPER,25,25,5,OCTILLERY,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,237
61,SYD FOREST 7,15,60,FRILLISH,23,25,30,PELIPPER,25,26,5,OCTILLERY,25,26,4,GYARADOS,25,27,1,GYARADOS,25,28,238
62,SYD FOREST 8,15,60,POLIWHIRL,25,25,30,OCTILLERY,25,26,5,PELIPPER,25,26,4,GYARADOS,25,27,1,GYARADOS,25,28,239
63,SYD FOREST 9,15,60,CORSOLA,24,26,30,LANTURN,27,27,5,OCTILLERY,25,27,4,GYARADOS,26,28,1,GYARADOS,26,29,240
64,ROUTE 12 AREA 1,15,60,CHINCHOU,25,27,30,OCTILLERY,26,28,5,LANTURN,27,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,
65,ISLAND 1 AREA 1,15,60,DUCKLETT,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,163
66,ISLAND 1 AREA 2,15,60,MAREANIE,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,
67,ISLAND 1 AREA 3,15,60,TENTACOOL,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,
68,ISLAND 1 AREA 4,15,60,WINGULL,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,
69,ISLAND 1 AREA 5,15,60,WINGULL,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,
70,ISLAND 1 AREA 6,15,60,MANTYKE,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,
71,ISLAND 1 AREA 7,15,60,WINGULL,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,
72,ISLAND 1 AREA 8,15,60,DUCKLETT,23,25,30,PELIPPER,25,26,5,GYARADOS,24,26,4,GYARADOS,25,27,1,GYARADOS,25,28,
73,Dark Cave 1,15,60,CORSOLA,25,27,30,FRILLISH,26,28,5,MAGIKARP,2,20,4,MAGIKARP,2,20,1,MAGIKARP,2,20,
74,Dark Cave 2,15,60,FRILLISH,25,27,30,CARVANHA,26,28,5,MAGIKARP,2,20,4,MAGIKARP,2,20,1,MAGIKARP,2,20,
75,ISLAND CAVE AREA 1,15,60,MAREANIE,25,27,30,PELIPPER,26,28,5,GYARADOS,26,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,
76,ISLAND CAVE AREA 2,15,60,MANTYKE,25,27,30,PELIPPER,26,28,5,GYARADOS,26,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,
77,ISLAND CAVE AREA 3,15,60,DUCKLETT,25,27,30,PELIPPER,26,28,5,GYARADOS,26,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,
78,ISLAND 2 AREA 1,15,60,MAREANIE,25,27,30,PELIPPER,26,28,5,GYARADOS,26,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,456
79,ISLAND 2 AREA 2,15,60,SKRELP,25,27,30,PELIPPER,26,28,5,GYARADOS,26,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,462
80,ISLAND 2 AREA 3,15,60,MAREANIE,25,27,30,PELIPPER,26,28,5,GYARADOS,26,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,463
81,ISLAND 2 AREA 4,15,60,TENTACOOL,25,27,30,PELIPPER,26,28,5,GYARADOS,26,28,4,GYARADOS,27,29,1,TENTACRUEL,30,30,464
82,ISLAND 3 AREA 1,15,60,MANTYKE,27,29,30,QWILFISH,30,30,5,PELIPPER,28,30,4,TENTACRUEL,30,31,1,GYARADOS,29,32,
83,ISLAND 3 AREA 2,15,60,MANTYKE,27,29,30,QWILFISH,30,30,5,PELIPPER,28,30,4,TENTACRUEL,30,31,1,GYARADOS,29,32,
84,ISLAND 4 AREA 1,15,60,MAREANIE,27,29,30,PELIPPER,28,30,5,QWILFISH,30,30,4,GYARADOS,29,31,1,TENTACRUEL,30,32,
85,ISLAND 4 AREA 2,15,60,TENTACOOL,29,31,30,QWILFISH,30,32,5,PELIPPER,30,32,4,GYARADOS,31,33,1,TENTACRUEL,31,34,
86,ISLAND 4 AREA 3,15,60,SKRELP,27,29,30,PELIPPER,28,30,5,QWILFISH,30,30,4,TENTACRUEL,30,31,1,GYARADOS,29,32,
87,ISLAND 5 AREA 1,15,60,MANTYKE,28,30,30,QWILFISH,30,31,5,PELIPPER,29,31,4,TENTACRUEL,30,32,1,GYARADOS,30,33,460
88,ISLAND 5 AREA 2,15,60,TENTACOOL,28,30,30,PELIPPER,29,31,5,QWILFISH,30,31,4,GYARADOS,30,32,1,TENTACRUEL,30,33,461
89,ISLAND 6 AREA 1,15,60,MAREANIE,36,38,30,CRAMORANT,37,39,5,SWANNA,37,39,4,GYARADOS,38,40,1,TOXAPEX,38,41,459
90,ISLAND 6 AREA 2,15,60,SKRELP,36,38,30,MANTINE,37,39,5,CRAMORANT,37,39,4,TENTACRUEL,38,40,1,GYARADOS,38,41,
91,ISLAND 7 AREA 1,15,60,MANTINE,39,41,30,QWILFISH,40,42,5,TENTACRUEL,40,42,4,TOXAPEX,41,43,1,GYARADOS,41,44,357;411;412
92,ISLAND 7 AREA 2,15,60,QWILFISH,39,41,30,CRAMORANT,40,42,5,GYARADOS,40,42,4,TENTACRUEL,41,43,1,TOXAPEX,41,44,
93,ISLAND 7 AREA 3,15,60,CRAMORANT,39,41,30,QWILFISH,40,42,5,TENTACRUEL,40,42,4,TOXAPEX,41,43,1,GYARADOS,41,44,
94,ISLAND 7 AREA 4,15,60,QWILFISH,39,41,30,PELIPPER,40,42,5,GYARADOS,40,42,4,TOXAPEX,41,43,1,TENTACRUEL,41,44,
95,ISLAND 7 AREA 5,15,60,CRAMORANT,39,41,30,PELIPPER,40,42,5,GYARADOS,40,42,4,TOXAPEX,41,43,1,TENTACRUEL,41,44,
96,ISLAND 7 AREA 6,15,60,MANTINE,39,41,30,SWANNA,40,42,5,TENTACRUEL,40,42,4,GYARADOS,41,43,1,TOXAPEX,41,44,
97,ISLAND 8 AREA 1,15,60,MANTINE,39,41,30,QWILFISH,40,42,5,TOXAPEX,40,42,4,GYARADOS,41,43,1,TENTACRUEL,41,44,
98,ISLAND 8 AREA 2,15,60,SWANNA,39,41,30,MANTINE,40,42,5,TOXAPEX,40,42,4,TENTACRUEL,41,43,1,GYARADOS,41,44,
99,ISLAND 9 AREA 1,15,60,DEWGONG,39,41,30,CLOYSTER,42,42,5,LAPRAS,42,42,4,LAPRAS,42,43,1,WALREIN,44,44,
100,ISLAND 9 AREA 2,15,60,DEWGONG,39,41,30,CLOYSTER,42,42,5,LAPRAS,42,42,4,LAPRAS,42,43,1,WALREIN,44,44,
101,ISLAND 9 AREA 3,15,60,DEWGONG,39,41,30,CLOYSTER,42,42,5,LAPRAS,42,42,4,LAPRAS,42,43,1,WALREIN,44,44,
102,ROUTE 9 AREA 1,15,60,CHINCHOU,22,24,30,OCTILLERY,25,25,5,PELIPPER,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,242
103,ROUTE 9 AREA 2,15,60,SKRELP,22,24,30,OCTILLERY,25,25,5,PELIPPER,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,243
104,ROUTE 9 AREA 3,15,60,PYUKUMUKU,22,24,30,PELIPPER,25,25,5,OCTILLERY,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,244
105,ROUTE 9 AREA 4,15,60,CLAUNCHER,22,24,30,OCTILLERY,25,25,5,PELIPPER,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,246
106,ROUTE 9 AREA 5,15,60,SEEL,22,24,30,PELIPPER,25,25,5,OCTILLERY,25,25,4,GYARADOS,24,26,1,GYARADOS,24,27,247
107,ROUTE 10 AREA 1,15,60,MANTYKE,24,26,30,PELIPPER,25,27,5,OCTILLERY,25,27,4,GYARADOS,26,28,1,GYARADOS,26,29,248
108,ROUTE 10 AREA 2,15,60,WISHIWASHI,24,26,30,OCTILLERY,25,27,5,LANTURN,27,27,4,GYARADOS,26,28,1,GYARADOS,26,29,249
109,ROUTE 10 AREA 3,15,60,PYUKUMUKU,24,26,30,PELIPPER,25,27,5,LANTURN,27,27,4,GYARADOS,26,28,1,GYARADOS,26,29,250
110,ROUTE 11 AREA 1,15,60,REMORAID,24,26,30,LANTURN,27,27,5,PELIPPER,25,27,4,GYARADOS,26,28,1,GYARADOS,26,29,221
111,ROUTE 11 AREA 2,15,60,CLAUNCHER,24,26,30,OCTILLERY,25,27,5,PELIPPER,25,27,4,GYARADOS,26,28,1,GYARADOS,26,29,9;222
112,ROUTE 11 AREA 3,15,60,PYUKUMUKU,24,26,30,PELIPPER,25,27,5,OCTILLERY,25,27,4,GYARADOS,26,28,1,GYARADOS,26,29,223;225
113,ROUTE 11 AREA 4,15,60,STARYU,24,26,30,PELIPPER,25,27,5,OCTILLERY,25,27,4,GYARADOS,26,28,1,GYARADOS,26,29,224
114,ROUTE 12 AREA 2,15,60,CLAUNCHER,27,29,30,WHISCASH,30,30,5,OCTILLERY,28,30,4,GYARADOS,29,31,1,TENTACRUEL,30,32,261
115,ROUTE 12 AREA 3,15,60,TYMPOLE,27,28,30,PELIPPER,28,30,5,LANTURN,28,30,4,GYARADOS,29,31,1,TENTACRUEL,30,32,262
116,ULURU 1 A 1,15,60,FRILLISH,27,29,30,SHARPEDO,30,30,5,SHARPEDO,30,30,4,SHARPEDO,30,31,1,MAGIKARP,2,20,268;269;275;297
117,ULURU 1 A 2,15,60,CARVANHA,27,29,30,SHARPEDO,30,30,5,SHARPEDO,30,30,4,SHARPEDO,30,31,1,MAGIKARP,2,20,276
118,ULURU 1 A 3,15,60,CORSOLA,27,29,30,SHARPEDO,30,30,5,SHARPEDO,30,30,4,SHARPEDO,30,31,1,MAGIKARP,2,20,277
119,ROUTE 14 AREA 1,15,60,SPHEAL,29,31,30,SEALEO,32,32,5,MAGIKARP,2,20,4,MAGIKARP,2,20,1,MAGIKARP,2,20,278;279
120,ROUTE 14 AREA 2,15,60,SPHEAL,29,31,30,SEALEO,32,32,5,MAGIKARP,2,20,4,MAGIKARP,2,20,1,MAGIKARP,2,20,288
121,ROUTE 14 AREA 3,15,60,SEALEO,32,33,30,DEWGONG,34,34,5,DEWGONG,34,34,4,DEWGONG,34,35,1,MAGIKARP,2,20,289
122,ROUTE 14 AREA 4,15,60,SEALEO,33,35,30,DEWGONG,34,36,5,DEWGONG,34,36,4,DEWGONG,35,37,1,MAGIKARP,2,20,290
123,ROUTE 14 AREA 5,15,60,SEALEO,32,33,30,DEWGONG,34,34,5,DEWGONG,34,34,4,DEWGONG,34,35,1,MAGIKARP,2,20,286
124,ROUTE 14 AREA 6,15,60,SEALEO,32,33,30,DEWGONG,34,34,5,DEWGONG,34,34,4,DEWGONG,34,35,1,MAGIKARP,2,20,287
125,FROZEN CAVE AREA 1,15,60,SPHEAL,33,35,30,DEWGONG,34,36,5,DEWGONG,34,36,4,DEWGONG,35,37,1,MAGIKARP,2,20,291;292
126,FROZEN CAVE AREA 2,15,60,SPHEAL,33,35,30,DEWGONG,34,36,5,DEWGONG,34,36,4,DEWGONG,35,37,1,MAGIKARP,2,20,293
127,RELIC CAVE AREA 1,15,60,FRILLISH,29,31,30,SHARPEDO,30,32,5,SHARPEDO,30,32,4,SHARPEDO,31,33,1,MAGIKARP,2,20,294
128,RELIC CAVE AREA 2,15,60,CARVANHA,29,31,30,SHARPEDO,30,32,5,SHARPEDO,30,32,4,SHARPEDO,31,33,1,MAGIKARP,2,20,295
129,RELIC CAVE AREA 3,15,60,CORSOLA,29,31,30,SHARPEDO,30,32,5,SHARPEDO,30,32,4,SHARPEDO,31,33,1,MAGIKARP,2,20,296
130,WILD AREA 1,15,60,SEEL,31,33,30,SEAKING,33,34,5,SHARPEDO,32,34,4,TENTACRUEL,33,35,1,SEISMITOAD,36,36,
131,WILD AREA 2,15,60,POLIWHIRL,31,33,30,SHARPEDO,32,34,5,SEAKING,33,34,4,GOLDUCK,33,35,1,SEISMITOAD,36,36,
132,WILD AREA 3,15,60,MAREANIE,31,33,30,LUMINEON,32,34,5,WHISCASH,32,34,4,TENTACRUEL,33,35,1,GYARADOS,33,36,
133,WILD AREA 4,15,60,HORSEA,31,33,30,SEADRA,32,34,5,SEALEO,32,34,4,GYARADOS,33,35,1,GOLDUCK,33,36,
134,WILD AREA 5,15,60,CARVANHA,31,33,30,LUMINEON,32,34,5,BASCULIN,32,34,4,TENTACRUEL,33,35,1,GYARADOS,33,36,
135,WILD AREA 6,15,60,MAREANIE,31,33,30,OCTILLERY,32,34,5,PELIPPER,32,34,4,GOLDUCK,33,35,1,GYARADOS,33,36,
136,WILD AREA 7,15,60,MANTYKE,31,33,30,LUMINEON,32,34,5,SEAKING,33,34,4,TENTACRUEL,33,35,1,GYARADOS,33,36,
137,WILD AREA 8,15,60,CARVANHA,33,33,30,DEWGONG,34,36,5,JELLICENT,35,36,4,GOLDUCK,35,37,1,CLAWITZER,37,38,299
138,WILD AREA 9,15,60,GOLDEEN,33,35,30,SWANNA,35,36,5,PELIPPER,34,36,4,GOLDUCK,35,37,1,TENTACRUEL,35,38,
139,WILD AREA 10,15,60,BARBOACH,31,33,30,SEADRA,32,34,5,SEALEO,32,34,4,TENTACRUEL,33,35,1,GOLDUCK,33,36,
140,WILD AREA 11,15,60,SPHEAL,31,33,30,LUMINEON,32,34,5,SEALEO,32,34,4,TENTACRUEL,33,35,1,GYARADOS,33,36,
141,WILD AREA 12,15,60,LUVDISC,31,33,30,BASCULIN,32,34,5,SEAKING,33,34,4,GOLDUCK,33,35,1,GYARADOS,33,36,
142,WILD AREA 13,15,60,HORSEA,31,33,30,DEWGONG,34,34,5,PELIPPER,32,34,4,TENTACRUEL,33,35,1,SEISMITOAD,36,36,
143,WILD AREA 14,15,60,FINNEON,31,33,30,DEWGONG,34,34,5,SEALEO,32,34,4,TENTACRUEL,33,35,1,GYARADOS,33,36,
144,ROUTE 19 AREA 1,15,60,BARBOACH,31,33,30,OCTILLERY,32,34,5,SEAKING,33,34,4,GOLDUCK,33,35,1,SEISMITOAD,36,36,312
145,ROUTE 19 AREA 2,15,60,PYUKUMUKU,31,33,30,OCTILLERY,32,34,5,PELIPPER,32,34,4,TENTACRUEL,33,35,1,GOLDUCK,33,36,313
146,ROUTE 19 AREA 3,15,60,DUCKLETT,31,33,30,DEWGONG,34,34,5,LUMINEON,32,34,4,GYARADOS,33,35,1,GOLDUCK,33,36,314
147,ULURU 2 A 1,15,60,FRILLISH,31,33,30,SHARPEDO,32,34,5,SHARPEDO,32,34,4,RELICANTH,35,35,1,RELICANTH,35,36,315
148,ULURU 2 A 2,15,60,CARVANHA,31,33,30,SHARPEDO,32,34,5,SHARPEDO,32,34,4,RELICANTH,35,35,1,RELICANTH,35,36,316
149,ROUTE 13 AREA 1,15,60,SHELLDER,33,35,30,BASCULIN,34,36,5,DEWGONG,34,36,4,TENTACRUEL,35,37,1,GOLDUCK,35,38,323
150,ROUTE 13 AREA 2,15,60,SHELLDER,33,35,30,ALOMOMOLA,35,36,5,PELIPPER,34,36,4,CLAWITZER,37,37,1,GYARADOS,35,38,321;322
151,ROUTE 13 AREA 3,15,60,STARYU,33,35,30,OCTILLERY,34,36,5,BRUXISH,35,36,4,SEISMITOAD,36,37,1,TENTACRUEL,35,38,317;318
152,ROUTE 13 AREA 4,15,60,POLIWHIRL,35,37,30,QWILFISH,36,38,5,WHISCASH,36,38,4,GOLDUCK,37,39,1,SEISMITOAD,37,40,319;320
153,ULURU 3 A 1,15,60,FRILLISH,35,35,30,SHARPEDO,36,38,5,JELLICENT,36,38,4,RELICANTH,37,39,1,RELICANTH,37,40,324
154,ULURU 3 A 2,15,60,SHARPEDO,37,39,30,JELLICENT,38,40,5,RELICANTH,38,40,4,RELICANTH,39,41,1,BASCULEGION,42,42,325
155,MT UNDARA 1,15,60,CORSOLA,35,35,30,JELLICENT,36,38,5,TOXAPEX,38,38,4,TENTACRUEL,37,39,1,GYARADOS,37,40,326
156,MT UNDARA 2,15,60,SEEL,37,37,30,OCTILLERY,38,40,5,SEADRA,38,40,4,TENTACRUEL,39,41,1,STARMIE,42,42,327
157,MT UNDARA 3,15,60,DUCKLETT,37,38,30,OCTILLERY,38,40,5,BRUXISH,38,40,4,TENTACRUEL,39,41,1,GOLDUCK,39,42,328
158,MT UNDARA 4,15,60,SEEL,37,37,30,QWILFISH,38,40,5,LANTURN,38,40,4,SEISMITOAD,39,41,1,BASCULEGION,42,42,330
