Item_ID,Item_Name,Price,Sell_Price,Field_Use_Func,Prevent_Toss,Shop_Locations,Given_At_Locations
470,ITEM_BERRY_POTS,0,0,24,TRUE,,ULURU 4 A1 (H#0346) | ULURU 4 A2 (H#0347) | ULURU 4 A3 (H#0350)
471,ITEM_DOWSING_MACHINE,0,0,26,TRUE,,HAMP 04 HS05 (H#0027) | HAMP 05 HS06 (H#0028)
472,ITEM_BLUE_CARD,0,0,0,TRUE,,A HQ1 F2 (H#0062) | A HQ1 F2 (H#0180) | D HQ1 F2 (H#0186)
473,ITEM_SLOWPOKE_TAIL,0,0,0,TRUE,,
474,ITEM_CLEAR_BELL,0,0,0,TRUE,,
475,ITEM_CARD_KEY_JOHTO,0,0,0,TRUE,,
476,ITEM_BASEMENT_KEY,0,0,0,TRUE,,
477,ITEM_SQUIRT_BOTTLE,0,0,0,TRUE,,
478,ITEM_RED_SCALE,0,0,0,TRUE,,
479,ITEM_LOST_ITEM,0,0,0,TRUE,,
480,ITEM_PASS,0,0,0,TRUE,,TROO 10 HS40 (H#0419)
481,ITEM_MACHINE_PART,0,0,0,TRUE,,
482,ITEM_SILVER_FEATHER,0,0,0,TRUE,,A HQ1 F6 (H#0066) | A HQ1 F6 (H#0184) | D HQ1 F6 (H#0190)
483,ITEM_RAINBOW_FEATHER,0,0,0,TRUE,,A HQ1 F6 (H#0066) | A HQ1 F6 (H#0184) | D HQ1 F6 (H#0190)
484,ITEM_MYSTERY_EGG,0,0,0,TRUE,,
501,ITEM_PHOTO_ALBUM,0,0,0,TRUE,,
502,ITEM_GB_SOUNDS,0,0,27,TRUE,,
503,ITEM_TIDAL_BELL,0,0,0,TRUE,,
504,ITEM_RAGE_CANDY_BAR,0,0,0,TRUE,,
532,ITEM_JADE_ORB,0,0,0,TRUE,,
533,ITEM_LOCK_CAPSULE,0,0,0,TRUE,,
534,ITEM_RED_ORB,0,0,0,TRUE,,
535,ITEM_BLUE_ORB,0,0,0,TRUE,,
536,ITEM_ENIGMA_STONE,0,0,0,TRUE,,
616,ITEM_LIGHT_STONE,0,0,0,TRUE,,
617,ITEM_DARK_STONE,0,0,0,TRUE,,
628,ITEM_DNA_SPLICERS_FUSE,0,0,31,TRUE,,
631,ITEM_OVAL_CHARM,0,0,0,TRUE,,
632,ITEM_SHINY_CHARM,0,0,0,TRUE,,
638,ITEM_REVEAL_GLASS,0,0,30,TRUE,,
696,ITEM_MEGA_RING,0,0,0,TRUE,,
765,ITEM_PRISON_BOTTLE,0,0,28,TRUE,,
773,ITEM_KEY_STONE,0,0,0,TRUE,,
847,ITEM_ZYGARDE_CUBE,0,0,0,TRUE,,
857,ITEM_SUN_FLUTE,0,0,0,TRUE,,
858,ITEM_MOON_FLUTE,0,0,0,TRUE,,
874,ITEM_SILPH_SCOPE,0,0,0,TRUE,,
877,ITEM_GOLD_TEETH,0,0,0,TRUE,,
878,ITEM_LIFT_KEY,0,0,0,TRUE,,
943,ITEM_N_SOLARIZER_FUSE,0,0,0,TRUE,,
944,ITEM_N_LUNARIZER_FUSE,0,0,0,TRUE,,
1075,ITEM_POKEMON_BOX_LINK,0,0,0,TRUE,,
1267,ITEM_CATCHING_CHARM,0,0,0,TRUE,,
1278,ITEM_ROTOM_CATALOG,0,0,35,TRUE,,
1587,ITEM_EXP_CHARM,0,0,0,TRUE,,
1590,ITEM_REINS_OF_UNITY_FUSE,0,0,0,TRUE,,
1598,ITEM_WOODEN_CROWN,0,0,0,TRUE,,
1602,ITEM_ICEROOT_CARROT,0,0,0,TRUE,,
1603,ITEM_SHADEROOT_CARROT,0,0,0,TRUE,,
1828,ITEM_LEGEND_PLATE,0,0,0,TRUE,,
1857,ITEM_SCROLL_OF_DARKNESS,0,0,0,TRUE,,
1858,ITEM_SCROLL_OF_WATERS,0,0,0,TRUE,,
2406,ITEM_CORNERSTONE_MASK,0,0,0,TRUE,,
2407,ITEM_WELLSPRING_MASK,0,0,0,TRUE,,
2408,ITEM_HEARTHFLAME_MASK,0,0,0,TRUE,,
