Item_ID,Item_Name,Price,Sell_Price,Field_Use_Func,Battle_Use_Func,Shop_Locations,Given_At_Locations
407,ITEM_TM080,1600,800,6,0,,T03GYM0101 (H#0473)
408,ITEM_TM081,12000,6000,6,0,,
409,ITEM_TM082,1600,800,6,0,,
410,ITEM_TM083,20000,10000,6,0,DEPART 1 F5 (H#0172) [Goldenrod Department5 F],
411,ITEM_TM084,20000,10000,6,0,,
412,ITEM_TM085,1600,800,6,0,,UNDARA CAVE 1 (H#0330)
413,ITEM_TM086,20000,10000,6,0,,
414,ITEM_TM087,12000,6000,6,0,DEPART 2 F3 (H#0449) [Celadon Department3 F],
415,ITEM_TM088,20000,10000,6,0,,
416,ITEM_TM089,32000,16000,6,0,,
417,ITEM_TM090,12000,6000,6,0,,
418,ITEM_TM091,12000,6000,6,0,,
419,ITEM_TM092,12000,6000,6,0,,
618,ITEM_TM093,32000,16000,6,0,,
619,ITEM_TM094,32000,16000,6,0,,
620,ITEM_TM095,32000,16000,6,0,,
690,ITEM_TM096,1600,800,6,0,,
691,ITEM_TM097,20000,10000,6,0,,
692,ITEM_TM098,12000,6000,6,0,,
693,ITEM_TM099,32000,16000,6,0,,
694,ITEM_TM100,0,0,6,0,,
1230,ITEM_TM00,10000,5000,6,0,,
2160,ITEM_TM100_SV,20000,10000,6,0,,
2161,ITEM_TM101,32000,16000,6,0,,
2162,ITEM_TM102,20000,10000,6,0,,
2163,ITEM_TM103,20000,10000,6,0,,
2164,ITEM_TM104,6000,3000,6,0,,
2165,ITEM_TM105,20000,10000,6,0,,
2166,ITEM_TM106,32000,16000,6,0,,
2167,ITEM_TM107,12000,6000,6,0,,
2168,ITEM_TM108,32000,16000,6,0,,
2169,ITEM_TM109,20000,10000,6,0,,
2170,ITEM_TM110,40000,20000,6,0,,
2171,ITEM_TM111,32000,16000,6,0,,
2172,ITEM_TM112,32000,16000,6,0,,
2173,ITEM_TM113,20000,10000,6,0,,
2174,ITEM_TM114,32000,16000,6,0,,
2175,ITEM_TM115,32000,16000,6,0,,
2176,ITEM_TM116,20000,10000,6,0,,
2177,ITEM_TM117,32000,16000,6,0,,
2178,ITEM_TM118,40000,20000,6,0,,
2179,ITEM_TM119,40000,20000,6,0,,
2180,ITEM_TM120,40000,20000,6,0,,
2181,ITEM_TM121,20000,10000,6,0,,
2182,ITEM_TM122,12000,6000,6,0,,
2183,ITEM_TM123,32000,16000,6,0,,
2184,ITEM_TM124,40000,20000,6,0,,
2185,ITEM_TM125,40000,20000,6,0,,
2186,ITEM_TM126,40000,20000,6,0,,
2187,ITEM_TM127,40000,20000,6,0,,
2188,ITEM_TM128,6000,3000,6,0,,
2189,ITEM_TM129,12000,6000,6,0,,
2190,ITEM_TM130,1600,800,6,0,,
2191,ITEM_TM131,40000,20000,6,0,,
2192,ITEM_TM132,12000,6000,6,0,,
2193,ITEM_TM133,40000,20000,6,0,,
2194,ITEM_TM134,12000,6000,6,0,,
2195,ITEM_TM135,40000,20000,6,0,,
2196,ITEM_TM136,12000,6000,6,0,,
2197,ITEM_TM137,12000,6000,6,0,,
2198,ITEM_TM138,12000,6000,6,0,,
2199,ITEM_TM139,12000,6000,6,0,,
2200,ITEM_TM140,20000,10000,6,0,,
2201,ITEM_TM141,48000,24000,6,0,,
2202,ITEM_TM142,48000,24000,6,0,,
2203,ITEM_TM143,48000,24000,6,0,,
2204,ITEM_TM144,32000,16000,6,0,,
2205,ITEM_TM145,32000,16000,6,0,,
2206,ITEM_TM146,32000,16000,6,0,,
2207,ITEM_TM147,40000,20000,6,0,,
2208,ITEM_TM148,40000,20000,6,0,,
2209,ITEM_TM149,48000,24000,6,0,,
2210,ITEM_TM150,48000,24000,6,0,,
2211,ITEM_TM151,40000,20000,6,0,,
2212,ITEM_TM152,56000,28000,6,0,,
2213,ITEM_TM153,56000,28000,6,0,,
2214,ITEM_TM154,56000,28000,6,0,,
2215,ITEM_TM155,56000,28000,6,0,,
2216,ITEM_TM156,48000,24000,6,0,,
2217,ITEM_TM157,48000,24000,6,0,,
2218,ITEM_TM158,48000,24000,6,0,,
2219,ITEM_TM159,48000,24000,6,0,,
2220,ITEM_TM160,48000,24000,6,0,,
2221,ITEM_TM161,20000,10000,6,0,,
2222,ITEM_TM162,40000,20000,6,0,,
2223,ITEM_TM163,56000,28000,6,0,,
2224,ITEM_TM164,48000,24000,6,0,,
2225,ITEM_TM165,48000,24000,6,0,,
2226,ITEM_TM166,48000,24000,6,0,,
2227,ITEM_TM167,48000,24000,6,0,,
2228,ITEM_TM168,48000,24000,6,0,,
2229,ITEM_TM169,56000,28000,6,0,,
2230,ITEM_TM170,56000,28000,6,0,,
2231,ITEM_TM171,32000,16000,6,0,,
2232,ITEM_TM172,800,400,6,0,,
2233,ITEM_TM173,1600,800,6,0,,
2234,ITEM_TM174,1600,800,6,0,,
2235,ITEM_TM175,3200,1600,6,0,,
2236,ITEM_TM176,1600,800,6,0,,
2237,ITEM_TM177,800,400,6,0,,
2238,ITEM_TM178,1600,800,6,0,,
2239,ITEM_TM179,3200,1600,6,0,,
2240,ITEM_TM180,40000,20000,6,0,,
2241,ITEM_TM181,56000,28000,6,0,,
2242,ITEM_TM182,12000,6000,6,0,,
2243,ITEM_TM183,20000,10000,6,0,,
2244,ITEM_TM184,12000,6000,6,0,,
2245,ITEM_TM185,20000,10000,6,0,,
2246,ITEM_TM186,20000,10000,6,0,,
2247,ITEM_TM187,40000,20000,6,0,,
2248,ITEM_TM188,32000,16000,6,0,,
2249,ITEM_TM189,32000,16000,6,0,,
2250,ITEM_TM190,48000,24000,6,0,,
2251,ITEM_TM191,20000,10000,6,0,,
2252,ITEM_TM192,32000,16000,6,0,,
2253,ITEM_TM193,6000,3000,6,0,,
2254,ITEM_TM194,40000,20000,6,0,,
2255,ITEM_TM195,32000,16000,6,0,,
2256,ITEM_TM196,20000,10000,6,0,,
2257,ITEM_TM197,20000,10000,6,0,,
2258,ITEM_TM198,56000,28000,6,0,,
2259,ITEM_TM199,20000,10000,6,0,,
2260,ITEM_TM200,40000,20000,6,0,,
2261,ITEM_TM201,56000,28000,6,0,,
2262,ITEM_TM202,0,0,6,0,,
2263,ITEM_TM203,0,0,6,0,,
2264,ITEM_TM204,0,0,6,0,,
2265,ITEM_TM205,0,0,6,0,,
2266,ITEM_TM206,0,0,6,0,,
2267,ITEM_TM207,0,0,6,0,,
2268,ITEM_TM208,0,0,6,0,,
2269,ITEM_TM209,0,0,6,0,,
2270,ITEM_TM210,0,0,6,0,,
2271,ITEM_TM211,0,0,6,0,,
2272,ITEM_TM212,0,0,6,0,,
2273,ITEM_TM213,0,0,6,0,,
2274,ITEM_TM214,0,0,6,0,,
2275,ITEM_TM215,0,0,6,0,,
2276,ITEM_TM216,0,0,6,0,,
2277,ITEM_TM217,0,0,6,0,,
2278,ITEM_TM218,0,0,6,0,,
2279,ITEM_TM219,0,0,6,0,,
2280,ITEM_TM220,0,0,6,0,,
2281,ITEM_TM221,0,0,6,0,,
2282,ITEM_TM222,0,0,6,0,,
2283,ITEM_TM223,0,0,6,0,,
2284,ITEM_TM224,0,0,6,0,,
2285,ITEM_TM225,0,0,6,0,,
2286,ITEM_TM226,0,0,6,0,,
2287,ITEM_TM227,0,0,6,0,,
2288,ITEM_TM228,0,0,6,0,,
2289,ITEM_TM229,0,0,6,0,,
