Water?,Headers,#,Area,20%,20%,10%,10%,10%,10%,5%,5%,4%,4%,1%,1%,Level,Typing,Completed,Time
Cave Lake,TRUE,9.0,Cave Generic 1,GOLBAT,GRAVELER,MIENSHAO,NIDOQUEEN,NIDOKING,MAGNETON,MAGNETON,MAGNEZONE,DURALUDON,DURALUDON,KINGAMBIT,KINGAMBIT,50,Cave,TRUE,Morn
,,9.1,Cave Generic 1,GOLBAT,GRAVELER,MIENSHAO,NIDOQUEEN,NIDOKING,MAGNETON,MAGNETON,MAGNEZONE,DURALUDON,DURALUDON,KINGAMBIT,KINGAMBIT,50,Cave,TRUE,Day
,,9.2,Cave Generic 1,GOLBAT,GRAVELER,MIENSHAO,NIDOQUEEN,NIDOKING,MAGNETON,MAGNETON,MAGNEZONE,DURALUDON,DURALUDON,KINGAMBIT,KINGAMBIT,50,Cave,TRUE,Night
Lake,TRUE,10.0,LOB FOREST 1,SHROOMISH,LEDYBA,DEWPIDER,LEDYBA,FOMANTIS,FOMANTIS,EXEGGCUTE,APPLIN,GRUBBIN,SKIDDO,SKIDDO,APPLIN,6,Forest,TRUE,Morn
,,10.1,LOB FOREST 1,MILCERY,HOPPIP,SKIDDO,LEDYBA,HOPPIP,COTTONEE,EXEGGCUTE,APPLIN,APPLIN,SKIDDO,APPLIN,APPLIN,6,Forest,TRUE,Day
,,10.2,LOB FOREST 1,SHROOMISH,VENONAT,CANEA,LEDYBA,FOMANTIS,CANEA,EXEGGCUTE,APPLIN,SHROOMISH,SKIDDO,SKIDDO,APPLIN,6,Forest,TRUE,Night
Lake,TRUE,11.0,LOB FOREST 2,BLIPBUG,GRUBBIN,BLIPBUG,SCATTERBUG,HOPPIP,PINECO,DEWPIDER,DEWPIDER,NINCADA,SKORUPI,PIKACHU,PIKACHU,6,Forest,TRUE,Morn
,,11.1,LOB FOREST 2,TAROUNTULA,SEWADDLE,DEWPIDER,SCATTERBUG,HOPPIP,PINECO,PETILIL,SKIDDO,NINCADA,PIKACHU,PIKACHU,PIKACHU,6,Forest,TRUE,Day
,,11.2,LOB FOREST 2,TAROUNTULA,VENIPEDE,BLIPBUG,SCATTERBUG,CANEA,KRICKETOT,NINCADA,NINCADA,NINCADA,GRUBBIN,PIKACHU,PIKACHU,6,Forest,TRUE,Night
Lake,TRUE,12.0,LOB FOREST 3,WURMPLE,PARAS,LOTAD,WURMPLE,COTTONEE,BELLSPROUT,ODDISH,BELLSPROUT,PHATUMP,CHERUBI,APPLIN,APPLIN,6,Forest,TRUE,Morn
,,12.1,LOB FOREST 3,RELLOR,PARAS,LOTAD,WURMPLE,COMBEE,COMBEE,ODDISH,BELLSPROUT,CHERUBI,CHERUBI,CHERUBI,APPLIN,6,Forest,TRUE,Day
,,12.2,LOB FOREST 3,RELLOR,PHATUMP,LOTAD,WURMPLE,COTTONEE,ODDISH,ODDISH,BELLSPROUT,APPLIN,CHERUBI,APPLIN,APPLIN,6,Forest,TRUE,Night
Lake,TRUE,13.0,LOB FOREST 4,KRICKETOT,DEERLING,SEEDOT,SPEWPA,FOONGUS,SINISTEA,FOONGUS,PICHU,SKORUPI,SKORUPI,SHELMET,SHELMET,6,Forest,TRUE,Morn
,,13.1,LOB FOREST 4,SINISTEA,DEERLING,SINISTEA,SPEWPA,DEERLING,FLABEBE,PICHU,PICHU,PICHU,DEERLING,SHELMET,SHELMET,6,Forest,TRUE,Day
,,13.2,LOB FOREST 4,BLIPBUG,SEEDOT,VENIPEDE,SPEWPA,FOONGUS,FOONGUS,SINISTEA,PICHU,SKORUPI,SKORUPI,SHELMET,SHELMET,6,Forest,TRUE,Night
Lake,TRUE,14.0,LOB FOREST 5,CATERPIE,BURMY,SINISTEA,CATERPIE,CHERUBI,TOEDSCOOL,PETILIL,BUDEW,FERROSEED,JOLTIK,KARRABLAST,KARRABLAST,7,Forest,TRUE,Morn
,,14.1,LOB FOREST 5,BUDEW,JOLTIK,SINISTEA,CATERPIE,CHERUBI,TOEDSCOOL,PETILIL,BUDEW,FERROSEED,BUDEW,KARRABLAST,KARRABLAST,7,Forest,TRUE,Day
,,14.2,LOB FOREST 5,BURMY,JOLTIK,BURMY,CATERPIE,CHERUBI,TOEDSCOOL,PETILIL,FERROSEED,FERROSEED,JOLTIK,KARRABLAST,KARRABLAST,7,Forest,TRUE,Night
Lake,TRUE,15.0,LOB FOREST 6,PANSAGE,BOUNSWEET,BELLSPROUT,WEEDLE,CHERUBI,SINISTEA,EXEGGCUTE,CUTIEFLY,HATENNA,EXEGGCUTE,WIMPOD,WIMPOD,7,Forest,TRUE,Morn
,,15.1,LOB FOREST 6,PANSAGE,BOUNSWEET,CHERUBI,WEEDLE,CHERUBI,SINISTEA,FLABEBE,FLABEBE,HATENNA,HATENNA,WIMPOD,WIMPOD,7,Forest,TRUE,Day
,,15.2,LOB FOREST 6,SPINARAK,BOUNSWEET,BELLSPROUT,WEEDLE,SEWADDLE,JOLTIK,EXEGGCUTE,CUTIEFLY,HATENNA,EXEGGCUTE,WIMPOD,WIMPOD,7,Forest,TRUE,Night
Lake,TRUE,16.0,LOB FOREST 7,SPINARK,BOUNSWEET,ODDISH,SEWADDLE,SKIDDO,FLABEBE,CUTIEFLY,COTTONEE,PUMPKABOO,SINISTEA,GOTHITA,GOTHITA,7,Forest,TRUE,Morn
,,16.1,LOB FOREST 7,GOSSIFLEUR,FLABEBE,COTTONEE,SEWADDLE,CUTIEFLY,FLABEBE,CUTIEFLY,COTTONEE,SINISTEA,SINISTEA,GOTHITA,GOTHITA,7,Forest,TRUE,Day
,,16.2,LOB FOREST 7,SEEDOT,PUMPKABOO,ODDISH,SEWADDLE,VENIPEDE,FLABEBE,CUTIEFLY,COTTONEE,PUMPKABOO,SINISTEA,GOTHITA,GOTHITA,7,Forest,TRUE,Night
Lake,TRUE,17.0,LOB FOREST 8,WEEDLE,SCATTERBUG,BURMY,WYNAUT,RALTS,TOEDSCOOL,KARRABLAST,SHELMET,KARRABLAST,SHELMET,MUNCHLAX,MUNCHLAX,7,Forest,TRUE,Morn
,,17.1,LOB FOREST 8,WEEDLE,SCATTERBUG,BURMY,WYNAUT,RALTS,TOEDSCOOL,KARRABLAST,SHELMET,KARRABLAST,SHELMET,MUNCHLAX,MUNCHLAX,7,Forest,TRUE,Day
,,17.2,LOB FOREST 8,WEEDLE,SCATTERBUG,BURMY,WYNAUT,RALTS,TOEDSCOOL,KARRABLAST,SHELMET,KARRABLAST,SHELMET,MUNCHLAX,MUNCHLAX,7,Forest,TRUE,Night
Lake,TRUE,18.0,ROUTE 4,GRUBBIN,POOCHYENA,POOCHYENA,MAREEP,PLUSLE,MINUN,FIDOUGH,FIDOUGH,POOCHYENA,GRUBBIN,HONEDGE,HONEDGE,7,Plain,TRUE,Morn
,,18.1,ROUTE 4,GRUBBIN,MAREEP,FIDOUGH,MAREEP,PLUSLE,MINUN,FIDOUGH,FIDOUGH,POOCHYENA,GRUBBIN,HONEDGE,HONEDGE,7,Plain,TRUE,Day
,,18.2,ROUTE 4,GRUBBIN,POOCHYENA,POOCHYENA,MAREEP,PLUSLE,MINUN,FIDOUGH,FIDOUGH,POOCHYENA,GRUBBIN,HONEDGE,HONEDGE,7,Plain,TRUE,Night
Ocean,TRUE,19.0,ROUTE 5 AREA 1,WOOPER,AZURILL,PANPOUR,CORPHISH,POLIWAG,CLAMPERL,STARYU,STARYU,STARYU,SANDYGAST,CORSOLA,CORSOLA,7,Plain,TRUE,Morn
,,19.1,ROUTE 5 AREA 1,WOOPER,AZURILL,PANPOUR,CORPHISH,POLIWAG,CLAMPERL,STARYU,STARYU,STARYU,SANDYGAST,CORSOLA,CORSOLA,7,Plain,TRUE,Day
,,19.2,ROUTE 5 AREA 1,WOOPER,AZURILL,PANPOUR,CORPHISH,POLIWAG,CLAMPERL,STARYU,STARYU,STARYU,SANDYGAST,CORSOLA,CORSOLA,7,Plain,TRUE,Night
Ocean,TRUE,20.0,ROUTE 5 AREA 2,PSYDUCK,KRABBY,PANPOUR,BUIZEL,TYMPOLE,SHELLDER,STARYU,STARYU,WIMPOD,WIMPOD,PYUKUMUKU,PYUKUMUKU,8,Plain,TRUE,Morn
,,20.1,ROUTE 5 AREA 2,PSYDUCK,KRABBY,PANPOUR,BUIZEL,TYMPOLE,SHELLDER,STARYU,STARYU,WIMPOD,WIMPOD,PYUKUMUKU,PYUKUMUKU,8,Plain,TRUE,Day
,,20.2,ROUTE 5 AREA 2,PSYDUCK,KRABBY,PANPOUR,BUIZEL,TYMPOLE,SHELLDER,STARYU,STARYU,WIMPOD,WIMPOD,PYUKUMUKU,PYUKUMUKU,8,Plain,TRUE,Night
Ocean,TRUE,21.0,ROUTE 5 AREA 3,ZIGZAGOON,TAILLOW,WATTREL,FOONGUS,PIDOVE,WYNAUT,SOLOSIS,SOLOSIS,VOLTORB_HISUIAN,VOLTORB_HISUIAN,TOXEL,TOXEL,9,Plain,TRUE,Morn
,,21.1,ROUTE 5 AREA 3,ZIGZAGOON,TAILLOW,WATTREL,WATTREL,FOONGUS,WYNAUT,SOLOSIS,SOLOSIS,VOLTORB_HISUIAN,VOLTORB_HISUIAN,TOXEL,TOXEL,9,Plain,TRUE,Day
,,21.2,ROUTE 5 AREA 3,ZIGZAGOON_GALARIAN,PIDOVE,ZIGZAGOON,FOONGUS,TAILLOW,WYNAUT,SOLOSIS,SOLOSIS,VOLTORB_HISUIAN,VOLTORB_HISUIAN,TOXEL,TOXEL,9,Plain,TRUE,Night
Ocean,TRUE,22.0,ROUTE 5 AREA 4,SENTRET,ROOKIDEE,SHINX,GRIMER,SPEAROW,MORPEKO,FERROSEED,FERROSEED,SWABLU,SWABLU,PORYGON,PORYGON,9,Plain,TRUE,Morn
,,22.1,ROUTE 5 AREA 4,SENTRET,ROOKIDEE,SHINX,SHINX,ROOKIDEE,MORPEKO,FERROSEED,FERROSEED,SWABLU,SWABLU,PORYGON,PORYGON,9,Plain,TRUE,Day
,,22.2,ROUTE 5 AREA 4,SENTRET,SPEAROW,GRIMER,GRIMER,SPEAROW,MORPEKO,FERROSEED,FERROSEED,SWABLU,SWABLU,PORYGON,PORYGON,9,Plain,TRUE,Night
Ocean,,23.0,ROUTE 6 AREA 1,CHINGLING,PIKIPEK,HELIOPTILE,SHROOMISH,PIKIPEK,EMOLGA,STARLY,STARLY,SOLOSIS,SOLOSIS,PAWMI,PAWMI,8,Plain,TRUE,Morn
,,23.1,ROUTE 6 AREA 1,CUTIEFLY,PIKIPEK,HELIOPTILE,HELIOPTILE,SHROOMISH,EMOLGA,STARLY,STARLY,SOLOSIS,SOLOSIS,PAWMI,PAWMI,8,Plain,TRUE,Day
,,23.2,ROUTE 6 AREA 1,CHINGLING,HOOTHOOT,SHROOMISH,SHROOMISH,HELIOPTILE,EMOLGA,STARLY,STARLY,SOLOSIS,SOLOSIS,PAWMI,PAWMI,8,Plain,TRUE,Night
Ocean,,24.0,ROUTE 6 AREA 2,YUNGOOS,SMOOCHUM,HATENNA,FLABEBE,TOGEPI,DEDENNE,MILCERY,MILCERY,ZORUA_HISUIAN,ZORUA_HISUIAN,SNOM,SNOM,8,Plain,TRUE,Morn
,,24.1,ROUTE 6 AREA 2,YUNGOOS,FLABEBE,SPRITZEE,NATU,TOGEPI,DEDENNE,MILCERY,MILCERY,ZORUA_HISUIAN,ZORUA_HISUIAN,SNOM,SNOM,8,Plain,TRUE,Day
,,24.2,ROUTE 6 AREA 2,YUNGOOS,NATU,HATENNA,SMOOCHUM,TOGEPI,DEDENNE,MILCERY,MILCERY,ZORUA_HISUIAN,ZORUA_HISUIAN,SNOM,SNOM,8,Plain,TRUE,Night
Ocean,,25.0,ROUTE 6 AREA 3,PATRAT,PIDGEY,BLITZLE,MEDITITE,NIDORAN_M,NIDORAN_F,HIPPOPOTAS,HIPPOPOTAS,TYNAMO,TYNAMO,PINCURCHIN,PINCURCHIN,9,Plain,TRUE,Morn
,,25.1,ROUTE 6 AREA 3,PATRAT,PIDGEY,BLITZLE,MEDITITE,NIDORAN_M,NIDORAN_F,HIPPOPOTAS,HIPPOPOTAS,TYNAMO,TYNAMO,PINCURCHIN,PINCURCHIN,9,Plain,TRUE,Day
,,25.2,ROUTE 6 AREA 3,PATRAT,PIDGEY,BLITZLE,MEDITITE,NIDORAN_M,NIDORAN_F,HIPPOPOTAS,HIPPOPOTAS,TYNAMO,TYNAMO,PINCURCHIN,PINCURCHIN,9,Plain,TRUE,Night
Ocean,,26.0,ROUTE 6 AREA 4,BUNNELBY,MAKUHITA,PARAS,ELECTRIKE,WOOLOO,TYROGUE,DRIFLOON,DRIFLOON,NIDORAN_M,NIDORAN_F,TINKATINK,TINKATINK,9,Plain,TRUE,Morn
,,26.1,ROUTE 6 AREA 4,BUNNELBY,MAKUHITA,PARAS,ELECTRIKE,WOOLOO,TYROGUE,DRIFLOON,DRIFLOON,NIDORAN_M,NIDORAN_F,TINKATINK,TINKATINK,9,Plain,TRUE,Day
,,26.2,ROUTE 6 AREA 4,BUNNELBY,MAKUHITA,PARAS,ELECTRIKE,WOOLOO,TYROGUE,DRIFLOON,DRIFLOON,NIDORAN_M,NIDORAN_F,TINKATINK,TINKATINK,9,Plain,TRUE,Night
,,27.0,SUB CAVE 1,ZUBAT,WOOBAT,YAMASK_GALARIAN,GASTLY,YAMASK,KOFFING,SANDSHREW,SANDSHREW,NUMEL,NUMEL,RHYHORN,RHYHORN,9,Plain,TRUE,Morn
,,27.1,SUB CAVE 1,ZUBAT,GASTLY,WOOBAT,KOFFING,SHUPPET,KOFFING,SANDSHREW,SANDSHREW,NUMEL,NUMEL,RHYHORN,RHYHORN,9,Plain,TRUE,Day
,,27.2,SUB CAVE 1,YAMASK,GASTLY,MISDREAVUS,MISDREAVUS,SHUPPET,KOFFING,SANDSHREW,SANDSHREW,NUMEL,NUMEL,RHYHORN,RHYHORN,9,Plain,TRUE,Night
,,28.0,SUB CAVE 2,ZUBAT,WOOBAT,YAMASK,GASTLY,YAMASK_GALARIAN,GEODUDE_ALOLAN,SWINUB,SWINUB,SLUGMA,SLUGMA,DREEPY,DREEPY,9,Plain,TRUE,Morn
,,28.1,SUB CAVE 2,ZUBAT,GASTLY,WOOBAT,GEODUDE_ALOLAN,MISDREAVUS,GEODUDE_ALOLAN,SWINUB,SWINUB,SLUGMA,SLUGMA,DREEPY,DREEPY,9,Plain,TRUE,Day
,,28.2,SUB CAVE 2,YAMASK_GALARIAN,GASTLY,SHUPPET,SHUPPET,MISDREAVUS,GEODUDE_ALOLAN,SWINUB,SWINUB,SLUGMA,SLUGMA,DREEPY,DREEPY,9,Plain,TRUE,Night
,,29.0,SUB PATH 1,NIDORAN_M,NIDORAN_F,DIGLETT,DIGLETT_ALOLAN,DRILBUR,TRUBBISH,IMPIDIMP,IMPIDIMP,ZORUA,ZORUA,DEINO,DEINO,10,Plain,TRUE,Morn
,,29.1,SUB PATH 1,STUNKY,MEINFOO,MACHOP,TIMBURR,DRILBUR,DRILBUR,IMPIDIMP,IMPIDIMP,ZORUA,ZORUA,DEINO,DEINO,10,Plain,TRUE,Day
,,29.2,SUB PATH 1,STUNKY,STUNKY,INKAY,INKAY,DRILBUR,IMPIDIMP,IMPIDIMP,IMPIDIMP,ZORUA,ZORUA,DEINO,DEINO,10,Plain,TRUE,Night
,,30.0,SUB PATH 2,DIGLETT,NIDORAN_F,KOFFING,KOFFING,PHANPY,TRUBBISH,CLOBBOPUS,CLOBBOPUS,PAWMI,PAWMI,JANGMO-O,JANGMO-O,10,Plain,TRUE,Morn
,,30.1,SUB PATH 2,CROAGUNK,MEINFOO,NIDORAN_M,NIDORAN_F,PHANPY,PHANPY,CLOBBOPUS,CLOBBOPUS,PAWMI,PAWMI,JANGMO-O,JANGMO-O,10,Plain,TRUE,Day
,,30.2,SUB PATH 2,CROAGUNK,CROAGUNK,MURKROW,MURKROW,PHANPY,TRUBBISH,CLOBBOPUS,CLOBBOPUS,PAWMI,PAWMI,JANGMO-O,JANGMO-O,10,Plain,TRUE,Night
,,31.0,SUB PATH 3,NIDORAN♂,DIGLETT_ALOLAN,MACHOP,TIMBURR,SILICOBRA,TRUBBISH,DROWZEE,DROWZEE,ELGYEM,ELGYEM,GOOMY,GOOMY,10,Plain,TRUE,Morn
,,31.1,SUB PATH 3,SCRAGGY,MEINFOO,MACHOP,TIMBURR,SILICOBRA,SILICOBRA,DROWZEE,DROWZEE,ELGYEM,ELGYEM,GOOMY,GOOMY,10,Plain,TRUE,Day
,,31.2,SUB PATH 3,SCRAGGY,SCRAGGY,KOFFING,KOFFING,SILICOBRA,TRUBBISH,DROWZEE,DROWZEE,ELGYEM,ELGYEM,GOOMY,GOOMY,10,Plain,TRUE,Night
,,32.0,SUB PATH 4,DIGLETT,DIGLETT_ALOLAN,MACHOP,TIMBURR,CUBONE,SPINARAK,TRUBBISH,TRUBBISH,GOLETT,GOLETT,GIBLE,GIBLE,10,Plain,TRUE,Morn
,,32.1,SUB PATH 4,MACHOP,TIMBURR,DIGLETT,DIGLETT_ALOLAN,CUBONE,CUBONE,TRUBBISH,SPINARAK,GOLETT,GOLETT,GIBLE,GIBLE,10,Plain,TRUE,Day
,,32.2,SUB PATH 4,EKANS,EKANS,GRIMER_ALOLAN,GRIMER_ALOLAN,CUBONE,SPINARAK,TRUBBISH,TRUBBISH,GOLETT,GOLETT,GIBLE,GIBLE,10,Plain,TRUE,Night
,,33.0,ROCK PASSAGE,ROGGENROLA,GEODUDE,ROLYCOLY,ROLYCOLY,ONIX,DWEBBLE,NOSEPASS,NOSEPASS,ROCKRUFF,ROCKRUFF,LARVITAR,LARVITAR,11,Cave,TRUE,Morn
,,33.1,ROCK PASSAGE,ROGGENROLA,GEODUDE,ROLYCOLY,ROLYCOLY,ONIX,DWEBBLE,NOSEPASS,NOSEPASS,ROCKRUFF,ROCKRUFF,LARVITAR,LARVITAR,11,Cave,TRUE,Day
,,33.2,ROCK PASSAGE,ROGGENROLA,GEODUDE,ROLYCOLY,ROLYCOLY,ONIX,DWEBBLE,NOSEPASS,NOSEPASS,ROCKRUFF,ROCKRUFF,LARVITAR,LARVITAR,11,Cave,TRUE,Night
,,34.0,ICE PASSAGE,SNEASEL,VANILLITE,SNORUNT,CUBCHOO,BERGMITE,SPHEAL,SANDSHREW_ALOLAN,SANDSHREW_ALOLAN,CETODDLE,CETODDLE,FRIGIBAX,FRIGIBAX,11,Ice,TRUE,Morn
,,34.1,ICE PASSAGE,SNEASEL,VANILLITE,SNORUNT,CUBCHOO,BERGMITE,SPHEAL,SANDSHREW_ALOLAN,SANDSHREW_ALOLAN,CETODDLE,CETODDLE,FRIGIBAX,FRIGIBAX,11,Ice,TRUE,Day
,,34.2,ICE PASSAGE,SNEASEL,VANILLITE,SNORUNT,CUBCHOO,BERGMITE,SPHEAL,SANDSHREW_ALOLAN,SANDSHREW_ALOLAN,CETODDLE,CETODDLE,FRIGIBAX,FRIGIBAX,11,Ice,TRUE,Night
,,35.0,STEEL PASSAGE,BRONZOR,ARON,FERROSEED,KLINK,MAGNEMITE,CUFANT,PAWNIARD,PAWNIARD,VAROOM,VAROOM,BELDUM,BELDUM,11,Plain,TRUE,Morn
,,35.1,STEEL PASSAGE,BRONZOR,ARON,FERROSEED,KLINK,MAGNEMITE,CUFANT,PAWNIARD,PAWNIARD,VAROOM,VAROOM,BELDUM,BELDUM,11,Plain,TRUE,Day
,,35.2,STEEL PASSAGE,BRONZOR,ARON,FERROSEED,KLINK,MAGNEMITE,CUFANT,PAWNIARD,PAWNIARD,VAROOM,VAROOM,BELDUM,BELDUM,11,Plain,TRUE,Night
,,36.0,SANSTONE CAVE,PSYDUCK,WIGLETT,SLOWPOKE,SHELLOS,BINACLE,CHEWTLE,DEWPIDER,DEWPIDER,SEEL,SEEL,BAGON,BAGON,11,Plain,TRUE,Morn
,,36.1,SANSTONE CAVE,PSYDUCK,WIGLETT,SLOWPOKE,SHELLOS,BINACLE,CHEWTLE,DEWPIDER,DEWPIDER,SEEL,SEEL,BAGON,BAGON,11,Plain,TRUE,Day
,,36.2,SANSTONE CAVE,PSYDUCK,WIGLETT,SLOWPOKE,SHELLOS,BINACLE,CHEWTLE,DEWPIDER,DEWPIDER,SEEL,SEEL,BAGON,BAGON,11,Plain,TRUE,Night
,TBD,37.0,FISHERMAN,SURSKIT,MARILL,KRABBY,SWABLU,BUIZEL,PACHIRISU,CLAMPERL,CLAMPERL,SANDYGAST,SANDYGAST,DRATINI,DRATINI,12,Water Grass,TRUE,Morn
,,37.1,FISHERMAN,SURSKIT,MARILL,KRABBY,SWABLU,BUIZEL,PACHIRISU,CLAMPERL,CLAMPERL,SANDYGAST,SANDYGAST,DRATINI,DRATINI,12,Water Grass,TRUE,Day
,,37.2,FISHERMAN,SURSKIT,MARILL,KRABBY,SWABLU,BUIZEL,PACHIRISU,CLAMPERL,CLAMPERL,SANDYGAST,SANDYGAST,DRATINI,DRATINI,12,Water Grass,TRUE,Night
