event_file,maps,index,type,script,dir,x_map,x_matrix,y_map,y_matrix,z
0042,D HQ1 F2(H68),5,MISC,1,0,8,2,4,0,0
0046,HAMPELL TOWN(H23),0,BOARD,6,4,20,30,23,36,0
0046,HAMPELL TOWN(H23),1,BOARD,4,4,5,30,9,36,0
0046,HAMPELL TOWN(H23),2,BOARD,5,4,26,30,5,36,0
0046,HAMPELL TOWN(H23),3,BOARD,3,4,15,30,23,36,0
0049,D HQ1 F3(H69),0,MISC,2,0,5,0,4,0,0
0049,D HQ1 F3(H69),1,MISC,3,0,10,0,4,0,0
0049,D HQ1 F3(H69),2,MISC,8,0,22,0,11,0,0
0049,D HQ1 F3(H69),3,MISC,2,0,5,2,4,0,0
0049,D HQ1 F3(H69),4,MISC,3,0,10,2,4,0,0
0049,D HQ1 F3(H69),5,MISC,8,0,22,2,11,0,0
0050,D HQ1 F4(H70),0,MISC,2,0,10,0,4,0,0
0050,D HQ1 F4(H70),1,MISC,3,0,15,0,12,0,0
0051,D HQ1 F5(H71),0,MISC,2,0,5,0,4,0,0
0051,D HQ1 F5(H71),1,MISC,4,0,17,0,4,0,0
0058,MAUN 09 LAB01(H19),0,MISC,6,0,1,0,10,0,0
0058,MAUN 09 LAB01(H19),1,MISC,6,0,2,0,10,0,0
0058,MAUN 09 LAB01(H19),2,MISC,7,0,7,0,10,0,0
0058,MAUN 09 LAB01(H19),3,MISC,7,0,8,0,10,0,0
0058,MAUN 09 LAB01(H19),4,MISC,8,0,9,0,10,0,0
0058,MAUN 09 LAB01(H19),5,MISC,8,0,10,0,10,0,0
0058,MAUN 09 LAB01(H19),6,MISC,9,0,11,0,10,0,0
0058,MAUN 09 LAB01(H19),7,MISC,9,0,12,0,10,0,0
0058,MAUN 09 LAB01(H19),8,MISC,10,4,6,0,3,0,0
0058,MAUN 09 LAB01(H19),9,MISC,13,0,8,0,4,0,0
0058,MAUN 09 LAB01(H19),10,MISC,14,0,4,0,3,0,0
0060,MAUN 01 MUM(H11),0,MISC,3,0,5,0,3,0,0
0060,MAUN 01 MUM(H11),1,MISC,3,0,6,0,3,0,0
0060,MAUN 01 MUM(H11),2,MISC,5,0,8,0,3,0,0
0060,MAUN 01 MUM(H11),3,MISC,4,0,9,0,3,0,0
0060,MAUN 01 MUM(H11),4,MISC,6,0,11,0,3,0,0
0061,MAUN 02 PROT(H12),0,MISC,1,0,6,0,4,0,0
0061,MAUN 02 PROT(H12),1,MISC,2,4,8,0,4,0,0
0066,HAMP 01 PC01(H24),0,MISC,0,3,4,0,8,0,0
0077,TROO 05 GYM08(H414),0,MISC,6,0,13,0,19,1,0
0077,TROO 05 GYM08(H414),1,MISC,6,0,19,0,19,1,0
0078,LOBA 01 PC02(H57),0,MISC,0,3,4,0,8,0,0
0093,,0,BOARD,2,4,12,1,17,2,0
0093,,1,BOARD,3,4,31,1,28,1,0
0093,,2,BOARD,4,4,11,1,16,0,0
0093,,3,HIDDENITEM,8034,4,9,1,30,1,0
0093,,4,HIDDENITEM,8035,4,21,1,14,2,0
0096,NAVEL WEST 01(H32),0,HIDDENITEM,8154,4,3,0,10,2,0
0096,NAVEL WEST 01(H32),1,HIDDENITEM,8151,4,30,0,26,1,0
0096,NAVEL WEST 01(H32),2,HIDDENITEM,8152,4,18,0,12,2,0
0099,,0,MISC,7,0,15,0,2,0,0
0099,,1,MISC,7,0,11,0,2,0,0
0099,,2,MISC,7,0,7,0,2,0,0
0099,,3,MISC,8,0,13,0,2,0,0
0099,,4,MISC,8,0,9,0,2,0,0
0103,WELL CAVE F3(H147),0,HIDDENITEM,8056,4,28,0,28,1,0
0103,WELL CAVE F3(H147),1,HIDDENITEM,8224,4,3,0,12,1,0
0105,,0,HIDDENITEM,8060,4,6,1,31,0,0
0105,,1,HIDDENITEM,8059,4,16,0,8,0,0
0109,A HQ1 F1(H61); -(H76); -(H77); -(H192); -(H193); -(H194); -(H195),0,MISC,7,0,3,0,4,0,0
0109,A HQ1 F1(H61); -(H76); -(H77); -(H192); -(H193); -(H194); -(H195),1,MISC,8,0,21,0,4,0,0
0109,A HQ1 F1(H61); -(H76); -(H77); -(H192); -(H193); -(H194); -(H195),2,MISC,7,0,3,2,4,0,0
0109,A HQ1 F1(H61); -(H76); -(H77); -(H192); -(H193); -(H194); -(H195),3,MISC,8,0,21,2,4,0,0
0111,WELL CAVE F1(H145),0,HIDDENITEM,8027,4,17,0,8,0,0
0113,,0,MISC,10,4,1,0,3,0,0
0116,,0,HIDDENITEM,8043,4,27,0,10,1,0
0116,,1,HIDDENITEM,8044,4,26,1,14,1,0
0118,,0,HIDDENITEM,8073,4,15,1,12,1,0
0119,,0,HIDDENITEM,8076,4,13,1,13,1,0
0119,,1,HIDDENITEM,8077,4,10,0,7,1,0
0119,,2,HIDDENITEM,8201,4,13,1,17,0,0
0121,,0,HIDDENITEM,8080,4,26,0,3,1,0
0121,,1,HIDDENITEM,8079,4,18,0,1,1,0
0131,RADE 05 GYM07(H360),0,MISC,4,0,12,0,26,0,0
0131,RADE 05 GYM07(H360),1,MISC,4,0,18,0,26,0,0
0132,,0,MISC,2,0,10,0,9,0,0
0132,,1,MISC,2,0,4,0,9,0,0
0133,LOBA 04 GYM01(H60),0,MISC,3,0,2,0,24,0,0
0133,LOBA 04 GYM01(H60),1,MISC,4,0,8,0,24,0,0
0135,MELT 04 GYM02(H111),0,MISC,3,4,10,0,2,0,0
0135,MELT 04 GYM02(H111),1,MISC,4,0,11,0,18,0,0
0135,MELT 04 GYM02(H111),2,MISC,4,0,15,0,18,0,0
0137,BAIR 04 GYM05(H254),0,MISC,6,0,11,0,22,2,0
0137,BAIR 04 GYM05(H254),1,MISC,6,0,15,0,22,2,0
0141,,0,HIDDENITEM,8093,4,4,0,8,1,0
0141,,1,HIDDENITEM,8094,4,28,1,12,1,0
0141,,2,HIDDENITEM,8095,4,24,0,4,1,0
0142,,0,HIDDENITEM,8088,4,24,1,19,0,0
0143,,0,HIDDENITEM,8085,4,11,0,7,2,0
0143,,1,HIDDENITEM,8087,4,26,0,9,1,0
0143,,2,HIDDENITEM,8216,4,12,0,14,1,0
0143,,3,HIDDENITEM,8217,4,15,1,14,1,0
0143,,4,HIDDENITEM,8218,4,17,1,18,0,0
0143,,5,HIDDENITEM,8219,4,0,1,25,1,0
0143,,6,HIDDENITEM,8220,4,18,1,26,1,0
0146,,0,HIDDENITEM,8039,4,16,2,12,12,0
0146,,1,HIDDENITEM,8040,4,16,3,11,12,0
0147,,0,BOARD,3,4,7,3,16,10,0
0148,NAVEL WEST 02(H33),0,HIDDENITEM,8153,4,1,1,12,2,0
0148,NAVEL WEST 02(H33),1,HIDDENITEM,8155,4,28,0,19,2,0
0153,MELT 01 PC03(H108),0,MISC,0,3,4,0,8,0,0
0154,LOBA 06 SCHOO(H80),0,MISC,2,0,6,0,2,0,0
0154,LOBA 06 SCHOO(H80),1,MISC,2,0,5,0,2,0,0
0154,LOBA 06 SCHOO(H80),2,MISC,2,0,7,0,2,0,0
0154,LOBA 06 SCHOO(H80),3,MISC,3,4,9,0,6,0,0
0158,,0,MISC,5,0,9,0,2,0,0
0158,,1,MISC,7,4,6,0,3,0,0
0160,DANB 02 PC04(H138),0,MISC,0,3,4,0,8,0,0
0163,SYDT 02 PC05(H165),0,MISC,0,3,4,0,8,0,0
0167,,0,MISC,6,0,9,0,6,0,0
0169,,0,HIDDENITEM,8014,4,12,0,11,0,0
0169,,1,HIDDENITEM,8015,4,27,1,26,0,0
0170,WELL CAVE F2(H146),0,HIDDENITEM,8028,4,6,1,15,0,0
0170,WELL CAVE F2(H146),1,HIDDENITEM,8029,4,4,1,19,0,0
0172,,0,HIDDENITEM,8187,4,27,1,8,1,0
0172,,1,HIDDENITEM,8188,4,11,1,18,0,0
0173,,0,MISC,15,4,4,0,7,0,0
0173,,1,MISC,15,4,11,0,8,0,0
0173,,2,MISC,15,4,11,0,18,0,0
0173,,3,MISC,16,4,2,0,18,0,0
0175,MELT 08 BIKE(H115),0,MISC,2,4,1,0,5,0,0
0175,MELT 08 BIKE(H115),1,MISC,2,4,2,0,5,0,0
0175,MELT 08 BIKE(H115),2,MISC,2,4,1,0,7,0,0
0175,MELT 08 BIKE(H115),3,MISC,2,4,2,0,7,0,0
0175,MELT 08 BIKE(H115),4,MISC,2,4,1,0,9,0,0
0175,MELT 08 BIKE(H115),5,MISC,2,4,2,0,9,0,0
0175,MELT 08 BIKE(H115),6,MISC,2,4,1,0,11,0,0
0175,MELT 08 BIKE(H115),7,MISC,2,4,2,0,11,0,0
0175,MELT 08 BIKE(H115),8,MISC,2,4,4,0,4,0,0
0175,MELT 08 BIKE(H115),9,MISC,2,4,4,0,3,0,0
0175,MELT 08 BIKE(H115),10,MISC,2,4,6,0,3,0,0
0175,MELT 08 BIKE(H115),11,MISC,2,4,6,0,4,0,0
0175,MELT 08 BIKE(H115),12,MISC,2,4,8,0,3,0,0
0175,MELT 08 BIKE(H115),13,MISC,2,4,8,0,4,0,0
0175,MELT 08 BIKE(H115),14,MISC,2,4,11,0,11,0,0
0175,MELT 08 BIKE(H115),15,MISC,2,4,12,0,11,0,0
0176,,0,MISC,13,1,4,0,10,0,0
0176,,1,MISC,12,1,4,0,8,0,0
0176,,2,MISC,11,1,4,0,7,0,0
0176,,3,MISC,26,1,14,0,8,0,0
0176,,4,MISC,24,2,10,0,10,0,0
0176,,5,MISC,19,1,9,0,9,0,0
0176,,6,MISC,18,1,9,0,8,0,0
0176,,7,MISC,17,1,9,0,7,0,0
0176,,8,MISC,16,2,5,0,10,0,0
0176,,9,MISC,20,1,9,0,10,0,0
0176,,10,MISC,15,2,5,0,9,0,0
0176,,11,MISC,14,2,5,0,8,0,0
0176,,12,MISC,25,1,14,0,7,0,0
0176,,13,MISC,23,2,10,0,9,0,0
0176,,14,MISC,22,2,10,0,8,0,0
0176,,15,MISC,21,2,10,0,7,0,0
0176,,16,MISC,27,1,14,0,9,0,0
0176,,17,MISC,28,1,14,0,10,0,0
0176,,18,MISC,29,2,15,0,7,0,0
0176,,19,MISC,30,2,15,0,8,0,0
0176,,20,MISC,31,2,15,0,9,0,0
0176,,21,MISC,32,2,15,0,10,0,0
0178,BAIR 01 PC07(H251),0,MISC,0,3,4,0,8,0,0
0179,A HQ1 F2(H62),0,MISC,3,0,15,0,12,0,0
0179,A HQ1 F2(H62),1,MISC,2,0,21,0,4,0,0
0179,A HQ1 F2(H62),2,MISC,1,0,8,0,4,0,0
0179,A HQ1 F2(H62),3,MISC,3,0,15,2,12,0,0
0179,A HQ1 F2(H62),4,MISC,2,0,21,2,4,0,0
0179,A HQ1 F2(H62),5,MISC,1,0,8,2,4,0,0
0180,A HQ1 F3(H63),0,MISC,2,0,5,0,4,0,0
0180,A HQ1 F3(H63),1,MISC,3,0,10,0,4,0,0
0180,A HQ1 F3(H63),2,MISC,8,0,22,0,11,0,0
0180,A HQ1 F3(H63),3,MISC,2,0,5,2,4,0,0
0180,A HQ1 F3(H63),4,MISC,3,0,10,2,4,0,0
0180,A HQ1 F3(H63),5,MISC,8,0,22,2,11,0,0
0181,A HQ1 F4(H64),0,MISC,2,0,10,0,4,0,0
0181,A HQ1 F4(H64),1,MISC,3,0,15,0,12,0,0
0182,A HQ1 F5(H65),0,MISC,2,0,5,0,4,0,0
0182,A HQ1 F5(H65),1,MISC,4,0,17,0,4,0,0
0184,DEPART 1 F1(H168),0,MISC,5,0,17,0,2,0,0
0185,DEPART 1 F2(H169),0,MISC,6,0,17,0,2,0,0
0186,DEPART 1 F3(H170),0,MISC,4,0,17,0,2,0,0
0187,DEPART 1 F4(H171),0,MISC,5,0,17,0,2,0,0
0188,DEPART 1 F5(H172),0,MISC,5,0,17,0,2,0,0
0189,DEPART 1 F6(H173),0,MISC,3,0,17,0,2,0,0
0189,DEPART 1 F6(H173),1,MISC,4,0,11,0,3,0,0
0189,DEPART 1 F6(H173),2,MISC,4,0,12,0,3,0,0
0189,DEPART 1 F6(H173),3,MISC,4,0,13,0,3,0,0
0190,,0,MISC,8,0,14,0,8,0,0
0192,,0,MISC,8,0,23,0,30,0,0
0192,,1,MISC,13,0,2,0,17,1,0
0192,,2,MISC,14,0,5,0,17,1,0
0192,,3,MISC,15,0,7,0,17,1,0
0192,,4,MISC,16,0,9,0,17,1,0
0192,,5,MISC,17,0,11,0,17,1,0
0192,,6,MISC,18,0,13,0,17,1,0
0192,,7,MISC,19,0,5,0,23,1,0
0192,,8,MISC,20,0,7,0,23,1,0
0192,,9,MISC,21,0,9,0,23,1,0
0192,,10,MISC,22,0,11,0,23,1,0
0192,,11,MISC,23,0,13,0,23,1,0
0193,DEPART 1 B1(H174),0,HIDDENITEM,8052,4,1,0,9,0,0
0193,DEPART 1 B1(H174),1,HIDDENITEM,8053,4,13,0,14,0,0
0193,DEPART 1 B1(H174),2,HIDDENITEM,8067,4,20,0,11,0,0
0194,,0,MISC,1,0,8,0,8,0,0
0194,,1,MISC,2,0,9,0,8,0,0
0194,,2,MISC,3,0,10,0,8,0,0
0194,,3,MISC,4,0,23,0,14,0,0
0195,,0,HIDDENITEM,8068,4,12,0,11,0,0
0195,,1,HIDDENITEM,8069,4,27,0,13,0,0
0200,GLOBAL TWR F1(H176),0,MISC,2015,0,9,0,10,0,0
0200,GLOBAL TWR F1(H176),1,MISC,2015,0,10,0,10,0,0
0200,GLOBAL TWR F1(H176),2,MISC,12,4,18,0,9,0,0
0200,GLOBAL TWR F1(H176),3,MISC,12,4,18,0,10,0,0
0200,GLOBAL TWR F1(H176),4,MISC,13,4,18,0,14,0,0
0200,GLOBAL TWR F1(H176),5,MISC,13,4,18,0,15,0,0
0200,GLOBAL TWR F1(H176),6,MISC,12,4,21,0,9,0,0
0200,GLOBAL TWR F1(H176),7,MISC,12,4,21,0,10,0,0
0200,GLOBAL TWR F1(H176),8,MISC,13,4,21,0,15,0,0
0200,GLOBAL TWR F1(H176),9,MISC,13,4,21,0,14,0,0
0200,GLOBAL TWR F1(H176),10,MISC,18,0,18,0,2,0,0
0204,BURNT TWR F2(H269),0,HIDDENITEM,8021,4,15,0,24,0,0
0204,BURNT TWR F2(H269),1,HIDDENITEM,8065,4,10,0,7,0,0
0208,LIGHT H 01 F4(H215),0,HIDDENITEM,8066,4,5,0,14,0,0
0212,SHED 01 PC08(H280),0,MISC,0,3,4,0,8,0,0
0222,DALI 01 PC09(H300),0,MISC,0,3,4,0,8,0,0
0228,,0,HIDDENITEM,8074,4,31,1,13,1,0
0228,,1,HIDDENITEM,8191,4,3,2,8,0,0
0228,,2,HIDDENITEM,8192,4,28,0,10,0,0
0228,,3,HIDDENITEM,8193,4,8,2,20,0,0
0229,NAVEL WEST 05(H36); SPARK ROAR C(H131),0,HIDDENITEM,8075,4,29,0,11,0,0
0232,DALI 02 PCR09(H301); RADE 02 PC10(H357),0,MISC,0,3,4,0,8,0,0
0233,,0,MISC,5,4,5,1,21,0,0
0233,,1,HIDDENITEM,8051,4,21,1,16,0,0
0234,,0,MISC,11,0,28,0,16,0,0
0234,,1,MISC,11,0,29,0,16,0,0
0234,,2,MISC,11,0,30,0,16,0,0
0234,,3,MISC,11,0,31,0,16,0,0
0234,,4,MISC,11,0,0,1,16,0,0
0234,,5,MISC,11,0,1,1,16,0,0
0234,,6,HIDDENITEM,8054,4,20,0,29,0,0
0234,,7,HIDDENITEM,8055,4,16,1,14,0,0
0236,,0,HIDDENITEM,8045,4,22,1,4,2,0
0236,,1,HIDDENITEM,8046,4,11,1,20,0,0
0236,,2,HIDDENITEM,8140,4,2,1,10,2,0
0236,,3,HIDDENITEM,8141,4,28,1,5,1,0
0236,,4,HIDDENITEM,8142,4,29,1,7,2,0
0237,,0,HIDDENITEM,8047,4,21,1,29,0,0
0237,,1,HIDDENITEM,8048,4,2,1,6,1,0
0237,,2,HIDDENITEM,8143,4,10,1,16,1,0
0237,,3,HIDDENITEM,8144,4,16,0,18,0,0
0238,REGIDRACO DEN(H132),0,HIDDENITEM,8049,4,1,1,15,0,0
0238,REGIDRACO DEN(H132),1,HIDDENITEM,8050,4,17,0,9,2,0
0239,REGIELECT DEN(H133),0,HIDDENITEM,8081,4,14,0,12,0,0
0239,REGIELECT DEN(H133),1,HIDDENITEM,8083,4,0,1,17,1,0
0239,REGIELECT DEN(H133),2,HIDDENITEM,8082,4,8,0,22,0,0
0239,REGIELECT DEN(H133),3,BOARD,6,4,31,0,9,1,0
0240,,0,MISC,10450,0,13,0,5,0,0
0240,,1,MISC,12,0,17,0,5,0,0
0240,,2,MISC,13,0,21,0,5,0,0
0243,,0,MISC,31,4,14,1,17,1,0
0243,,1,MISC,32,4,18,1,17,1,0
0243,,2,MISC,31,4,14,1,16,1,0
0243,,3,MISC,31,4,15,1,16,1,0
0243,,4,MISC,31,4,15,1,17,1,0
0243,,5,MISC,32,4,18,1,16,1,0
0243,,6,MISC,32,4,19,1,17,1,0
0243,,7,MISC,32,4,19,1,16,1,0
0243,,8,MISC,33,4,18,1,7,1,0
0243,,9,MISC,33,0,19,1,7,1,0
0243,,10,MISC,33,1,18,1,6,1,0
0243,,11,MISC,33,1,18,1,5,1,0
0243,,12,MISC,33,4,18,1,4,1,0
0243,,13,MISC,33,3,19,1,4,1,0
0243,,14,MISC,33,0,20,1,7,1,0
0243,,15,MISC,33,3,20,1,4,1,0
0243,,16,MISC,33,4,21,1,4,1,0
0243,,17,MISC,33,2,21,1,5,1,0
0243,,18,MISC,33,2,21,1,6,1,0
0243,,19,MISC,33,4,21,1,7,1,0
0243,,20,BOARD,26,4,15,1,19,0,0
0243,,21,BOARD,30,4,8,2,0,1,0
0243,,22,BOARD,27,4,25,0,0,1,0
0243,,23,BOARD,28,4,3,1,25,1,0
0243,,24,BOARD,29,4,30,1,25,1,0
0246,,0,MISC,10452,0,22,0,6,0,0
0247,,0,MISC,10453,0,7,0,8,0,0
0248,,0,MISC,10454,0,6,0,8,0,0
0249,,0,MISC,10455,0,16,0,5,0,0
0251,,0,HIDDENITEM,8159,4,20,1,16,0,0
0251,,1,HIDDENITEM,8160,4,20,0,2,1,0
0251,,2,MISC,20,0,19,0,24,0,0
0251,,3,MISC,21,0,20,0,24,0,0
0251,,4,MISC,22,0,21,0,24,0,0
0251,,5,BOARD,23,4,18,0,24,0,0
0251,,6,BOARD,24,4,14,1,25,0,0
0255,,0,MISC,8,0,6,0,8,0,0
0255,,1,MISC,8,0,7,0,8,0,0
0255,,2,MISC,8,0,8,0,8,0,0
0255,,3,MISC,8,0,9,0,8,0,0
0255,,4,MISC,8,0,10,0,8,0,0
0255,,5,MISC,9,0,12,0,3,0,0
0255,,6,MISC,10,0,9,0,3,0,0
0255,,7,MISC,9,0,14,0,3,0,0
0255,,8,MISC,9,0,13,0,3,0,0
0255,,9,MISC,11,0,6,0,3,0,0
0255,,10,MISC,14,4,2,0,10,0,0
0256,,0,MISC,9,0,10,0,3,0,0
0256,,1,MISC,9,0,9,0,3,0,0
0256,,2,MISC,10,0,13,0,3,0,0
0256,,3,MISC,10,0,12,0,3,0,0
0256,,4,MISC,11,0,6,0,3,0,0
0256,,5,MISC,11,0,7,0,3,0,0
0256,,6,MISC,10,0,14,0,3,0,0
0256,,7,MISC,8,0,5,0,9,0,0
0256,,8,MISC,8,0,6,0,9,0,0
0256,,9,MISC,8,0,7,0,9,0,0
0256,,10,MISC,8,0,8,0,9,0,0
0256,,11,MISC,8,0,9,0,9,0,0
0256,,12,MISC,14,0,11,0,9,0,0
0257,,0,MISC,6,0,3,0,3,0,0
0257,,1,MISC,7,0,10,0,3,0,0
0257,,2,MISC,7,0,11,0,3,0,0
0257,,3,MISC,5,0,6,0,11,0,0
0257,,4,MISC,5,0,8,0,11,0,0
0257,,5,MISC,5,0,7,0,11,0,0
0258,,0,MISC,2,0,7,0,8,0,0
0258,,1,MISC,3,0,7,0,5,0,0
0258,,2,MISC,4,0,10,0,10,0,0
0258,,3,MISC,5,0,4,0,10,0,0
0264,TROO 02 PC11(H411),0,MISC,0,3,4,0,8,0,0
0268,RT 9 HS32(H245),0,MISC,1,0,7,0,10,0,0
0269,,0,MISC,4,4,7,0,3,0,0
0271,,0,MISC,8,4,15,0,12,0,0
0271,,1,MISC,0,3,20,0,17,0,0
0296,,0,MISC,2,4,4,0,4,0,0
0296,,1,MISC,2,4,8,0,4,0,0
0296,,2,MISC,2,4,4,0,3,0,0
0296,,3,MISC,2,4,8,0,3,0,0
0301,SYDT DOCK 02(H230),0,HIDDENITEM,8086,4,23,0,26,0,0
0301,SYDT DOCK 02(H230),1,HIDDENITEM,8158,4,13,0,16,0,0
0304,,0,HIDDENITEM,8062,4,16,0,8,0,0
0306,,0,HIDDENITEM,8063,4,24,0,20,0,0
0309,,0,HIDDENITEM,8064,4,21,0,6,0,0
0315,,0,MISC,0,3,4,0,8,0,0
0319,,0,MISC,7,4,4,0,2,0,0
0319,,1,MISC,6,4,10,0,2,0,0
0319,,2,MISC,8,4,6,0,7,0,0
0322,DALI 04 GYM06(H303),0,MISC,1,4,2,0,13,0,0
0322,DALI 04 GYM06(H303),1,MISC,2,4,4,0,13,0,0
0322,DALI 04 GYM06(H303),2,MISC,3,4,6,0,13,0,0
0322,DALI 04 GYM06(H303),3,MISC,4,4,8,0,13,0,0
0322,DALI 04 GYM06(H303),4,MISC,5,4,10,0,13,0,0
0322,DALI 04 GYM06(H303),5,MISC,6,4,2,0,15,0,0
0322,DALI 04 GYM06(H303),6,MISC,7,4,4,0,15,0,0
0322,DALI 04 GYM06(H303),7,MISC,8,4,6,0,15,0,0
0322,DALI 04 GYM06(H303),8,MISC,9,4,8,0,15,0,0
0322,DALI 04 GYM06(H303),9,MISC,10,4,10,0,15,0,0
0322,DALI 04 GYM06(H303),10,MISC,11,4,2,0,17,0,0
0322,DALI 04 GYM06(H303),11,MISC,12,4,4,0,17,0,0
0322,DALI 04 GYM06(H303),12,MISC,13,4,6,0,17,0,0
0322,DALI 04 GYM06(H303),13,MISC,14,4,8,0,17,0,0
0322,DALI 04 GYM06(H303),14,MISC,15,4,10,0,17,0,0
0322,DALI 04 GYM06(H303),15,MISC,26,0,4,0,20,0,0
0322,DALI 04 GYM06(H303),16,MISC,26,0,8,0,20,0,0
0327,DEPART 2 F1(H447),0,MISC,4,4,7,0,2,0,0
0328,DEPART 2 F2(H448),0,MISC,5,4,7,0,2,0,0
0329,DEPART 2 F3(H449),0,MISC,6,4,7,0,2,0,0
0330,DEPART 2 F4(H450),0,MISC,4,4,7,0,2,0,0
0331,DEPART 2 F5(H451),0,MISC,6,0,7,0,2,0,0
0332,DEPART 2 F6(H452),0,MISC,3,4,7,0,2,0,0
0332,DEPART 2 F6(H452),1,MISC,4,0,15,0,3,0,0
0332,DEPART 2 F6(H452),2,MISC,4,0,19,0,3,0,0
0332,DEPART 2 F6(H452),3,MISC,4,0,20,0,3,0,0
0333,HOTEL 1 F1(H205),0,MISC,5,4,5,0,2,0,0
0334,HOTEL 1 F2(H206),0,MISC,1,4,5,0,2,0,0
0335,,0,MISC,5,4,5,0,2,0,0
0335,,1,MISC,8,0,5,0,8,0,0
0335,,2,MISC,8,0,5,0,12,0,0
0335,,3,MISC,8,0,6,0,12,0,0
0335,,4,MISC,8,0,10,0,12,0,0
0335,,5,MISC,8,0,11,0,12,0,0
0335,,6,MISC,8,0,10,0,8,0,0
0335,,7,MISC,8,0,11,0,8,0,0
0335,,8,MISC,6,0,1,0,9,0,0
0335,,9,MISC,6,0,1,0,12,0,0
0335,,10,MISC,7,4,14,0,9,0,0
0335,,11,MISC,7,4,15,0,12,0,0
0335,,12,MISC,7,4,15,0,9,0,0
0335,,13,MISC,7,4,14,0,12,0,0
0335,,14,MISC,14,4,7,0,2,0,0
0339,RADE 20 TBD(H382),0,MISC,4,4,3,0,2,0,0
0339,RADE 20 TBD(H382),1,MISC,5,4,6,0,2,0,0
0340,RADE 21 TBD(H383),0,MISC,0,4,2,0,2,0,0
0341,MAUN 04 RIV01(H14); RADE 22 TBD(H384),0,MISC,4,4,8,0,4,0,0
0341,MAUN 04 RIV01(H14); RADE 22 TBD(H384),1,MISC,5,0,6,0,4,0,0
0344,,0,HIDDENITEM,8084,4,26,0,20,0,0
0345,,0,BOARD,1,4,4,44,10,6,0
0350,,0,MISC,0,3,4,0,8,0,0
0352,DANB 05 GYM03(H141),0,MISC,2,0,5,0,12,1,0
0352,DANB 05 GYM03(H141),1,MISC,2,0,9,0,12,1,0
0355,,0,MISC,2,0,6,0,2,0,0
0355,,1,MISC,3,0,8,0,2,0,0
0357,,0,MISC,9,0,7,0,9,0,0
0359,ROTOM TOWER(H197),0,MISC,4,0,5,0,2,0,0
0360,ROTOM ROOM(H198),0,MISC,8,4,4,0,6,0,0
0360,ROTOM ROOM(H198),1,MISC,8,4,6,0,6,0,0
0360,ROTOM ROOM(H198),2,MISC,8,4,8,0,6,0,0
