event_file,maps,spawnable_count,overworld_count,warp_count,trigger_count,file_size_bytes
0295,RT 20 AREA 1(H433); RT 20 AREA 2(H434); RT 20 AREA 3(H435); RT 20 AREA 4(H436); RT 20 AREA 5(H437); RT 20 AREA 6(H438); RT 20 AREA 7(H439); RT 20 AREA 8(H440); RT 20 AREA 9(H441); RT 20 AREA 10(H442); RT 20 AREA 11(H443); RT 20 AREA 12(H444); RT 20 AREA 13(H445),0,0,2,0,40
0296,,4,4,1,1,252
0297,TROOME CAVE 1(H430); TROOME CAVE 2(H431); TROOME CAVE 3(H432),0,0,6,0,88
0298,HOTEL 1 BS(H191),0,0,1,0,28
0299,BOAT 06(H101),0,9,2,0,328
0300,BOAT 07(H102),0,12,3,1,452
0301,SYDT DOCK 02(H230),2,4,3,0,220
0302,BAIR 05 DCARE(H255),0,3,1,0,124
0303,,0,0,3,0,52
0304,,1,1,3,0,104
0305,,0,3,7,0,196
0306,,1,1,5,0,128
0307,,0,2,3,0,116
0308,RADE F1 LIBRY(H371),0,0,2,0,40
0309,,1,3,6,0,204
0310,HOTEL 1 F4(H210),0,0,3,0,52
0311,HO-OH TWR TOP(H46),0,6,1,1,236
0312,HO-OH TWR F2(H45),0,0,3,0,52
0313,VOLTIC CAVE 1(H152); VOLTIC CAVE 2(H153); VOLTIC CAVE 3(H155); VOLTIC CAVE 4(H156); VOLTIC CAVE 5(H158); VOLTIC CAVE 6(H159),0,33,7,0,1156
0314,HOTEL 1 F3(H208),0,0,4,0,64
0315,,1,7,2,0,284
0316,SHED 02 PCR08(H281),0,3,1,0,124
0317,DALI 03 PM07(H302),0,6,1,0,220
0318,HOTEL 2 HS34(H367),0,2,2,0,104
0319,,3,6,1,0,280
0320,HOTEL 2 HS35(H369),0,2,2,0,104
0321,TROO 06 HS36(H415),0,1,1,0,60
0322,DALI 04 GYM06(H303),17,11,1,0,720
0323,,0,2,2,0,104
0324,,0,3,1,0,124
0325,RADE 03 PCR10(H358),0,3,1,0,124
0326,TROO 03 PCR11(H412),0,3,1,0,124
0327,DEPART 2 F1(H447),1,5,3,0,232
0328,DEPART 2 F2(H448),1,6,3,0,264
0329,DEPART 2 F3(H449),1,5,3,0,232
0330,DEPART 2 F4(H450),1,5,3,0,232
0331,DEPART 2 F5(H451),1,5,3,0,232
0332,DEPART 2 F6(H452),4,2,2,0,184
0333,HOTEL 1 F1(H205),1,4,3,0,200
0334,HOTEL 1 F2(H206),1,0,4,0,84
0335,,15,8,1,0,584
0336,DEPART 2 ROOF(H453),0,1,3,0,84
0337,DEPART 2 ROOM(H454),0,1,1,0,60
0338,DANB 01 GH02(H137),0,1,2,0,72
0339,RADE 20 TBD(H382),2,3,1,0,164
0340,RADE 21 TBD(H383),1,6,1,0,240
0341,MAUN 04 RIV01(H14); RADE 22 TBD(H384),2,2,1,0,132
0342,RADE 23 TBD(H385); TROO 07 HS37(H416),0,1,1,0,60
0343,,0,2,2,0,104
0344,,1,1,2,0,92
0345,,1,4,1,0,176
0346,WLDA03 GV08(H527),0,1,2,0,72
0347,,0,1,2,0,72
0348,,0,1,2,0,72
0349,,0,1,2,0,72
0350,,1,7,2,0,284
0351,,0,3,1,0,124
0352,DANB 05 GYM03(H141),2,9,1,0,356
0353,SEWER ROOM 03(H380),0,0,2,0,40
0354,SEWER ROOM 02(H379),0,0,5,0,76
0355,,2,17,1,0,612
0356,TROO 08 HS38(H417),0,1,1,0,60
0357,,1,5,3,1,248
0358,,0,0,0,0,16
0359,ROTOM TOWER(H197),1,3,2,0,156
0360,ROTOM ROOM(H198),5,6,1,0,320
0361,TROO 09 HS39(H418),0,3,2,0,136
0362,TROO 10 HS40(H419),3,4,1,0,216
0363,,1,7,2,0,284
0364,,0,3,1,0,124
0365,RADE 04 PM08(H359),0,6,1,0,220
0366,,2,6,31,1,636
0367,,2,5,7,1,316
0368,GLOBAL TWR F2(H177),10,9,2,0,528
0369,GLOBAL TWR F3(H178),6,9,2,0,448
0370,,1,4,6,0,236
0371,,0,2,1,0,92
0372,,0,1,1,0,60
0373,RADE 01 GV09(H356),0,2,2,0,104
0374,,0,1,2,0,72
0375,,0,1,2,0,72
0376,BIKE GATE 01(H258),0,1,2,2,104
0377,,0,1,3,0,84
0378,BIKE GATE 02(H260),0,1,2,2,104
0379,,0,1,2,0,72
0380,,0,1,2,0,72
0381,TROO 04 PM09(H413),0,6,1,0,220
0382,SYDT 04 GYM04(H167),2,10,1,0,388
0383,,1,6,2,0,252
0384,,0,1,1,0,60
0385,,0,3,1,0,124
0386,,0,4,1,0,156
0387,,0,1,1,0,60
0388,,0,6,1,0,220
0389,,1,7,2,0,284
0390,,0,5,1,0,188
0391,,0,1,1,0,60
0392,,0,1,1,0,60
0393,,0,4,1,0,156
0394,,2,6,1,0,260
0395,,0,1,1,0,60
0396,DEPART 1 ELVA(H175),0,1,1,0,60
0397,DEPART 2 ELV(H455),0,1,1,0,60
0398,HOTEL 2 B1(H370),0,0,1,0,28
0399,,0,0,1,0,28
0400,ROTOM ELEVATO(H196),0,0,1,0,28
0401,LIGHT H 01 EL(H219),0,0,1,0,28
0402,,0,0,1,0,28
0403,AZELF DEN(H154),0,1,1,0,60
0404,D HQ1 F1(H67),4,10,2,2,472
0405,,6,12,6,0,592
0406,MAUN 08 RIV03(H18),0,0,1,0,28
0407,,2,19,8,0,760
0408,UXIE DEN(H157),0,1,1,0,60
0409,,2,4,12,0,328
0410,MANSION A6(H397),0,0,1,0,28
0411,MESPIRIT DEN(H160); D11R0105(H456),0,1,1,0,60
0412,D11R0106(H457); VICTRY RD 1 1(H496); VICTRY RD 1 2(H497); VICTRY RD 1 3(H498); VICTRY RD 1 4(H499); VICTRY RD 1 5(H500),0,0,2,0,40
0413,D41R0102(H459),3,2,7,0,224
0414,D41R0103(H460),0,2,3,0,116
0415,D41R0104(H461),0,1,1,0,60
0416,D41R0105(H462),2,1,1,0,100
0417,HOTEL 2 F4(H368); D41R0106(H463),0,0,3,0,52
0418,HOTEL 2 F3(H366); D41R0107(H464),0,0,4,0,64
0419,D41R0108(H465),0,1,1,0,60
0420,R10PC0101(H466),1,7,2,0,284
0421,R10R0201(H467),2,7,1,0,292
0422,MANSION A3(H394); R05R0201(H469),0,2,2,0,104
0423,MANSION A2(H393); R06R0101(H470),0,2,1,0,92
0424,MELT 07 FOSSI(H114); T03R0101(H471),42,8,1,1,1140
0425,T03R0201(H472),0,2,1,0,92
0426,T03GYM0101(H473),2,4,1,0,196
0427,T03FS0101(H474),0,6,1,0,220
0428,T03PC0101(H475),1,8,2,0,316
0429,T03PC0102(H476),0,3,1,0,124
0430,T03R0601(H477),0,1,1,0,60
0431,T08FS0101(H478),0,6,1,0,220
0432,T08R0201(H479),0,7,1,0,252
0433,HOTEL 2 F2(H364); T08GYM0101(H480),0,0,4,0,64
0434,RT 5 01 HS51(H73); T08R0401(H481),0,2,1,0,92
0435,T08PC0101(H482),1,7,2,0,284
0436,DALI 10 HS52(H309); T08R0601(H483),0,4,1,0,156
0437,R10PC0102(H484),0,3,1,0,124
0438,T08PC0102(H485),0,3,1,0,124
0439,LUGIA DEN 02(H38); D40R0106(H486),0,1,1,0,60
0440,HOTEL 2 F1(H363); D22R0102(H487),0,0,3,0,52
0441,R10R0202(H489),2,7,1,1,308
0442,ICE PATH C2(H292); D24R0216(H490),1,6,6,4,364
0443,ICE PATH C3(H293); D24R0217(H491),1,13,12,0,596
0444,D24R0218(H492),0,2,6,0,152
0445,R07R0101(H493),0,1,2,0,72
0446,T05PC0102(H494),0,3,1,0,124
0447,T04PC0102(H495),0,3,1,0,124
0448,,2,7,1,1,308
0449,DALI 10 HS53(H310),0,4,1,0,156
0450,,2,6,2,0,272
0451,,0,12,1,2,444
0452,,0,6,1,0,220
0453,,1,7,2,0,284
0454,,0,3,1,0,124
0455,,2,1,2,0,112
0456,,0,1,2,0,72
0457,,16,7,1,0,572
0458,,2,0,1,0,68
0459,,2,0,1,0,68
0460,,1,6,2,0,252
0461,,0,3,1,0,124
0462,DALI 10 HS54(H311),0,2,1,0,92
0463,,1,6,2,0,252
0464,,0,3,1,0,124
0465,MAUN 06 RIV02(H16),0,0,1,0,28
0466,,1,4,2,0,188
0467,T31PC0102(H515),0,3,1,0,124
0468,MANSION A9(H400); HIROBA(H516),0,0,1,0,28
0469,R05R0401(H517),0,2,1,0,92
0470,RADE F2 LIBRY(H372); D02FS0101(H518),0,2,2,0,104
0471,MANSION A8(H399); T25R0503(H519),0,0,1,0,28
0472,MANSION A7(H398); FREE(H520); TEST2(H541),0,0,1,0,28
0473,D51R0101(H521),1,1,2,0,92
0474,D51R0201(H522),0,1,1,3,108
0475,D51R0301(H523),0,4,1,0,156
0476,GROUDON DEN(H334); D52R0101(H524),0,2,2,0,104
0477,KYOGRE DEN(H342),0,2,1,0,92
0478,SKY PILLAR 02(H345),0,1,3,0,84
0479,RADE 23 GV13(H386),0,1,2,0,72
0480,D32PC0101(H528),1,7,2,0,284
0481,D32PC0102(H529),0,3,1,0,124
0482,D32FS0101(H530),0,6,1,0,220
0483,WILD AREA(H533),0,0,7,0,100
0484,SKY PILLAR 01(H344); R05R0202(H532),0,9,10,0,424
0485,HOME 57 SROD(H531),0,1,1,0,60
0486,D47PC0101(H534),1,6,2,0,252
0487,D47PC0102(H535),0,3,1,0,124
0488,MELT 05 GAME1(H112); T25SP0101(H536),5,3,1,0,224
0489,MELT 06 GAME2(H113); T07SP0101(H537),5,2,1,0,192
0490,T10R0801(H539),0,3,1,0,124
