map_id,walkable,blocked,special
0171,791,179,54
0172,700,319,5
0173,699,324,1
0174,488,534,2
0175,689,280,55
0176,896,108,20
0177,834,160,30
0178,820,191,13
0179,342,587,95
0180,601,407,16
0181,342,655,27
0182,648,303,73
0183,538,486,0
0184,318,657,49
0185,750,163,111
0186,950,68,6
0187,465,429,130
0188,793,197,34
0189,900,115,9
0190,325,578,121
0191,576,279,169
0192,751,250,23
0193,1024,0,0
0194,421,508,95
0195,667,306,51
0196,833,164,27
0197,1024,0,0
0198,123,867,34
0199,1024,0,0
0200,106,854,64
0201,364,593,67
0202,387,528,109
0203,20,1000,4
0204,97,837,90
0205,428,528,68
0206,154,855,15
0207,311,541,172
0208,180,618,226
0209,436,475,113
0210,505,461,58
0211,294,715,15
0212,951,65,8
0213,939,65,20
0214,943,66,15
0215,950,66,8
0216,891,91,42
0217,937,87,0
0218,1024,0,0
0219,1024,0,0
0220,843,106,75
0221,670,174,180
0222,928,96,0
0223,919,105,0
0224,932,92,0
0225,890,134,0
0226,867,105,52
0227,829,195,0
0228,858,118,48
0229,827,114,83
0230,806,116,102
0231,964,60,0
0232,857,93,74
0233,830,101,93
0234,918,85,21
0235,820,158,46
0236,782,170,72
0237,617,407,0
0238,867,101,56
0239,879,114,31
0240,1024,0,0
0241,405,345,274
0242,894,87,43
0243,887,94,43
0244,801,129,94
0245,788,123,113
0246,578,237,209
0247,869,87,68
0248,493,465,66
0249,925,61,38
0250,661,363,0
0251,62,904,58
0252,39,938,47
0253,481,455,88
0254,643,287,94
0255,176,848,0
0256,0,539,485
0257,859,85,80
0258,804,113,107
0259,921,94,9
0260,0,461,563
0261,1,686,337
0262,893,86,45
0263,632,219,173
0264,600,424,0
0265,702,161,161
0266,703,170,151
0267,703,179,142
0268,703,175,146
0269,703,179,142
0270,701,159,164
0271,756,268,0
0272,1024,0,0
0273,1024,0,0
0274,1024,0,0
0275,1024,0,0
0276,1024,0,0
0277,882,84,58
0278,883,85,56
0279,854,125,45
0280,963,61,0
0281,917,107,0
0282,68,956,0
0283,649,220,155
0284,661,281,82
0285,922,99,3
0286,880,66,78
0287,910,114,0
0288,900,124,0
0289,916,108,0
0290,924,100,0
0291,716,165,143
0292,734,115,175
0293,716,201,107
0294,716,187,121
0295,722,156,146
0296,899,124,1
0297,695,238,91
0298,1024,0,0
0299,904,120,0
0300,830,93,101
0301,545,260,219
0302,600,424,0
0303,820,165,39
0304,859,97,68
0305,859,93,72
0306,795,84,145
0307,851,93,80
0308,740,136,148
0309,717,150,157
0310,781,154,89
0311,732,222,70
0312,1024,0,0
0313,855,169,0
0314,126,282,616
0315,458,186,380
0316,571,259,194
0317,620,170,234
0318,634,295,95
0319,672,96,256
0320,789,235,0
0321,978,46,0
0322,752,159,113
0323,752,168,104
0324,711,161,152
0325,739,169,116
0326,754,166,104
0327,776,156,92
0328,900,124,0
0329,903,121,0
0330,903,121,0
0331,786,130,108
0332,932,92,0
0333,830,107,87
0334,646,265,113
0335,239,785,0
0336,120,904,0
0337,43,960,21
0338,719,130,175
0339,376,361,287
0340,649,153,222
0341,689,148,187
0342,835,189,0
0343,669,164,191
0344,465,271,288
0345,564,244,216
0346,644,201,179
0347,131,738,155
0348,25,971,28
0349,107,804,113
0350,36,395,593
0351,74,822,128
0352,30,994,0
0353,174,826,24
0354,31,993,0
0355,829,101,94
0356,37,654,333
0357,548,476,0
0358,528,380,116
0359,669,156,199
0360,804,121,99
0361,805,110,109
0362,900,82,42
0363,928,81,15
0364,892,82,50
0365,905,81,38
0366,810,138,76
0367,543,271,210
0368,705,179,140
0369,885,82,57
0370,854,105,65
0371,744,148,132
0372,988,36,0
0373,803,104,117
0374,805,109,110
0375,867,89,68
0376,543,271,210
0377,838,47,139
0378,110,914,0
0379,600,424,0
0380,600,424,0
0381,920,104,0
0382,953,63,8
0383,943,59,22
0384,790,169,65
0385,341,350,333
0386,1000,24,0
0387,745,187,92
0388,769,169,86
0389,512,280,232
0390,828,134,62
0391,453,379,192
0392,859,129,36
0393,407,379,238
0394,859,129,36
0395,341,384,299
0396,347,375,302
0397,532,281,211
0398,528,261,235
0399,274,427,323
0400,249,356,419
0401,514,307,203
0402,497,239,288
0403,203,461,360
0404,172,470,382
0405,778,188,58
0406,730,276,18
0407,183,498,343
0408,616,237,171
0409,792,157,75
0410,928,51,45
0411,183,505,336
0412,502,319,203
0413,792,163,69
0414,880,120,24
0415,76,912,36
0416,1024,0,0
0417,1024,0,0
0418,1024,0,0
0419,1024,0,0
0420,1024,0,0
0421,1024,0,0
0422,909,113,2
0423,907,113,4
0424,645,379,0
0425,796,192,36
0426,397,520,107
0427,699,283,42
0428,529,404,91
0429,762,206,56
0430,600,424,0
0431,716,308,0
0432,517,308,199
0433,921,103,0
0434,921,103,0
0435,921,103,0
0436,327,697,0
0437,886,138,0
0438,789,235,0
0439,901,123,0
0440,892,132,0
0441,933,91,0
0442,888,136,0
0443,885,139,0
0444,884,140,0
0445,444,576,4
0446,22,917,85
0447,513,460,51
0448,38,980,6
0449,129,811,84
0450,0,744,280
0451,970,54,0
0452,993,31,0
0453,941,83,0
0454,268,597,159
0455,525,77,422
0456,317,512,195
0457,256,768,0
0458,107,627,290
0459,114,888,22
0460,625,234,165
0461,612,248,164
0462,592,253,179
0463,610,254,160
0464,652,333,39
0465,701,180,143
0466,1024,0,0
0467,0,896,128
0468,25,826,173
0469,543,481,0
0470,452,572,0
0471,264,760,0
0472,325,699,0
0473,291,733,0
0474,449,575,0
0475,276,748,0
0476,325,699,0
0477,0,857,167
0478,815,90,119
0479,754,213,57
0480,394,371,259
0481,319,383,322
0482,392,413,219
0483,193,831,0
0484,708,239,77
0485,553,352,119
0486,412,430,182
0487,899,96,29
0488,551,359,114
0489,576,283,165
0490,559,337,128
0491,704,136,184
0492,703,144,177
0493,735,187,102
0494,684,208,132
0495,701,190,133
0496,701,168,155
0497,701,176,147
0498,2,671,351
0499,2,701,321
0500,6,745,273
0501,2,756,266
0502,4,664,356
0503,4,649,371
0504,58,804,162
0505,0,834,190
0506,19,769,236
0507,0,854,170
0508,0,887,137
0509,0,955,69
0510,631,245,148
0511,129,645,250
0512,743,222,59
0513,270,474,280
0514,435,325,264
0515,227,549,248
0516,556,394,74
0517,538,418,68
0518,582,315,127
0519,160,747,117
0520,308,568,148
0521,128,664,232
0522,634,257,133
0523,231,396,397
0524,763,209,52
0525,602,252,170
0526,356,443,225
0527,567,346,111
0528,710,298,16
0529,354,585,85
0530,398,546,80
0531,509,257,258
0532,496,324,204
0533,472,293,259
0534,471,280,273
0535,672,180,172
0536,628,315,81
0537,460,517,47
0538,374,558,92
0539,535,418,71
0540,499,353,172
0541,642,196,186
0542,563,351,110
0543,719,213,92
0544,57,967,0
0545,637,387,0
0546,818,185,21
0547,469,219,336
0548,650,244,130
0549,192,832,0
0550,921,77,26
0551,627,231,166
0552,787,161,76
0553,783,149,92
0554,572,187,265
0555,206,387,431
0556,604,225,195
0557,611,277,136
0558,96,475,453
0559,589,216,219
0560,1024,0,0
0561,25,916,83
0562,0,955,69
0563,654,310,60
0564,655,277,92
0565,1024,0,0
0566,511,498,15
0567,583,406,35
0568,473,491,60
0569,304,544,176
0570,269,604,151
0571,191,630,203
0572,634,390,0
0573,634,390,0
0574,367,645,12
0575,469,501,54
0576,214,675,135
0577,432,519,73
0578,499,479,46
0579,505,461,58
0580,136,873,15
0581,694,330,0
0582,903,72,49
0583,499,420,105
0584,0,554,470
0585,736,168,120
0586,736,167,121
0587,943,53,28
0588,52,860,112
0589,565,444,15
0590,593,365,66
0591,692,332,0
0592,628,381,15
0593,700,324,0
0594,291,432,301
0595,314,467,243
0596,199,563,262
0597,630,233,161
0598,226,539,259
0599,172,614,238
0600,1024,0,0
0601,220,650,154
0602,526,312,186
0603,682,233,109
0604,592,289,143
0605,514,310,200
0606,472,358,194
0607,576,288,160
0608,448,360,216
0609,448,334,242
0610,467,327,230
0611,487,266,271
0612,632,177,215
0613,466,386,172
0614,903,79,42
0615,596,349,79
0616,703,290,31
0617,501,448,75
0618,607,333,84
0619,432,573,19
0620,453,536,35
0621,892,87,45
0622,222,755,47
0623,152,864,8
0624,233,778,13
0625,270,742,12
0626,123,890,11
0627,165,844,15
0628,1024,0,0
0629,1024,0,0
0630,1024,0,0
0631,1024,0,0
0632,1024,0,0
0633,1024,0,0
0634,616,352,56
0635,604,397,23
0636,739,234,51
0637,734,286,4
0638,854,74,96
0639,291,590,143
0640,675,139,210
0641,163,745,116
0642,589,279,156
0643,644,380,0
0644,702,322,0
0645,931,93,0
0646,845,179,0
0647,859,165,0
0648,846,178,0
0649,852,172,0
0650,392,315,317
0651,508,255,261
0652,210,814,0
0653,291,188,545
0654,708,235,81
0655,436,504,84
0656,147,501,376
0657,596,206,222
0658,153,482,389
0659,169,442,413
0660,909,115,0
0661,534,396,94
0662,347,548,129
0663,40,381,603
0664,1024,0,0
0665,1024,0,0
0666,0,984,40
0667,115,861,48
0668,289,710,25
0669,380,456,188
0670,449,505,70
0671,787,173,64
0672,416,152,456
0673,566,228,230
0674,566,228,230
0675,566,228,230
0676,623,205,196
0677,555,332,137
0678,754,198,72
0679,490,375,159
0680,528,302,194
0681,358,389,277
0682,335,131,558
0683,0,161,863
0684,406,304,314
0685,1024,0,0
0686,1024,0,0
0687,1024,0,0
0688,1024,0,0
0689,224,800,0
0690,98,926,0
0691,147,877,0
0692,138,886,0
0693,1024,0,0
0694,1024,0,0
0695,960,64,0
0696,629,281,114
0697,1024,0,0
0698,1024,0,0
0699,1024,0,0
0700,315,447,262
0701,197,677,150
0702,39,981,4
0703,191,830,3
0704,184,724,116
0705,280,710,34
0706,503,440,81
0707,615,393,16
0708,732,289,3
0709,538,425,61
0710,640,338,46
0711,798,188,38
0712,841,160,23
0713,908,106,10
0714,541,393,90
0715,482,475,67
0716,260,691,73
0717,224,711,89
0718,553,471,0
0719,903,53,68
0720,952,72,0
0721,509,487,28
0722,334,575,115
0723,665,359,0
0724,754,158,112
0725,610,214,200
0726,1024,0,0
0727,117,898,9
0728,305,624,95
0729,545,306,173
0730,1024,0,0
0731,1024,0,0
0732,1024,0,0
0733,1024,0,0
0734,106,874,44
0735,1024,0,0
0736,649,246,129
0737,1024,0,0
0738,1024,0,0
0739,515,338,171
0740,1024,0,0
0741,1024,0,0
0742,0,926,98
0743,1024,0,0
0744,623,283,118
0745,608,249,167
0746,606,278,140
0747,709,216,99
0748,295,654,75
0749,424,387,213
0750,875,146,3
0751,547,452,25
0752,772,224,28
0753,927,88,9
0754,933,91,0
0755,875,149,0
0756,1024,0,0
0757,1024,0,0
0758,1024,0,0
0759,1024,0,0
0760,1024,0,0
0761,1024,0,0
0762,1024,0,0
0763,1024,0,0
0764,199,798,27
0765,464,386,174
0766,392,562,70
0767,0,1024,0
0768,435,518,71
0769,488,318,218
0770,209,461,354
0771,256,768,0
0772,188,836,0
0773,256,768,0
0774,188,836,0
0775,256,768,0
0776,188,836,0
0777,68,852,104
0778,960,64,0
0779,84,798,142
0780,556,343,125
0781,388,520,116
0782,452,275,297
0783,455,515,54
0784,420,533,71
0785,140,852,32
0786,191,770,63
0787,507,424,93
0788,488,318,218
0789,435,478,111
0790,440,550,34
0791,561,381,82
0792,388,530,106
0793,41,960,23
0794,629,281,114
0795,1024,0,0
0796,1024,0,0
0797,214,784,26
0798,531,376,117
0799,376,442,206
0800,348,389,287
0801,311,524,189
0802,512,258,254
0803,117,748,159
0804,417,357,250
0805,444,438,142
0806,253,639,132
0807,414,526,84
0808,712,120,192
0809,241,590,193
0810,174,740,110
0811,545,221,258
0812,481,362,181
0813,270,450,304
0814,417,361,246
0815,274,225,525
0816,318,550,156
0817,1024,0,0
0818,145,828,51
0819,546,126,352
0820,563,234,227
0821,558,202,264
0822,532,391,101
0823,382,552,90
0824,560,311,153
0825,317,640,67
0826,490,361,173
0827,560,302,162
0828,402,540,82
0829,370,534,120
0830,856,87,81
0831,287,520,217
0832,299,625,100
0833,0,996,28
0834,473,429,122
0835,501,289,234
0836,360,616,48
0837,432,491,101
0838,492,440,92
0839,211,677,136
0840,1024,0,0
0841,108,884,32
0842,54,970,0
0843,1024,0,0
0844,84,926,14
0845,1024,0,0
0846,1024,0,0
0847,1024,0,0
0848,1024,0,0
0849,1024,0,0
0850,1024,0,0
0851,1024,0,0
0852,1024,0,0
0853,1024,0,0
0854,1024,0,0
0855,1024,0,0
0856,1024,0,0
0857,1024,0,0
0858,1024,0,0
0859,1024,0,0
0860,1024,0,0
0861,1024,0,0
0862,1024,0,0
0863,1024,0,0
0864,1024,0,0
0865,18,1006,0
0866,3,1021,0
0867,1024,0,0
0868,0,1024,0
0869,641,383,0
0870,1024,0,0
0871,219,805,0
0872,134,855,35
0873,415,609,0
0874,245,779,0
0875,444,580,0
0876,370,654,0
0877,1024,0,0
0878,1024,0,0
0879,1024,0,0
0880,188,836,0
0881,478,546,0
0882,351,673,0
0883,624,400,0
0884,393,631,0
0885,326,698,0
0886,624,400,0
0887,164,860,0
0888,175,849,0
0889,102,922,0
0890,316,708,0
0891,334,690,0
0892,138,886,0
0893,147,877,0
0894,98,926,0
0895,262,742,20
0896,364,561,99
0897,163,854,7
0898,1024,0,0
0899,1024,0,0
0900,1024,0,0
0901,1024,0,0
0902,385,639,0
0903,451,573,0
0904,126,898,0
0905,326,698,0
0906,409,615,0
0907,426,598,0
0908,690,334,0
0909,116,882,26
0910,64,882,78
0911,611,349,64
0912,27,997,0
0913,489,535,0
0914,42,982,0
0915,457,567,0
0916,964,60,0
0917,341,683,0
0918,573,451,0
0919,615,409,0
0920,515,509,0
0921,112,883,29
0922,262,762,0
0923,725,299,0
0924,405,619,0
0925,305,699,20
0926,267,757,0
0927,251,717,56
0928,475,507,42
0929,492,532,0
0930,320,582,122
0931,395,509,120
0932,665,160,199
0933,485,467,72
0934,260,707,57
0935,224,610,190
0936,117,841,66
0937,200,676,148
0938,247,645,132
0939,247,681,96
0940,158,742,124
0941,287,737,0
0942,13,1000,11
0943,413,611,0
0944,333,609,82
0945,552,472,0
0946,321,667,36
0947,443,489,92
0948,539,444,41
0949,151,787,86
0950,224,633,167
0951,363,616,45
0952,655,303,66
0953,438,484,102
0954,329,629,66
0955,188,810,26
0956,408,506,110
0957,449,534,41
0958,191,702,131
0959,774,158,92
0960,589,320,115
0961,590,365,69
0962,690,235,99
0963,792,223,9
0964,367,487,170
0965,158,822,44
0966,529,430,65
0967,1024,0,0
0968,1024,0,0
0969,139,803,82
0970,187,809,28
0971,168,756,100
0972,97,855,72
0973,20,990,14
0974,215,573,236
0975,268,650,106
0976,250,692,82
0977,200,697,127
0978,186,803,35
0979,139,789,96
0980,191,704,129
0981,118,738,168
0982,260,749,15
0983,270,716,38
0984,285,682,57
0985,296,600,128
0986,230,692,102
0987,198,734,92
0988,168,716,140
0989,938,78,8
0990,608,404,12
0991,671,318,35
0992,530,486,8
0993,646,338,40
0994,998,26,0
0995,22,955,47
0996,1024,0,0
0997,125,882,17
0998,215,698,111
0999,351,650,23
1000,290,649,85
1001,237,734,53
1002,153,757,114
1003,218,738,68
1004,108,784,132
1005,364,615,45
1006,170,720,134
1007,208,727,89
1008,599,421,4
1009,1024,0,0
1010,105,782,137
1011,1024,0,0
1012,617,254,153
1013,278,622,124
1014,341,508,175
1015,336,604,84
1016,113,886,25
1017,384,562,78
1018,180,844,0
1019,579,445,0
1020,264,672,88
1021,185,817,22
1022,720,199,105
1023,327,518,179
1024,310,685,29
1025,390,549,85
1026,310,684,30
1027,549,411,64
1028,306,660,58
1029,176,837,11
1030,272,692,60
1031,144,848,32
1032,375,593,56
1033,368,466,190
1034,341,639,44
1035,146,814,64
1036,347,631,46
1037,376,555,93
1038,433,521,70
1039,318,644,62
1040,732,200,92
1041,216,759,49
1042,496,476,52
1043,406,589,29
1044,670,327,27
1045,355,640,29
1046,703,321,0
1047,624,396,4
1048,424,492,108
1049,472,459,93
1050,569,383,72
1051,626,379,19
1052,720,286,18
1053,725,284,15
1054,606,409,9
1055,599,365,60
1056,784,224,16
1057,766,258,0
1058,889,80,55
1059,540,377,107
1060,287,737,0
1061,368,656,0
1062,553,471,0
1063,312,712,0
1064,560,464,0
1065,495,529,0
1066,557,467,0
1067,493,531,0
1068,1024,0,0
1069,428,596,0
1070,617,258,149
1071,968,19,37
1072,1024,0,0
1073,1024,0,0
1074,1024,0,0
1075,974,50,0
1076,717,259,48
1077,962,62,0
1078,982,42,0
1079,1024,0,0
1080,973,51,0
1081,978,46,0
1082,887,120,17
1083,229,655,140
1084,922,102,0
1085,928,96,0
1086,928,96,0
1087,275,749,0
1088,927,97,0
1089,852,161,11
1090,1012,1,11
1091,1023,0,1
1092,977,47,0
1093,416,608,0
1094,982,42,0
1095,380,644,0
1096,978,46,0
1097,1024,0,0
1098,1024,0,0
1099,976,48,0
1100,717,259,48
1101,928,96,0
1102,217,807,0
1103,1024,0,0
1104,406,499,119
1105,463,439,122
1106,399,379,246
1107,495,395,134
1108,824,130,70
1109,613,395,16
1110,830,93,101
1111,439,465,120
1112,899,125,0
1113,895,129,0
1114,930,94,0
1115,1024,0,0
1116,1024,0,0
1117,937,87,0
1118,952,72,0
1119,1024,0,0
1120,1024,0,0
1121,928,96,0
1122,1024,0,0
1123,1024,0,0
1124,1024,0,0
1125,1024,0,0
1126,1024,0,0
1127,1024,0,0
1128,189,835,0
1129,1024,0,0
1130,1024,0,0
1131,1024,0,0
1132,993,17,14
1133,1024,0,0
1134,1024,0,0
1135,1024,0,0
1136,997,27,0
1137,955,69,0
1138,1024,0,0
1139,1024,0,0
1140,1024,0,0
1141,1023,1,0
1142,824,150,50
1143,899,125,0
1144,1023,1,0
1145,1024,0,0
1146,1024,0,0
1147,1024,0,0
1148,1024,0,0
1149,994,11,19
1150,933,91,0
1151,1024,0,0
1152,1024,0,0
1153,1024,0,0
1154,970,54,0
1155,1024,0,0
1156,1024,0,0
1157,962,62,0
1158,781,128,115
1159,1024,0,0
1160,955,69,0
1161,570,322,132
1162,1024,0,0
1163,1024,0,0
1164,845,111,68
1165,1024,0,0
1166,928,96,0
1167,646,348,30
1168,628,380,16
1169,817,207,0
1170,798,226,0
1171,799,225,0
1172,841,181,2
1173,809,214,1
1174,827,197,0
1175,911,113,0
1176,845,179,0
1177,802,222,0
1178,914,110,0
1179,985,39,0
1180,1024,0,0
1181,977,47,0
1182,925,99,0
1183,376,648,0
1184,889,135,0
1185,870,154,0
1186,693,310,21
1187,1019,0,5
1188,1021,3,0
1189,1024,0,0
1190,1024,0,0
1191,1024,0,0
1192,1024,0,0
1193,48,976,0
1194,51,973,0
1195,45,979,0
1196,42,982,0
1197,1024,0,0
1198,270,754,0
1199,76,948,0
1200,288,736,0
1201,189,835,0
1202,1024,0,0
1203,226,798,0
1204,117,883,24
1205,1024,0,0
1206,247,777,0
1207,195,829,0
1208,1024,0,0
1209,56,968,0
1210,55,969,0
1211,55,969,0
1212,1024,0,0
1213,1024,0,0
1214,1024,0,0
1215,321,703,0
1216,336,688,0
1217,256,768,0
1218,282,742,0
1219,235,789,0
1220,181,843,0
1221,16,1008,0
1222,194,830,0
1223,63,961,0
1224,76,948,0
1225,1024,0,0
1226,1024,0,0
1227,1024,0,0
1228,1024,0,0
1229,1024,0,0
1230,195,829,0
1231,1024,0,0
1232,1024,0,0
1233,118,906,0
1234,110,914,0
1235,344,680,0
1236,110,914,0
1237,1024,0,0
1238,18,1006,0
1239,1024,0,0
1240,45,979,0
1241,45,979,0
1242,45,979,0
1243,146,878,0
1244,479,545,0
1245,166,858,0
1246,895,129,0
1247,564,460,0
1248,87,937,0
1249,159,865,0
1250,522,502,0
1251,130,894,0
1252,1024,0,0
1253,1024,0,0
1254,1024,0,0
1255,1024,0,0
1256,132,892,0
1257,249,775,0
1258,182,842,0
1259,1024,0,0
1260,159,865,0
1261,626,398,0
1262,119,905,0
1263,1024,0,0
1264,1024,0,0
1265,1,1023,0
1266,201,823,0
1267,1024,0,0
1268,245,779,0
1269,305,719,0
1270,337,687,0
1271,153,871,0
1272,1024,0,0
1273,391,633,0
1274,1024,0,0
1275,94,930,0
1276,335,689,0
1277,182,842,0
1278,121,903,0
1279,1024,0,0
1280,2,1022,0
1281,1024,0,0
1282,1024,0,0
1283,1024,0,0
1284,1024,0,0
1285,146,878,0
1286,270,754,0
1287,1024,0,0
1288,1024,0,0
1289,391,633,0
1290,1024,0,0
1291,391,633,0
1292,1024,0,0
1293,1024,0,0
1294,2,1022,0
1295,2,1022,0
1296,1024,0,0
1297,982,42,0
1298,962,62,0
1299,900,68,56
1300,252,772,0
1301,973,51,0
1302,992,32,0
1303,975,49,0
1304,426,309,289
1305,1024,0,0
1306,978,46,0
1307,1024,0,0
1308,459,518,47
1309,706,144,174
1310,1016,0,8
1311,1024,0,0
1312,1024,0,0
1313,248,776,0
1314,1024,0,0
1315,622,227,175
1316,1024,0,0
1317,1024,0,0
1318,999,25,0
1319,71,953,0
1320,1024,0,0
1321,1024,0,0
1322,1024,0,0
1323,769,154,101
1324,1024,0,0
1325,1024,0,0
1326,1024,0,0
1327,229,795,0
1328,928,96,0
1329,896,128,0
1330,233,791,0
1331,923,101,0
1332,190,834,0
1333,255,769,0
1334,238,786,0
1335,228,796,0
1336,224,800,0
1337,142,882,0
1338,139,885,0
1339,202,822,0
1340,198,826,0
1341,18,1006,0
1342,1024,0,0
1343,1024,0,0
1344,1024,0,0
1345,1024,0,0
1346,1024,0,0
1347,1024,0,0
1348,1024,0,0
1349,1024,0,0
1350,928,96,0
1351,928,96,0
1352,905,119,0
1353,127,897,0
1354,162,862,0
1355,85,939,0
1356,129,895,0
1357,162,862,0
1358,926,98,0
1359,927,97,0
1360,257,767,0
1361,1024,0,0
1362,1024,0,0
1363,110,734,180
1364,1024,0,0
1365,996,28,0
1366,928,96,0
1367,927,97,0
1368,926,98,0
1369,927,97,0
1370,901,123,0
1371,864,160,0
1372,803,221,0
1373,867,157,0
1374,924,100,0
1375,985,39,0
1376,1024,0,0
1377,1024,0,0
1378,1024,0,0
1379,1024,0,0
1380,927,97,0
1381,1024,0,0
1382,1012,12,0
1383,1024,0,0
1384,1024,0,0
1385,928,96,0
1386,733,291,0
1387,589,435,0
1388,818,206,0
1389,744,280,0
1390,312,712,0
1391,1024,0,0
1392,1024,0,0
1393,37,923,64
1394,1024,0,0
1395,1024,0,0
1396,1024,0,0
1397,928,96,0
1398,968,56,0
1399,1000,24,0
1400,952,72,0
1401,1024,0,0
1402,928,96,0
1403,708,316,0
1404,677,347,0
1405,785,239,0
1406,889,131,4
1407,93,743,188
1408,1024,0,0
1409,1024,0,0
1410,1024,0,0
1411,1024,0,0
1412,1024,0,0
1413,1024,0,0
1414,1024,0,0
1415,1024,0,0
1416,1024,0,0
1417,1024,0,0
1418,654,370,0
1419,1000,24,0
1420,948,76,0
1421,976,48,0
1422,740,284,0
1423,716,308,0
1424,992,32,0
1425,668,318,38
1426,873,147,4
1427,646,378,0
1428,103,921,0
1429,88,901,35
1430,225,799,0
1431,423,601,0
1432,1024,0,0
1433,1024,0,0
1434,1024,0,0
1435,1024,0,0
1436,1024,0,0
1437,1024,0,0
1438,1024,0,0
1439,1024,0,0
1440,1024,0,0
1441,1024,0,0
1442,16,1008,0
1443,178,846,0
1444,253,769,2
1445,272,725,27
1446,76,948,0
1447,0,1024,0
1448,92,932,0
1449,87,910,27
1450,100,870,54
1451,80,944,0
1452,1024,0,0
1453,218,729,77
1454,425,599,0
1455,447,577,0
1456,1024,0,0
1457,1024,0,0
1458,1024,0,0
1459,1024,0,0
1460,1024,0,0
1461,1024,0,0
1462,1024,0,0
1463,1024,0,0
1464,1024,0,0
1465,1024,0,0
1466,1024,0,0
1467,1024,0,0
1468,1024,0,0
1469,1024,0,0
1470,376,532,116
1471,440,377,207
1472,480,368,176
1473,428,443,153
1474,332,367,325
1475,375,367,282
1476,411,532,81
1477,33,991,0
1478,251,773,0
1479,134,855,35
1480,1024,0,0
1481,525,428,71
1482,1024,0,0
1483,1024,0,0
1484,1024,0,0
1485,1024,0,0
1486,1024,0,0
1487,1024,0,0
1488,1024,0,0
1489,1024,0,0
1490,1024,0,0
1491,1024,0,0
1492,1024,0,0
1493,1024,0,0
1494,384,313,327
1495,0,163,861
1496,0,173,851
1497,0,110,914
1498,0,149,875
1499,0,122,902
1500,221,143,660
1501,261,759,4
1502,1024,0,0
1503,1024,0,0
1504,1024,0,0
1505,1024,0,0
1506,1024,0,0
1507,1024,0,0
1508,1024,0,0
1509,1024,0,0
1510,1024,0,0
1511,1024,0,0
1512,1024,0,0
1513,1024,0,0
1514,1024,0,0
1515,1024,0,0
1516,376,190,458
