Script #,Script File,Used As,Headers Using,Text Archives,Script Count,Function Count,Action Count,Message Refs,Item Refs,Trainer Refs,Flag Refs,Top Commands,Total Commands,File Exists
14,0014,Script File,MESPIRIT DEN; D11R0105,3; 144,2,4,0,,,,164; 364; 774,End(5); SetFlag(3); CompareVarValue(3); JumpIf(3); ReleaseAll(3); ClearFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),32,Y
15,0015,Script File,D HQ1 F4; D11R0106,53,10,27,9,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25,,,315; 316; 317; 318; 319; 320; 381; 613; 665; 666; 757,End(37); Message(26); JumpIf(25); CloseMessage(24); ReleaseAll(21); CompareVarValue(18); SetFlag(18); WaitButton(10); CheckFlag(10); Movement(9),305,Y
16,0016,Script File,D HQ1 F5,53,5,0,0,0; 1; 2; 3,,,,End(5); PlayFanfare(4); LockAll(4); FacePlayer(4); Message(4); WaitButton(4); CloseMessage(4); ReleaseAll(4),33,Y
17,0017,Script File,SWORD TRIO,55,3,0,0,0; 1,,,,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2),17,Y
18,0018,Script File,D HQ1 F6; MOLTEN CAVERN,56,11,11,0,,,,164,RemoveOW(31); End(22); CompareVarValue(19); JumpIf(19); ReleaseAll(11); PlayFanfare(9); LockAll(9); FacePlayer(9); PlayCry(9); SetFlag(9),184,Y
19,0019,Script File,HO-OH TWR F1,57,3,31,20,0; 1; 2; 3; 4; 5; 6,,,147; 261; 264; 278,End(30); CompareVarValue(25); JumpIf(22); Movement(22); Jump(16); WaitMovement(14); Message(11); CloseMessage(10); WalkSouth8(9); ReleaseAll(8),264,Y
20,0020,Script File,RADE F1 LIBRY,48,1,0,0,,,,,End(1),1,Y
21,0021,Script File,HO-OH TWR TOP,58,7,14,21,0; 1; 2; 3; 4; 5; 6; 7; 8,,,164; 261; 264; 266; 278; 417; 418; 572; 577; 578; 580; 741; 744,Movement(94); Delay2(40); End(37); WaitTime(31); WaitMovement(22); JumpIf(18); PlayFanfare(16); SetFlag(16); SetOWPosition(15); CompareVarValue(13),511,Y
22,0022,Script File,D17R1101,59,2,15,0,0; 1; 2; 3; 4; 5; 6; 7; 8; 9,,,2404; 393; 714,JumpIf(15); End(13); CompareVarValue(13); Message(10); CloseMessage(6); ClearFlag(5); SetFlag(5); WaitButton(5); ReleaseAll(5); Jump(4),120,Y
23,0023,Script File,D18R0101; BURNT TWR F1,60,4,4,4,0; 1; 2; 3; 4,,,454,End(10); CommonScript(7); Movement(6); Message(6); CloseMessage(6); ReleaseAll(6); WalkSouth8(6); WalkWest8(5); LockAll(4); WaitMovement(4),116,Y
24,0024,Script File,BURNT TWR F2,61,3,12,14,0; 1,,,164; 373; 455; 456; 457; 458; 459; 460; 478; 479; 480; 481; 583; 584; 782,SetFlag(23); End(21); Movement(19); WaitMovement(14); CompareVarValue(10); JumpIf(10); RemoveOW(9); ClearFlag(8); GetPlayerPosition(7); Jump(7),244,Y
25,0025,Script File,RADE F3 LIBRY,71,27,27,7,0; 1; 2; 4; 5; 6; 7; 8; 9; 42; 45; 48; 51; 54; 57; 60; 63; 66; 69; 72; 84; 85; 86; 87; 88; 89,,,2404; 2454; 270; 393; 638; 639; 648,End(50); JumpIf(37); CloseMessage(36); CompareVarValue(34); ReleaseAll(33); WaitButton(32); LockAll(29); Message(27); FacePlayer(23); PlayFanfare(22),562,Y
26,0026,Script File,HOTEL 2 F1; D22R0102,63,13,0,0,3; 6; 9; 12; 15; 18; 21; 24; 27; 30,,,,End(13); PlayFanfare(10); LockAll(10); Message(10); WaitButton(10); CloseMessage(10); ReleaseAll(10); SetTextBoard(3); ShowBoard(3); WaitBoard(3),88,Y
28,0028,Script File,SYDT 01 GV05,64,1,0,0,,,,,End(1),1,Y
29,0029,Script File,A HQ1 F1; -; D HQ1 F1,65,11,61,34,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33; 34; 35; 36; 38; 39; 40; 41; 42; 43; 44; 45,,,138; 2725; 2726; 440; 444; 445; 792,JumpIf(67); CompareVarValue(64); End(63); Message(52); Movement(48); Jump(43); CloseMessage(31); WaitMovement(27); ReleaseAll(24); FaceEast(19),765,Y
30,0030,Script File,A HQ1 F2; D HQ1 F2,66,11,44,12,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 14; 19; 22; 23; 26; 27; 28; 29; 32; 33; 34; 35; 36; 37; 38; 39,ITEM_BLUE_CARD,,258; 2723; 2742; 439; 440,JumpIf(80); CompareVarValue(74); CloseMessage(49); Message(43); End(40); Movement(35); WaitMovement(30); Jump(27); ReleaseAll(24); SetVar(21),607,Y
31,0031,Script File,A HQ1 F3; D HQ1 F3,67,8,12,2,0; 1; 2; 3; 4; 5; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16,,,143; 144; 439; 440; 447,End(18); Message(16); CloseMessage(15); ReleaseAll(14); WaitButton(13); JumpIf(10); CompareVarValue(8); PlayFanfare(7); LockAll(7); FacePlayer(7),143,Y
32,0032,Script File,A HQ1 F4; D HQ1 F4,68,9,14,2,0; 1; 2; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14,,,145; 439; 440,End(20); Message(17); CloseMessage(15); ReleaseAll(14); WaitButton(13); JumpIf(11); CompareVarValue(9); PlayFanfare(8); LockAll(8); FacePlayer(7),159,Y
33,0033,Script File,A HQ1 F5; D HQ1 F5,69,4,17,13,0; 1; 2; 3; 4; 5; 6; 7; 8,,,439; 567; 710; 711,End(22); CompareVarValue(19); JumpIf(19); Movement(17); Message(13); Jump(12); CloseMessage(11); FaceSouth(11); FaceEast(11); FaceWest(11),232,Y
34,0034,Script File,A HQ1 F6; D HQ1 F6,70,2,16,11,0; 1; 2; 5; 6; 7; 8; 9,,,147; 148; 198; 2429; 2456; 2459; 439; 440; 487; 512; 513; 710; 711,CompareVarValue(20); SetFlag(19); JumpIf(19); Movement(18); End(17); SetVar(16); WaitMovement(15); Message(14); ClearFlag(11); CloseMessage(10),257,Y
35,0035,Script File,VICTRY RD 1 1; VICTRY RD 1 2; VICTRY RD 1 3; VICTRY RD 1 4; VICTRY RD 1 5,102,1,8,2,0; 1; 2; 3,,,,CompareVarValue(7); JumpIf(7); End(7); Jump(4); Message(4); CloseMessage(4); SetVar(4); Movement(3); WaitMovement(3); GetElevatorFloor(2),69,Y
37,0037,Script File,GBR 01,72,2,20,0,,,,,CreateMultiTouchBox(30); CompareVarValue(30); JumpIf(30); FadeScreen(30); WaitFadeScreen(30); End(22); ReleaseAll(21); Warp(15); GetCommonMessageArchive(4); OpenTouchScreen(4),231,Y
38,0038,Script File,VICTRY RD 2 1,73,6,31,2,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24,,,271,JumpIf(36); CompareVarValue(35); Jump(35); Message(29); FaceWest(8); FaceNorth(8); FaceEast(8); FaceSouth(8); PlayFanfare(5); LockAll(5),210,Y
39,0039,Script File,VICTRY RD 2 2,74,5,13,3,0; 1; 3,,,2423; 273; 392; 539; 540; 565,End(17); FadeScreen(16); WaitFadeScreen(16); JumpIf(13); ReleaseAll(12); CompareVarValue(10); PlayFanfare(9); Movement(8); SetVar(7); Warp(7),176,Y
40,0040,Script File,VICTRY RD 2 3,74,3,16,9,,,,273,End(18); CompareVarValue(16); JumpIf(16); Movement(13); Jump(10); FadeScreen(10); WaitFadeScreen(10); SetInvisible(8); PlayFanfare(5); WaitMovement(5),146,Y
41,0041,Script File,VICTRY RD 2 4,75,4,12,3,1,,,2424; 273; 541; 542; 565,FadeScreen(16); WaitFadeScreen(16); End(15); JumpIf(12); ReleaseAll(10); CompareVarValue(10); PlayFanfare(8); Movement(8); SetVar(7); Warp(7),165,Y
42,0042,Script File,VICTRY RD 2 5,75,10,7,17,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10,,,272; 273; 565; 566; 731; 732; 733; 742; 743,End(31); Movement(20); PlayFanfare(12); WaitMovement(12); FadeScreen(12); WaitFadeScreen(12); Message(11); CloseMessage(11); SetVar(9); SetFlag(9),281,Y
43,0043,Script File,VICTRY RD 3 1; VICTRY RD 3 2,76,4,12,3,1,,,2425; 273; 543; 544; 565,FadeScreen(16); WaitFadeScreen(16); End(15); JumpIf(12); ReleaseAll(10); CompareVarValue(10); PlayFanfare(8); Movement(8); SetVar(7); Warp(7),160,Y
44,0044,Script File,VICTRY RD 4 1; VICTRY RD 4 2; VICTRY RD 4 3; VICTRY RD 4 4; VICTRY RD 4 5; VICTRY RD 4 6; VICTRY RD 4 7,77,3,16,9,,,,273,End(18); CompareVarValue(16); JumpIf(16); Movement(13); Jump(10); FadeScreen(10); WaitFadeScreen(10); SetInvisible(8); PlayFanfare(5); WaitMovement(5),147,Y
45,0045,Script File,RADE HQ #####,366,3,13,3,,,,2426; 273; 545; 546; 565,FadeScreen(16); WaitFadeScreen(16); End(14); JumpIf(12); CompareVarValue(11); ReleaseAll(9); PlayFanfare(8); Movement(8); SetVar(7); Warp(7),154,Y
48,0048,Script File,NAVEL WEST 03,79,3,4,0,,,,164; 778,End(6); SetFlag(3); JumpIf(3); ClearFlag(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),29,Y
49,0049,Script File,RT 20 AREA 1; RT 20 AREA 2; RT 20 AREA 3; RT 20 AREA 4; RT 20 AREA 5; RT 20 AREA 6; RT 20 AREA 7; RT 20 AREA 8; RT 20 AREA 9; RT 20 AREA 10; RT 20 AREA 11; RT 20 AREA 12; RT 20 AREA 13,80,2,9,6,0,,,,End(11); Movement(9); CompareVarValue(6); JumpIf(6); Jump(6); FadeScreen(6); WaitFadeScreen(6); SetInvisible(6); PlayFanfare(4); ReleaseAll(4),90,Y
51,0051,Script File,TROOME CAVE 1; TROOME CAVE 2; TROOME CAVE 3,82,2,9,6,0,,,,End(11); Movement(9); CompareVarValue(6); JumpIf(6); Jump(6); FadeScreen(6); WaitFadeScreen(6); SetInvisible(6); PlayFanfare(4); ReleaseAll(4),90,Y
52,0052,Script File,HOTEL 1 BS,83,2,9,6,0,,,,End(11); Movement(9); CompareVarValue(6); JumpIf(6); Jump(6); FadeScreen(6); WaitFadeScreen(6); SetInvisible(6); PlayFanfare(4); ReleaseAll(4),90,Y
53,0053,Script File,ICE PATH C2; D24R0216,52; 84,2,0,0,,,,,End(2),2,Y
54,0054,Script File,ICE PATH C3; D24R0217,52; 85,2,0,0,,,,,End(2),2,Y
55,0055,Script File,MANSION A6; D24R0218,86; 399,2,0,0,,,,,End(2),2,Y
56,0056,Script File,NAVEL WEST 01,87,1,0,0,,,,,End(1),1,Y
57,0057,Script File,NAVEL WEST 02,88,1,0,0,,,,,End(1),1,Y
58,0058,Script File,SUBTRN CAVE,89,3,5,0,,,,164; 2744; 778,End(7); SetFlag(5); JumpIf(4); ClearFlag(2); CompareVarValue(2); ReleaseAll(2); CheckFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1),35,Y
59,0059,Script File,WELL CAVE F1,90,3,9,5,0,,,393; 638,End(15); JumpIf(11); CompareVarValue(10); CloseMessage(7); GetCommonMessageArchive(7); MessageFromArchive(7); Movement(7); WaitButton(6); ReleaseAll(6); FadeScreen(6),152,Y
60,0060,Script File,WELL CAVE F2,91,3,4,3,0; 1; 2; 3; 4; 5,,,123; 414; 423; 424; 425; 426; 427; 428; 429; 469,SetVar(12); ClearFlag(10); End(9); SetFlag(9); Message(7); CloseMessage(7); PlayFanfare(6); ReleaseAll(6); FadeScreen(6); WaitFadeScreen(6),150,Y
61,0061,Script File,WELL CAVE F4,92,1,2,0,0; 2,,,122,CloseMessage(3); JumpIf(2); Message(2); SetVar(2); CommonScript(2); ReleaseAll(2); End(2); PlayFanfare(1); LockAll(1); FacePlayer(1),25,Y
62,0062,Script File,LIGHT H 01 F1,93,3,0,0,0; 1,,,,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); SetVar(1),18,Y
63,0063,Script File,LIGHT H 01 F3,3,2,1,1,,,,,End(4); PlayFanfare(2); Movement(1); WaitTime(1); UnvanishOverworld(1); WaitMovement(1); ShakeCamera(1); SetVar(1); CompareVarValue(1); JumpIf(1),16,Y
64,0064,Script File,LIGHT H 01 F5,3,1,2,2,,,,,FadeScreen(4); WaitFadeScreen(4); End(4); Movement(3); WaitMovement(2); PlayFanfare(2); Warp(2); ReleaseAll(2); WalkEast4(2); SetInvisible(2),34,Y
65,0065,Script File,LIGHT H 01 F6,3,2,7,4,,,,393; 638,End(12); JumpIf(8); GetCommonMessageArchive(7); MessageFromArchive(7); CompareVarValue(7); CloseMessage(6); FadeScreen(6); WaitFadeScreen(6); Movement(5); ClearFlag(5),126,Y
66,0066,Script File,LIGHT H 01 F7,94,5,6,8,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12,ITEM_SECRET_MEDICINE,,185; 2410; 2456; 471; 472; 473; 474; 475; 476; 477,End(18); Message(13); CloseMessage(10); Movement(10); WaitMovement(8); ReleaseAll(6); SetFlag(6); JumpIf(5); PlayCry(5); WaitCry(5),163,Y
67,0067,Script File,LIGHT H 01 EL,95,1,8,2,0; 1; 2; 3,,,,CompareVarValue(7); JumpIf(7); End(7); Jump(4); Message(4); CloseMessage(4); SetVar(4); Movement(3); WaitMovement(3); GetElevatorFloor(2),69,Y
77,0077,Script File,D32FS0101,101,4,0,0,0; 1,,,,PlayFanfare(4); LockAll(4); FacePlayer(4); CommonScript(4); ReleaseAll(4); End(4); FreezeMessage(2); SetVar(2); Message(2); WaitButton(2),34,Y
78,0078,Script File,D32PC0101,102,5,0,0,0; 1; 2,,,,End(5); PlayFanfare(3); LockAll(3); FacePlayer(3); Message(3); WaitButton(3); CloseMessage(3); ReleaseAll(3); SetVar(2); CommonScript(1),29,Y
79,0079,Script File,D32PC0102,3,1,0,0,,,,,End(1),1,Y
82,0082,Script File,WILD AREA,105,4,0,0,,,,,End(4); PlayFanfare(3); LockAll(3); FacePlayer(3); CommonScript(3); ReleaseAll(3),19,Y
92,0092,Script File,SYD FOREST 01; SYD FOREST 02; SYD FOREST 03; SYD FOREST 04; SYD FOREST 05; SYD FOREST 06; SYD FOREST 07; SYD FOREST 08,115,23,183,90,0; 1; 2; 3; 4; 6; 8; 10; 11; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 28; 29; 30; 31; 32; 33; 34; 35; 36; 37; 38; 39; 40; 42; 43; 44; 45; 46; 47; 48; 49; 50; 51; 52; 53; 54; 55,,,123; 125; 126; 128; 198; 293; 294; 393; 423; 424; 428; 429; 430; 431; 467; 468; 573; 638; 667; 668; 769; 770; 784,End(176); JumpIf(166); CompareVarValue(151); Movement(145); SetVar(123); Jump(110); WaitMovement(110); Message(91); ReleaseAll(78); CloseMessage(76),2172,Y
95,0095,Script File,DEPART 1 B1,118,4,16,3,0; 1; 2,,,150; 151; 152,SetOWPosition(60); End(16); Movement(15); JumpIf(14); CheckFlag(10); VanishOverworld(9); Jump(7); PlayFanfare(5); LockAll(5); Message(5),182,Y
98,0098,Script File,REGIDRACO DEN,121,1,6,0,0; 1; 2; 3; 4; 5,,,268; 269,Message(9); JumpIf(5); CloseMessage(5); CompareVarValue(4); ReleaseAll(4); End(4); SetFlag(3); WaitButton(3); CheckFlag(2); GetPartyCount(2),64,Y
99,0099,Script File,LOBART CAVERN,122,5,16,14,1; 2; 3; 4; 5; 6; 7,,,1111; 393; 569; 638,End(31); Movement(20); JumpIf(18); CompareVarValue(15); CloseMessage(14); ReleaseAll(12); WaitMovement(11); Message(10); WaitButton(9); WalkNorth8(8),280,Y
100,0100,Script File,SANDSTONE COV,3,11,11,0,,,,164,RemoveOW(31); End(22); CompareVarValue(19); JumpIf(19); ReleaseAll(11); PlayFanfare(9); LockAll(9); FacePlayer(9); PlayCry(9); WaitCry(9),185,Y
101,0101,Script File,FLORAL FISURE,123,11,11,0,,,,164,RemoveOW(31); End(22); CompareVarValue(19); JumpIf(19); ReleaseAll(11); PlayFanfare(9); LockAll(9); FacePlayer(9); PlayCry(9); WaitCry(9),185,Y
102,0102,Script File,SHREDSNOW TMP; REGIGIGAS TMP,54,1,0,0,,,,,End(1),1,Y
103,0103,Script File,NAVEL WEST 05; SPARK ROAR C,124,4,11,2,0; 1; 2; 3; 4; 5; 6; 7,,,148; 261; 262; 265; 279,End(16); JumpIf(12); Message(9); CloseMessage(9); CheckFlag(8); ReleaseAll(8); WaitButton(7); CompareVarValue(4); SetVar(4); WaitTime(3),102,Y
104,0104,Script File,LUGIA DEN 01,125,7,14,21,0; 1; 2; 3; 4; 5; 6; 7; 8,,,164; 2458; 261; 265; 267; 279; 417; 418; 572; 577; 579; 581; 741; 744,Movement(149); WaitTime(40); Delay2(40); End(37); WaitMovement(33); JumpIf(23); SetOWPosition(20); PlayFanfare(18); SetFlag(17); CompareVarValue(15),628,Y
106,0106,Script File,D41R0105,3,2,4,0,,,,164; 365; 775,End(5); SetFlag(3); CompareVarValue(3); JumpIf(3); ReleaseAll(3); ClearFlag(2); PlayFanfare(1); LockAll(1); FacePlayer(1); PlayCry(1),32,Y
107,0107,Script File,D41R0108,126,1,5,0,0; 1,,,607; 766; 767; 768,JumpIf(6); CompareVarValue(4); FadeScreen(4); WaitFadeScreen(4); Return(4); SetVar(3); ClearFlag(3); IncrementVar(3); CompareVars(3); Message(2),61,Y
108,0108,Script File,NAVEL EAST 01,127,1,2,0,0; 2; 3,,,223,Message(4); WaitButton(3); CloseMessage(3); ReleaseAll(3); End(3); JumpIf(2); SetVar(2); PlayFanfare(1); LockAll(1); FacePlayer(1),28,Y
109,0109,Script File,RELIC RUIN F3; RELIC RUIN F2; RELIC RUIN F1,588,2,1,1,,,,,End(4); PlayFanfare(2); Movement(1); UnvanishOverworld(1); WaitMovement(1); ShakeCamera(1); SetVar(1); CompareVarValue(1); JumpIf(1); VanishOverworld(1),15,Y
111,0111,Script File,REGIELECT DEN,129,6,42,27,0; 1; 3; 4; 5; 7; 8; 9; 10; 11; 12; 13; 14; 17; 18; 19; 22; 23; 24; 27; 28; 29; 30; 31; 32; 33,,,218; 226; 393; 521; 527,Movement(55); End(49); JumpIf(40); Message(40); CompareVarValue(39); WaitMovement(27); Jump(24); CloseMessage(22); TextPlayerName(14); SetVar(14),564,Y
112,0112,Script File,DRAGON DEN 02,130,6,30,22,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 24; 25; 26; 27; 28; 29; 30; 32,,,218; 219; 220; 221; 234; 2456; 393; 422; 521; 638; 741,Message(122); Movement(90); WaitMovement(61); CreateMultiTouchBox(60); JumpIf(51); CompareVarValue(43); End(41); CloseMessage(35); SetVar(30); OpenTouchScreen(23),933,Y
116,0116,Script File,MANSION A5,133,17,13,6,2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16,,,393; 638,End(30); ReleaseAll(20); CloseMessage(19); LockAll(18); WaitButton(18); PlayFanfare(15); FacePlayer(15); Message(15); JumpIf(13); CompareVarValue(12),292,Y
117,0117,Script File,D47PC0101,134,3,0,0,0; 1,,,,End(3); PlayFanfare(2); LockAll(2); FacePlayer(2); Message(2); WaitButton(2); CloseMessage(2); ReleaseAll(2); SetVar(1); CommonScript(1),19,Y
118,0118,Script File,D47PC0102,3,1,0,0,,,,,End(1),1,Y
120,0120,Script File,HOTEL 1 F3,502,1,0,0,,,,,End(1),1,Y
121,0121,Script File,MANSION A4,136,7,15,9,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11,,,245; 718,End(24); Message(15); JumpIf(14); CloseMessage(14); Movement(13); CompareVarValue(12); ReleaseAll(10); WaitButton(8); WaitMovement(8); Jump(7),184,Y
123,0123,Script File,SEWER ROOM 04,138,24,87,16,48; 49; 50; 51; 52; 53; 54; 55; 56; 57; 58; 60; 61; 62; 63; 64; 65; 66; 67; 68; 69; 70; 71; 72; 73; 74; 75; 76; 77; 80; 81; 82; 83; 84; 85; 86; 87; 88; 89; 90; 91; 92; 93; 98; 99; 101; 103; 104; 105; 106; 107; 108; 109; 110; 111; 112; 113; 114,,,2515; 276; 277; 338; 339; 551,CompareVarValue(87); JumpIf(85); Message(72); Jump(60); End(55); CloseMessage(41); ReleaseAll(36); CreateMultiTouchBox(31); WaitButton(30); PlayFanfare(26),856,Y
129,0129,Script File,VOLTIC CAVE 1; VOLTIC CAVE 2; VOLTIC CAVE 3; VOLTIC CAVE 5; VOLTIC CAVE 6,144,2,1,0,0,,,,SetOWPosition(6); End(3); PlayFanfare(1); LockAll(1); FacePlayer(1); Message(1); WaitButton(1); CloseMessage(1); ReleaseAll(1); NationalDex(1),19,Y
130,0130,Script File,D51R0101,145,4,1,6,0; 1; 2,,,731,End(11); Movement(6); WaitMovement(6); Message(3); CloseMessage(3); WalkNorth8(3); LockAll(2); SetOWPosition(2); SetVar(2); ReleaseAll(2),69,Y
131,0131,Script File,D51R0201,146,8,73,45,0; 2; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 24; 25; 26; 27; 28; 29; 30; 31; 32; 33,,,743,CompareVarValue(80); JumpIf(78); Movement(75); End(63); Jump(58); Message(43); WaitMovement(39); CloseMessage(37); SetVar(28); FadeScreen(28),869,Y
132,0132,Script File,D51R0301,147,4,14,16,0; 1; 2; 3; 4; 7; 8; 9; 10; 11; 12; 13,,,157; 158; 731; 732; 733,End(26); Message(18); CloseMessage(17); Movement(17); WaitMovement(17); JumpIf(11); ReleaseAll(10); CompareVarValue(9); Jump(8); PlayFanfare(7),250,Y
133,0133,Script File,GROUDON DEN; D52R0101,148,3,11,7,0; 1; 2; 3; 4,ITEM_RED_ORB,,164; 377; 395; 719; 720; 723,End(17); SetFlag(12); Movement(10); WaitMovement(10); Message(9); CloseMessage(9); JumpIf(9); CompareVarValue(7); ReleaseAll(5); ClearFlag(4),139,Y
134,0134,Script File,KYOGRE DEN,149,3,11,7,0; 1; 2; 3; 4,ITEM_BLUE_ORB,,164; 378; 395; 719; 721; 724,End(17); SetFlag(12); Movement(10); WaitMovement(10); Message(9); CloseMessage(9); JumpIf(9); CompareVarValue(7); ReleaseAll(5); ClearFlag(4),139,Y
135,0135,Script File,SKY PILLAR 02,150,4,5,1,0; 1,,,164; 379; 722,End(10); JumpIf(5); ReleaseAll(5); Message(4); CloseMessage(4); CompareVarValue(4); SetVar(4); LockFollowingPoke(4); WaitFollowingPoke(4); SetFollowingPokeMovement(4),83,Y
137,0137,Script File,DIRECT2,3,1,0,0,,,,,EnterBattleRoom(1); End(1),2,Y
138,0138,Script File,DIRECT4,3,1,0,0,,,,,EnterBattleRoom(1); End(1),2,Y
139,0139,Script File,EVERYWHERE; NOTHING; UG; D24; LUGIA DEN 02; HO-OH TWR F2; MELT 10 HS12; DANB 08 HS15; SYDT TWR F1; SYDT TWR F2; SYDT TWR F3; SYDT TWR F4; SYDT TWR F5; SYDT TWR F6; LIGHT H 01 F2; LIGHT H 01 F4; D11R0107; D41R0102; D41R0103; D41R0104; D41R0106; D41R0107; R05R0101; R06R0101; D40R0106; D22R0103; R00; TEST1; NEWMAP,3,1,0,0,,,,,End(1),1,Y
147,0147,Script File,MANSION A9; HIROBA,212,1,0,0,,,,,End(1),1,Y
152,0152,Script File,SYDT DOCK 01,255,5,15,14,0; 1; 2; 3; 4; 5; 6; 7; 8; 11; 12; 13; 14; 15,ITEM_SS_TICKET,,235; 2404; 554; 555; 556; 593; 691,End(26); Movement(17); WaitMovement(16); Message(14); CloseMessage(14); JumpIf(12); CompareVarValue(12); ReleaseAll(10); LockFollowingPoke(8); WaitFollowingPoke(8),252,Y
153,0153,Script File,SYDT DOCK 02,256,7,17,9,0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13,,,146; 235; 393; 713,End(28); JumpIf(19); CompareVarValue(17); Message(14); Movement(11); ReleaseAll(11); CloseMessage(10); WaitMovement(9); PlayFanfare(7); WaitButton(7),232,Y
156,0156,Script File,BOAT 01,259,9,17,8,0; 1; 2; 3; 5; 6; 7; 8; 9; 10,,,235; 533,End(27); JumpIf(13); Movement(13); ReleaseAll(12); Message(11); CloseMessage(11); CompareVarValue(10); WaitMovement(10); Jump(7); WaitButton(7),196,Y
157,0157,Script File,BOAT 02,260,3,26,2,0; 4; 5; 6; 7; 8,,,146; 2747; 535,SetVar(36); JumpIf(25); CompareVarValue(23); Jump(18); End(13); CloseMessage(11); ReleaseAll(9); Message(7); SetFlag(7); WaitButton(5),195,Y
