,Decomp Names,DSPRE Names,Parameters,Function
005B,chatot_stop_recording,StopChatotCry,,Stops recording Chatot custom sound 
005C,chatot_save_recording,SaveChatotCry,,??? 
005D,scrcmd_093,CMD_93,,??? 
005E,apply_movement,Movement,Flex: Event ID; u32: Relative Jump,Applies movement at Relative Jump to Event ID 
005F,wait_movement,WaitMovement,,Waits for all movements to finish 
0060,lockall,LockAll,,Locks every event in the map 
0061,releaseall,ReleaseAll,,Releases every event in the map 
0062,lock,Lock,u16: Event ID,Locks Event ID 
0063,release,Release,u16: Event ID,Releases Event ID 
0064,show_person,AddOW,Flex: Event ID,Add Event ID overworld in the map 
0065,hide_person,RemoveOW,Flex: Event ID,Removes Event ID overworld from the map 
0066,scrcmd_102,LockCamera,Flex: X; Flex: Y,Locks the camera at position X and Y 
0067,scrcmd_103,ReleaseCamera,,Releases the camera 
0068,faceplayer,FacePlayer,,Makes the invoking event look at the player 
0069,get_player_coords,GetPlayerPosition,Var: X; Var: Y,Saves the current player position in X and Y 
006A,get_person_coords,GetOWPosition,Flex: Event ID; Var: X; Var: Y,Saves the current Event ID position in X and Y 
006B,scrcmd_107,SetFollowingOverworld,Flex: X; Flex: Z; Flex: Y,??? 
006C,scrcmd_108,KeepOverworld,Flex: Event ID; u8: Value,"If Value is 1, prevents Event ID from disappearing when entering on a new map header "
006D,scrcmd_109,SetOWMovement,Flex: Event ID; u16: Movement,Changes the Event ID's movement number to Movement 
006E,addmoney,GiveMoney,u16: Money,Adds Money to the player's money 
006F,submoneyimmediate,TakeMoney,u32: Money,Subtracts Money from the player's money 
0070,hasenoughmoneyimmediate,CompareMoney,Var: Variable; u32: Money,Stores 1 into Variable if the player has Money or more money. Stores 0 otherwise. 
0071,show_money_box,ShowMoney,Flex: X; Flex: Y,Shows the money box at X and Y coordinates of the screen 
0072,hide_money_box,HideMoney,,Hides the money box 
0073,update_money_box,UpdateMoney,,Updates the current money in the money box 
0074,scrcmd_116,ShowSpecialCurrency,u8: Currency; Flex: X Coord; Flex: Y Coord,Shows the Currency box at X and Y coordinates of the screen. 
0075,scrcmd_117,HideSpecialCurrency,,Hides the currently displayed special currency box. 
0076,scrcmd_118,UpdateSpecialCurrency,u16: Currency,Updates the current Currency in the currency box. 
0077,get_coin_amount,GetCoins,Var: Variable,Stores the current casino coin amount in Variable 
0078,give_coins,GiveCoins,Flex: Coins,Adds Coins to the player's casino coins 
0079,take_coins,TakeCoins,Flex: Coins,Subtracts Coins from the player's casino coins 
007A,give_athlete_points,GiveAthletePoints,Flex: Amount,Adds the given Amount to the player's Athlete Points 
007B,take_athlete_points,TakeAthletePoints,Flex: Amount,Subtracts the given Amount from the player's Athlete Points 
007C,check_athlete_points,CompareAthletePoints,Var: Result; Flex: Amount,Stores 1 into Variable if the player has the given Amount of Athlete Points or more. Stores 0 otherwise. 
007D,giveitem,GiveItem,Flex: Item; Flex: Amount; Var: Variable,"Adds Amount of Item item, stores 1 in Variable if the player had less than 1000 - Amount (100 - Amount if TM/HM), stores 0 otherwise "
007E,takeitem,TakeItem,Flex: Item; Flex: Amount; Var: Variable,"Subs Amount of Item item, stores 1 in Variable if the player had at least Amount items in the bag, stores 0 otherwise "
007F,hasspaceforitem,CheckItemSpace,Flex: Item; Flex: Amount; Var: Variable,"Stores 1 in Variable if the player has less than 1000 - Amount of Item items (100 - Amount if TM/HM), stores 0 otherwise "
0080,hasitem,CheckItem,Flex: Item; Flex: Amount; Var: Variable,"Stores 1 in Variable if the player has at least Amount of Item items in the bag, stores 0 otherwise "
0081,itemistmorhm,CheckItemIsMachine,Flex: Item; Var: Variable,"Stores 1 in Variable if Item is TM or HM, stores 0 otherwise "
0082,getitempocket,GetItemPocket,Flex: Item; Var: Variable,Stores the bag pocket of Item in Variable 
0083,set_starter_choice,SetStarter,Flex: Pokémon,Stores Pokémon as the starting Pokémon in the game save data 
0084,gender_msgbox,GenderMessage,u8: Male Text; u8: Female Text,Displays Male Text or Female Text message depending on player's gender 
0085,get_seal_quantity,CheckSeals,Flex: Seal ID; Var: Number of Seals in Seal Case,Checks the number of a certain type of Ball Seals that the player has. The Variable is the output of how many Seals you have. 
0086,give_or_take_seal,GiveSeals,Flex: Seal ID; Flex: Number of Seals to be Given,Gives the player Ball Seals. 
0087,give_random_seal,GiveRandomSeals,Var: Random Seal ID 1; Var: Random Seal ID 2; Var: Random Seal ID 3,Generates three random types of Ball Seals and gives them to the player (repeats are possible). Each Variable will yield a 0 if the player has no more room for the Seal(s) in the Seal Case. 
0088,scrcmd_136,CheckPokemonForm,Flex: Party Position; Var: Variable,Checks the form of the Pokemon in party slot Party Position and returns the form ID in Variable. 
0089,give_mon,GivePokemon,Flex: Pokémon; Flex: Level; Flex: Item; Flex: Form; Flex: Ability; Var: Variable,"Gives Pokémon at level Level, store 1 in Variable if succeed and 0 otherwise "
008A,give_egg,GivePokemonEgg,Flex: Pokémon; Flex: Location,Gives a Pokémon egg received from Location text slot at text bank #281 
008B,set_mon_move,ReplaceMove,Flex: Party Slot; Flex: Move Slot; u16: Move ID,Overwrites Move Slot of the Pokémon at the specified Party Slot with Move ID. 
008C,mon_has_move,CheckPokemonHasMove,Var: Variable; Flex: Move ID; Flex: Party Slot,"Checks if a Pokémon at the specified Party Slot knows a move with given Move ID. Stores 1 into Variable if yes, 0 otherwise. "
008D,get_party_slot_with_move,CheckMoveInParty,Var: Variable; Flex: Move ID,"Checks if any Pokémon in the party knows Move ID move, stores in Variable the position of the first Pokémon that knows it or stores 6 if no Pokémon in the party knows the move "
008E,get_phone_book_rematch,CheckPokeGearRematch,Flex: Phone Number; Var: Variable,"Stores 1 in Var if rematch is active, stores 0 otherwise. "
008F,name_rival,ChooseRivalName,Var: Variable,"Opens the keyboard for naming the rival, stores 1 in Variable if user cancels the proccess "
0090,get_friend_sprite,GetCounterpartSprite,Var: Variable,Stores 97 (Lyra sprite ID) into the Variable if you're playing as Ethan; Stores 0 (Ethan sprite ID) into the Variable if you're playing as Lyra. 
0091,register_pokegear_card,UpgradePokegear,u8: Module,"Adds the worldmap to the Pokegear if Module is 1, adds the radio if Module is 2 "
0092,register_gear_number,RecordPokegearNumber,Flex: ???,
0093,check_registered_phone_number,CheckPokegearNumberRegistered,Flex: Phone Number; Var: Variable,"Stores 0 into Variable if Phone Number has not been registered, and 1 if it has been registered. "
0094,scrcmd_148,CMD_148,,
0095,scrcmd_149,CMD_149,,
0096,restore_overworld,ReturnScreen,,Restores the normal overworld screen 
0097,scrcmd_151,CMD_151,,
0098,scrcmd_152,CMD_152,,
0099,scrcmd_153,DressPokemon,,
009A,scrcmd_154,ContestDressupScreen,,
009B,scrcmd_155,DressUpArtworkScreen,,
009C,scrcmd_156,SealCapsuleScreen,,
009D,town_map,WorldMapScreen,,Opens the worldmap screen 
009E,scrcmd_158,PCBoxScreen,,
009F,scrcmd_159,DrawScreenUnion,,
00A0,scrcmd_160,TrainerCaseUnion,,
00A1,scrcmd_161,TradeScreenUnion,,
00A2,scrcmd_162,RecordMixingUnion,,
00A3,hof_credits,EndGameScreen,u16: Location,"If Location is 0, Hall of Fame and Credits sequence plays -- used for Indigo Plateau. If Location is 1, only the Credits sequence plays -- used for Mt. Silver battle against Red "
00A4,scrcmd_164,HallOfFameData,,
00A5,scrcmd_165,StoreGTSStatus,???,
00A6,scrcmd_166,InitWFC,???,
00A7,choose_starter,StarterSelectionScreen,,Opens the starter Pokémon selection screen 
00A8,get_trainer_path_to_player,GetTrainerPathToPlayer,Flex: ???,
00A9,trainer_step_towards_player,TrainerStepTowardsPlayer,Flex: ???; Var: Variable,
00AA,get_trainer_eye_type,GetTrainerEyeType,Var: Variable,
00AB,get_eye_trainer_num,GetEyeTrainerNum,Flex: ???; Var: Variable,
00AC,name_player,ChoosePlayerName,Var: Variable,"Opens the keyboard for naming the player, stores 1 in Variable if user cancels the proccess "
00AD,nickname_input,ChoosePokemonNickname,Flex: Party Position; Var: Variable,"Opens the keyboard for naming a Pokémon in Party Position, stores 1 in Variable if user cancels the proccess "
00AE,fade_screen,FadeScreen,u16: Frame Count; u16: Duration; u16: Fade Style; u16: Color,"Fades screen to chosen 15-bit Color, using the chosen Fade Style. The transition will render Frame Count images, of Duration length each. "
00AF,wait_fade,WaitFadeScreen,,Waits for the screen fade to end 
00B0,warp,Warp,Flex: Map; u16: Door; Flex: X; Flex: Y; Flex: Dir,"Warps to X and Y position of Map header with initial Dir direction, using Door warp "
00B1,rock_climb,RockClimbAnimation,Flex: Party Position,Uses rock climb with the Pokémon at Party Position position 
00B2,surf,SurfAnimation,Flex: Party Position,Uses surf with the Pokémon at Party Position position 
00B3,waterfall,WaterfallAnimation,Flex: Party Position,Uses waterfall with the Pokémon at Party Position position 
00B4,scrcmd_180,FlyAnimation,u16: Map; Flex: X; Flex: Y,"Flies to Map header map, to coordinates X and Y "
00B5,flash_effect,FlashAnimation,,Sets weather to 12 (darkness after flash) and then updates the weather graphics 
00B6,whirlpool,WhirlpoolAnimation,Flex: Party Position,Uses whirlpool with the Pokémon at Party Position position 
00B7,scrcmd_183,CutAnimation,Flex: Party Position,Displays the Hidden Machine summon animation with the Pokémon at Party Position position 
00B8,player_on_bike_check,CheckBike,Var: Variable,"Stores 1 in Variable if player is riding the bike, stores 0 otherwise "
00B9,player_on_bike_set,RideBike,u8: Action,"Changes player form from normal to riding the bike if Action is 1, otherwise it sets the normal form to the player "
00BA,set_bike_state_lock,CyclingRoad,u8: Action,"If Action is 1, the game sets the cycling road flag and moves the player down. Otherwise the flag is deactivated. "
00BB,get_player_state,CheckPlayerForm,Var: Variable,Stores in Variable the current player form 
00BC,set_avatar_bits,SetPlayerForm,u16: Form,Activates the Form bit in the internal player form data 
00BD,update_avatar_state,UpdatePlayerForm,,Updates changes in the internal player form data in the screen 
00BE,buffer_players_name,TextPlayerName,u8: String Buffer,Stores player's name in String Buffer 
00BF,buffer_rivals_name,TextRivalName,u8: String Buffer,Stores rival's name in String Buffer 
00C0,buffer_friends_name,TextCounterpart,u8: String Buffer,Stores counterpart's name in String Buffer 
00C1,buffer_mon_species_name,TextPartyPokemon,u8: String Buffer; Flex: Party Position,Stores the name of the Pokémon in Party Position in String Buffer 
00C2,buffer_item_name,TextItem,u8: String Buffer; Flex: Item,Stores Item's name in String Buffer 
00C3,buffer_pocket_name,TextPocket,u8: String Buffer; Flex: Pocket,Stores Pocket's name in String Buffer 
00C4,buffer_tmhm_move_name,TextAttackItem,u8: String Buffer; Flex: Item,Stores the name of the move contained in Item TM/HM in String Buffer 
00C5,buffer_move_name,TextMove,u8: String Buffer; Flex: Move,Stores battle Move's name in String Buffer 
00C6,buffer_int,TextNumber,u8: String Buffer; Flex: Number,Stores a Number in String Buffer 
00C7,bufferpartymonnick,TextPokeNickname,u8: String Buffer; Flex: Party Position,Stores the nickname of the Pokémon in Party Position in String Buffer 
00C8,buffer_trainer_class_name,CMD_200,,
00C9,buffer_player_union_avatar_class_name,TextPlayerTrainerType,u8: String Buffer,Stores player's Union Room trainer type in String Buffer 
00CA,buffer_species_name,TextPokemon,u8: String Buffer; Flex: Pokémon; u16: Unused; u8: Unused,Stores Pokémon's name in String Buffer 
00CB,buffer_starter_species_name,TextStarterPokemon,u8: String Buffer,Stores the name of the player' starter Pokémon in String Buffer 
00CC,buffer_dppt_rival_starter_species_name,TextRivalStarter,u8: String Buffer,Stores the name of the rival' starter Pokémon in String Buffer 
00CD,buffer_dppt_friend_starter_species_name,TextCounterpartStarter,u8: String Buffer,Stores the name of the counterpart' starter Pokémon in String Buffer 
00CE,get_starter_choice,CheckStarter,Var: Variable,Stores the starter Pokémon ID in Variable 
00CF,buffer_decoration_name,DummyTextGoods,u8: String Buffer; Flex: Unused,Loads an empty string in String Buffer 
00D0,scrcmd_208,DummyTextTrap,u8: Unused; Flex: Unused,Nothing 
00D1,scrcmd_209,DummyTextTreasure,u8: Unused; Flex: Unused,Nothing 
00D2,buffer_map_sec_name,TextMapName,u8: String Buffer; Flex: Map,Stores Map header name in String Buffer 
00D3,scrcmd_211,GetSwarmInfo,Var: Map; Var: Pokémon,"Selects a zone depending on a random seed, then stores the zone ID in Map and the corresponding swarm Pokémon of that zone in Pokémon "
00D4,get_trainer_num,TrainerID,Var: Variable,Stores the trainer ID number in Variable depending on the script ID 
00D5,trainer_battle,TrainerBattle,Flex: Trainer 1; Flex: Trainer 2; u8: Result; u8: ???,"Starts a battle against Trainer 1 and, if Trainer 2 is neither 0 nor the same as Trainer 1, a double battle against both. Continues without warping to Pokemon Center/home if Result is equal to 1. "
00D6,trainer_message,TrainerMessage,Flex: Trainer ID; Flex: Type,Displays the text of Trainer ID trainer at condition Type 
00D7,get_trainer_msg_params,TrainerMsgCheck,Var: Noticing; Var: Defeat; Var: One Pokémon,"If the script ID corresponds to a single battle trainer, stores 0 in Noticing, 2 in Defeat and 0 in One Pokémon. If it corresponds to a double battle, stores 3, 5 and 6 or 7, 9 and 10 depending on whether it's the first or the second trainer "
00D8,get_rematch_msg_params,TrainerRematchMsgCheck,Var: Noticing; Var: Defeat; Var: One Pokémon,"If the script ID corresponds to a single battle trainer, stores 17 in Noticing, 0 in Defeat and 0 in One Pokémon. If it corresponds to a double battle, stores 18, 0 and 6 or 19, 0 and 10 depending on whether it's the first or the second trainer "
00D9,trainer_is_double_battle,TrainerTypeCheck,Var: Variable,"Stores 0 in Variable if the script ID corresponds to a single battle, stores 1 if it corresponds to a double battle "
00DA,encounter_music,TrainerMusic,Flex: Trainer ID,Plays Trainer's overworld music 
00DB,white_out,LostBattle,,Return to Pokémon Center or player's house after being defeated 
00DC,check_battle_won,CheckBattleIsLost,Var: Variable,"Stores 0 in Variable if player has been defeated in battle, stores 1 otherwise "
00DD,static_wild_won_or_caught,CheckDefeatedPokemon,Var: Variable; u8: ???,"Stores 0 in Variable if player defeated or catched the wild Pokemon, stores 1 otherwise "
00DE,party_check_for_double,Check2vs2,Var: Variable,"Stores 1 in Variable if player has at least 2 not fainted Pokémon, stores 0 otherwise "
00DF,scrcmd_223,DummyTrainerBattle,,Starts a battle against trainer with ID 1 
00E0,scrcmd_224,DummyTrainerFlag,,Sets the trainer flag with the same ID as the invoking event 
00E1,goto_if_trainer_defeated,DummyTrainerFlagJump,u32: Relative Jump,"Jumps to a function, Relative Jump bytes forward or backward, if trainer flag with the invoking event ID is set "
00E2,scrcmd_226,CMD_226,,
00E3,scrcmd_227,CMD_227,,
00E4,scrcmd_228,CMD_228,,
00E5,scrcmd_229,CMD_229,,
00E6,scrcmd_230,CMD_230,,
00E7,scrcmd_231,CMD_231,,
00E8,scrcmd_232,CMD_232,,
00E9,scrcmd_233,CMD_233,,
00EA,scrcmd_234,CMD_234,,
00EB,scrcmd_235,CMD_235,,
00EC,scrcmd_236,CMD_236,,
00ED,scrcmd_237,CMD_237,,
00EE,party_has_pokerus,CheckPokerus,Var: Variable,Stores 1 in Variable if one or more Pokémon in the party are infected with the Pokérus 
00EF,mon_get_gender,GetPokemonGender,Flex: Party Position; Var: Variable,"Stores 0 in Variable if Pokémon at Party Position is male, 1 if is female and 2 if gender is unknown "
00F0,set_dynamic_warp,SetElevatorWarp,Var: Variable,
00F1,get_dynamic_warp_floor_no,GetElevatorFloor,Var: Variable,Stores in Variable the current floor in a elevator 
00F2,elevator_cur_floor_box,ElevatorBox,u8: X; u8: Y; Var: Variable; Flex: Floor,Shows the current floor number in a box at X and Y coordinates in the screen 
00F3,count_johto_dex_seen,CountJohtoDexSeen,Var: Variable,Stores in Variable the total seen Pokemon in the Johto Pokédex 
00F4,count_johto_dex_owned,CountJohtoDexObtained,Var: Variable,Stores in Variable the total obtained Pokemon in the Johto Pokédex 
00F5,count_national_dex_seen,CountNationalDexSeen,Var: Variable,Stores in Variable the total seen Pokemon in the National Pokédex 
00F6,count_national_dex_owned,CountNationalDexObtained,Var: Variable,Stores in Variable the total obtained Pokemon in the National Pokédex 
00F7,scrcmd_247,DummyNationalDexCheck,,Nothing 
00F8,get_dex_eval_result,GetDexProgressMsg,u8: Mode; Var: Message; Var: Unknown,"Checks the number of seen Pokémon in the Johto Pokédex (if Mode is 0) or the number of obtained Pokémon in the National Pokédex (otherwise) and stores the corresponding Professor message in Message, also storing 0x4AA in Unknown "
00F9,rocket_trap_battle,WildBattle,Flex: Pokémon; Flex: Level,Starts a wild battle against a Pokémon of level Level 
00FA,scrcmd_250,WildBattleNoButtons,Flex: Pokémon; Flex: Level,Starts a first wild battle against a Pokémon of level Level 
00FB,catching_tutorial,CatchTutorial,,Starts the catch tutorial battle 
00FC,scrcmd_252,CMD_252,,
00FD,get_save_file_state,CheckSaveGame,Var: Variable,"Stores 0 in Variable if a different savegame exists and it's not possible to save, stores 1 if no previous savegame exists, stores 2 if game has to save a lot of data and stores 3 if game can perform a quick save "
00FE,step_end,SaveGame,,
00FF,scrcmd_255,CheckPortrait,,
0100,scrcmd_256,SetPortraitTitle,,
0101,scrcmd_257,CMD_257,,
0102,scrcmd_258,CMD_258,,
0103,scrcmd_259,CMD_259,,
0104,scrcmd_260,CMD_260,,
0105,scrcmd_261,CMD_261,,
0106,scrcmd_262,CMD_262,,
0107,scrcmd_263,CMD_263,,
0108,scrcmd_264,CMD_264,,
0109,scrcmd_265,CMD_265,,
010A,scrcmd_266,CMD_266,,
010B,scrcmd_267,CMD_267,,
010C,scrcmd_268,CMD_268,,
010D,scrcmd_269,CMD_269,,
010E,scrcmd_270,CMD_270,,
010F,scrcmd_271,CMD_271,,
0110,scrcmd_272,CMD_272,,
0111,scrcmd_273,CMD_273,,
0112,scrcmd_274,CMD_274,,
0113,mart_buy,MartScreen,Flex: Unused,Opens the common mart shopping screen 
0114,special_mart_buy,SpMartScreen,Flex: Mart ID,Opens the Mart ID mart shopping screen 
0115,decoration_mart,GoodsMartScreen,Flex: Mart ID,Opens the Mart ID goods mart shopping screen 
0116,seal_mart,SealMartScreen,Flex: Mart ID,Opens the Mart ID seal mart shopping screen 
0117,overworld_white_out,DummyLostBattle,,Return to Pokémon Center or player's house after being defeated 
0118,set_spawn,SetLastWarp,Flex: Warp ID,"Sets the player's last warp as Warp ID. This affects Fly, whiting out, Escape Rope, etc. "
0119,get_player_gender,CheckPlayerGender,Var: Variable,"Stores 0 in Variable if player is male, stores 1 if female "
011A,heal_party,HealPokemon,,Heals every Pokémon in the player's party 
011B,scrcmd_283,EndWirelessComms,,
011C,scrcmd_284,EnterBattleRoom,,
011D,scrcmd_285,SetPlayerDirComm,,
011E,scrcmd_286,UnionMapChange,,
011F,buffer_union_room_avatar_choices,TextUnionRoomTrainerClassOptions,,"Generates the four Union Room Trainer class options based on Trainer ID and gender into String Buffers 0, 1, 2, and 3 "
0120,union_room_avatar_idx_to_trainer_class,CheckUnionRoomTrainerClass,Flex: Choice; Var: Variable,Returns the Trainer class that the player chose for the Union Room to Variable based on the Choice 
0121,scrcmd_289,SetUnionRoomSprite,Var: Variable,Sets the player Trainer class sprite for the Union Room as determined by CheckUnionRoomTrainerSprite 
0122,check_pokedex,CheckPokedex,Var: Variable,"Stores 1 in Variable if player has the Pokédex, stores 0 otherwise "
0123,give_pokedex,GivePokedex,,Gives the Pokédex to the player 
0124,check_running_shoes,CheckShoes,Var: Variable,"Stores 1 in Variable if player has the running shoes, stores 0 otherwise "
