entity_type,event_file,maps,entity_index,ow_id,overlay_entry,ow_type,script_file,script_num,flag
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),0,0,97,TRAINER,184,3012,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),1,1,5,TRAINER,184,3013,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),2,2,5,TRAINER,184,3016,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),3,3,5,TRAINER,184,3017,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),4,4,141,TRAINER,184,3018,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),5,5,5,TRAINER,184,3019,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),6,6,5,TRAINER,184,3020,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),7,7,5,TRAINER,184,3022,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),8,8,5,TRAINER,184,3023,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),9,9,5,TRAINER,184,3024,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),10,10,5,TRAINER,184,3027,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),11,11,5,TRAINER,184,3032,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),12,12,5,TRAINER,184,3034,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),13,13,141,TRAINER,184,3035,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),14,14,5,TRAINER,184,3036,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),15,15,5,TRAINER,184,3037,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),16,16,5,TRAINER,184,3038,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),17,17,5,TRAINER,184,3039,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),18,18,5,TRAINER,184,3042,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),19,19,5,TRAINER,184,3046,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),20,20,141,TRAINER,184,3047,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),21,21,5,TRAINER,184,3049,0x0000
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),22,22,633,NORMAL,184,1,0x0273
overworld,0011,LOB FOREST 01(H47); LOB FOREST 02(H48); LOB FOREST 03(H49); LOB FOREST 04(H50); LOB FOREST 05(H51); LOB FOREST 06(H52); LOB FOREST 07(H53); LOB FOREST 08(H54); LOB FOREST 09(H55),23,23,1548,NORMAL,184,1,0x0274
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),0,0,86,NORMAL,197,10000,0x0010
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),1,1,86,NORMAL,197,10000,0x0011
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),2,2,86,NORMAL,197,10000,0x0012
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),3,3,87,ITEM,197,7026,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),4,4,521,NORMAL,197,1,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),5,5,317,TRAINER,197,5070,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),6,6,317,TRAINER,197,5071,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),7,7,317,TRAINER,197,3072,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),8,8,317,TRAINER,197,3073,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),9,9,326,TRAINER,197,3074,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),10,10,317,TRAINER,197,3075,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),11,11,347,TRAINER,197,3085,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),12,12,317,TRAINER,197,3086,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),13,13,44,TRAINER,197,3087,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),14,14,317,TRAINER,197,3088,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),15,15,317,TRAINER,197,3091,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),16,16,347,TRAINER,197,3095,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),17,17,347,TRAINER,197,3096,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),18,18,326,TRAINER,197,3104,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),19,19,317,TRAINER,197,3107,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),20,20,35,TRAINER,197,3102,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),21,21,35,TRAINER,197,3103,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),22,22,326,TRAINER,197,3121,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),23,23,326,TRAINER,197,3122,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),24,24,44,TRAINER,197,3124,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),25,25,317,TRAINER,197,3126,0x0000
overworld,0014,RT 5 AREA 1(H78); RT 5 AREA 2(H83); SUB PATH 1(H86); SUB PATH 2(H87); SUB PATH 3(H88); SUB PATH 4(H89); RT 5 AREA 3(H103); RT 5 AREA 4(H106); RT 5 AREA 5(H119),26,26,347,TRAINER,197,3127,0x0000
overworld,0015,-(H74); ROCK CAVE 01(H90); ICE CAVE 01(H92); STEEL CAVE 01(H94),0,0,368,NORMAL,199,3,0x0264
overworld,0015,-(H74); ROCK CAVE 01(H90); ICE CAVE 01(H92); STEEL CAVE 01(H94),1,1,1025,NORMAL,199,4,0x0297
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),0,0,86,NORMAL,197,10000,0x0010
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),1,1,20,TRAINER,197,3120,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),2,2,377,TRAINER,197,3133,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),3,3,347,TRAINER,197,3134,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),4,4,141,TRAINER,197,3135,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),5,5,20,TRAINER,197,3136,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),6,6,377,TRAINER,197,3138,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),7,7,20,TRAINER,197,3141,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),8,8,20,TRAINER,197,3142,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),9,9,347,TRAINER,197,3143,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),10,10,377,TRAINER,197,3144,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),11,11,219,TRAINER,197,3145,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),12,12,219,TRAINER,197,3146,0x0000
overworld,0016,MELT 10 HS12(H117); RT 6 AREA 1(H121); RT 6 AREA 2(H122); RT 6 AREA 3(H123); RT 6 AREA 4(H124),13,13,219,TRAINER,197,3147,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),0,0,86,NORMAL,199,10000,0x0010
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),1,1,317,TRAINER,199,3123,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),2,2,351,TRAINER,199,3125,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),3,3,347,TRAINER,199,3154,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),4,4,347,TRAINER,199,3157,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),5,5,347,TRAINER,199,3158,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),6,6,347,TRAINER,199,3160,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),7,7,347,TRAINER,199,3161,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),8,8,317,TRAINER,199,3155,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),9,9,317,TRAINER,199,3156,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),10,10,317,TRAINER,199,3162,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),11,11,55,TRAINER,199,3163,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),12,12,317,TRAINER,199,3164,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),13,13,347,TRAINER,199,3167,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),14,14,317,TRAINER,199,3168,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),15,15,351,TRAINER,199,3169,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),16,16,351,TRAINER,199,3170,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),17,17,351,TRAINER,199,3185,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),18,18,317,TRAINER,199,3172,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),19,19,347,TRAINER,199,3173,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),20,20,55,TRAINER,199,3175,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),21,21,55,TRAINER,199,3184,0x0000
overworld,0017,RT 7 AREA 1(H129); RT 7 AREA 2(H130); RT 7 AREA 3(H134),22,22,351,TRAINER,199,3186,0x0000
overworld,0018,ROCK CAVE 02(H91),0,0,901,NORMAL,201,0,0x0000
overworld,0019,-(H75); ICE CAVE 02(H93),0,0,902,NORMAL,202,0,0x0000
overworld,0020,STEEL CAVE 02(H95),0,0,903,NORMAL,203,0,0x0000
