Trainer#,TrainerID,TrainerName,Location,OWID,TrainerClass,Level,Pokemon 1,Pokemon 2,Pokemon 3,Pokemon 4,Pokemon 5,Pokemon 6,Implemented,Battle Type,Category
41,41,Hugh,Lobart Forest 01,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,LILLIPUP,VENIPEDE,SNIVY,,,,,Double Battle,RIVAL Hugh 1
42,42,Silver,Lobart Forest 01,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,HOUNDOUR,ZUBAT,TOTODILE,,,,,Double Battle,RIVAL Silver 1
43,43,Nova,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,8,PETILIL,VENONAT,CUTIEFLY,,,,TRUE,,GENERIC
44,44,Axel,Pettle Grove,55,TRAINERCLASS_TEAM_ROCKET,8,SPEAROW,RELLOR,,,,,,,DEFIANCE 1
45,45,Blythe,Pettle Grove,55,TRAINERCLASS_TEAM_ROCKET,8,BLITZLE,INKAY,DUSKULL,,,,,,DEFIANCE 3
46,46,Cyra,Pettle Grove,62,TRAINERCLASS_TEAM_ROCKET_F,8,WOOPER_PALDEAN,POOCHYENA,DEWPIDER,,,,,,DEFIANCE 2
47,47,Jack,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,8,BELLSPROUT,DWEBBLE,JOLTIK,,,,TRUE,,GENERIC
48,48,Audrey,Lobart Forest 01,141,TRAINERCLASS_AROMA_LADY,8,COTTONEE,PARAS,RELLOR,,,,TRUE,,GENERIC
49,49,Hau,Lobart Forest 01,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,PIKIPEK,ROCKRUFF,LITTEN,,,,,,RIVAL Hau 1
50,50,Gabriella,Lobart Forest 01,5,TRAINERCLASS_BUG_CATCHER,8,SEEDOT,LEDYBA,SPEWPA,,,,TRUE,,GENERIC
51,51,Barry,Route 5 Area 1,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,SHINX,BUIZEL,TURTWIG,,,,,Double Battle,RIVAL Barry 1
52,52,Hop,Route 5 Area 1,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,8,ROOKIDEE,APPLIN,SOBBLE,,,,,Double Battle,RIVAL Hop 1
53,53,Elizabeth,Subterranean Cave 1,377,TRAINERCLASS_POKE_MANIAC,8,SINISTEA,GULPIN,MORELULL,KAKUNA,,,TRUE,,GENERIC
54,54,Mila,Route 4 Area 1,5,TRAINERCLASS_BUG_CATCHER,8,SHELMET,NIDORAN_F,,,,,TRUE,Double Battle,GENERIC
55,55,Samantha,Route 4 Area 1,5,TRAINERCLASS_BUG_CATCHER,8,KARRABLAST,NIDORAN_M,,,,,TRUE,Double Battle,GENERIC
56,56,Nolan,Lobart Gym 1 Normal,35,TRAINERCLASS_IDOL,8,IGGLYBUFF,HAPPINY,AZURILL,TOGEPI,,,,,GYM
57,57,Ivory,Lobart Gym 1 Normal,9,TRAINERCLASS_PKMN_BREEDER_M,8,BIDOOF,SENTRET,BUNNELBY,,,,,,GYM
58,58,Jonah,Lobart Gym 1 Normal,12,TRAINERCLASS_PKMN_BREEDER_F,8,SKITTY,DITTO,SMEARGLE,,,,,,GYM
59,59,Falkner,Lobart Gym 1 Normal,352,TRAINERCLASS_LEADER_FALKNER,11,STARLY,BUNEARY,MEOWTH,EEVEE,,,,,GYM LEADER 1.1.1
60,60,Falkner,Lobart Gym 1 Normal,352,TRAINERCLASS_LEADER_FALKNER,14,HELIOPTILE,DEERLING,LITLEO,ZORUA_HISUIAN,MEGA_LOPUNNY,,,,GYM LEADER 1.2.1
61,61,Charles,Subterranean Cave 1,20,TRAINERCLASS_HIKER,9,DIGLETT,CASCOON,,,,,TRUE,Double Battle,GENERIC
62,62,Landon,Subterranean Cave 1,20,TRAINERCLASS_HIKER,9,DIGLETT_ALOLAN,SILCOON,,,,,TRUE,Double Battle,GENERIC
63,63,Shauna,Subterranean Path 1,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,8,FLABEBE,HELIOPTILE,CHESPIN,,,,,,RIVAL Shauna 1
64,64,Emilia,Subterranean Cave 1,12,TRAINERCLASS_PKMN_BREEDER_F,9,ONIX,PATRAT,STUFFUL,,,,TRUE,,GENERIC
65,65,Jayden,Subterranean Cave 1,9,TRAINERCLASS_PKMN_BREEDER_M,9,YUNGOOS,WIGLETT,KRICKETOT,,,,TRUE,,GENERIC
66,66,Ezra,Subterranean Cave 1,20,TRAINERCLASS_HIKER,9,GEODUDE,ROGGENROLA,,,,,TRUE,Double Battle,GENERIC
67,67,Isabella,Subterranean Cave 1,20,TRAINERCLASS_HIKER,9,GEODUDE_ALOLAN,ROLYCOLY,,,,,TRUE,Double Battle,GENERIC
68,68,Sable,Subterranean Path 1,39,TRAINERCLASS_PKMN_RANGER_M,10,SLUGMA,IGGLYBUFF,MEDITITE,,,,,,ALLIANCE 6
69,69,Rhea,Subterranean Path 1,40,TRAINERCLASS_PKMN_RANGER_F,10,DIGLETT,FLABEBE,COTTONEE,,,,,,ALLIANCE 5
70,70,Tristan,Subterranean Path 1,39,TRAINERCLASS_PKMN_RANGER_M,10,MAGBY,SNUBBULL,BIDOOF,,,,,,ALLIANCE 7
71,71,Anna,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,10,PANSEAR,PANSAGE,PANPOUR,,,,TRUE,Double Battle,GENERIC
72,72,Angel,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,10,SLUGMA,GOSSIFLEUR,MARILL,,,,TRUE,Double Battle,GENERIC
73,73,Santiago,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,11,SPINARAK,ZIGZAGOON,PETILIL,WIGLETT,,,TRUE,,GENERIC
74,74,Gianna,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,11,BUDEW,TAILLOW,KAKUNA,GLAMEOW,,,TRUE,,GENERIC
75,75,Lily,Subterranean Path 1,326,TRAINERCLASS_BEAUTY,11,COTTONEE,SPEAROW,METAPOD,SWINUB,,,TRUE,,GENERIC
76,76,Mila,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,11,SCATTERBUG,SUNKERN,PIDGEY,MAKUHITA,,,TRUE,,GENERIC
77,77,Draven,Rock Passage,55,TRAINERCLASS_TEAM_ROCKET,10,PURRLOIN,RUFFLET,VULLABY,,,,,,DEFIANCE 5
78,78,Elex,Ice Passage,62,TRAINERCLASS_TEAM_ROCKET_F,10,PATRAT,GREAVARD,NIDORAN_M,,,,,,DEFIANCE 4
79,79,Flint,Steel Passage,62,TRAINERCLASS_TEAM_ROCKET_F,10,RATTATA_ALOLAN,PANCHAM,EKANS,SNUBBULL,SILICOBRA,,,,DEFIANCE 6
80,80,Gavric,Rock Passage,55,TRAINERCLASS_TEAM_ROCKET,11,POOCHYENA,CROAGUNK,ZIGZAGOON_GALARIAN,,,,,,DEFIANCE 7
81,81,Hale,Ice Passage,55,TRAINERCLASS_TEAM_ROCKET,11,LITWICK,ZIGZAGOON_GALARIAN,ROCKRUFF,,,,,,DEFIANCE 9
82,82,Verra,Steel Passage,62,TRAINERCLASS_TEAM_ROCKET_F,11,ZORUA,LITWICK,CARVANHA,GRIMER,GRIMER_ALOLAN,,,,DEFIANCE 8
83,83,Chara,Regirock Den,55,TRAINERCLASS_TEAM_ROCKET,12,STUNKY,MEOWTH_ALOLAN,CHARCADET,,,,,,DEFIANCE 11
84,84,Dorian,Regice Den,55,TRAINERCLASS_TEAM_ROCKET,12,HOOTHOOT,IMPIDIMP,TRAPINCH,,,,,,DEFIANCE 12
85,85,Wrynn,Registeel Den,62,TRAINERCLASS_TEAM_ROCKET_F,12,ELECTRIKE,MAREANIE,GROWLITHE_HISUIAN,MEOWTH_GALARIAN,MEGA_SABLEYE,,,,DEFIANCE 10
86,86,Sophia,Subterranean Path 1,347,TRAINERCLASS_FISHERMAN,12,MAGIKARP,FEEBAS,MANTYKE,,,,TRUE,,GENERIC
87,87,Lucy,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,12,ELECTRIKE,ROOKIDEE,WOOPER,SNOM,TOXEL,,TRUE,,GENERIC
88,88,Ezra,Subterranean Path 1,44,TRAINERCLASS_ARTIST,12,NATU,SEEDOT,SLAKOTH,BLIPBUG,,,TRUE,,GENERIC
89,89,Maya,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,12,HOOTHOOT,PINECO,FOMANTIS,CHINGLING,,,TRUE,,GENERIC
90,90,Selene,Subterranean Path 1,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,12,BOUNSWEET,ROCKRUFF,POPPLIO,,,,,Double Battle,RIVAL Selene 1
91,91,Calem,Subterranean Path 1,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,12,FLETCHLING,ESPURR,FROAKIE,,,,,Double Battle,RIVAL Calem 1
92,92,Gianna,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,12,ROGGENROLA,DEWPIDER,RATTATA,,,,TRUE,,GENERIC
93,93,Xantha,Regirock Den,62,TRAINERCLASS_TEAM_ROCKET_F,13,FOONGUS,CARVANHA,VULPIX,,,,,,DEFIANCE 13
94,94,Etta,Regice Den,55,TRAINERCLASS_TEAM_ROCKET,13,GIMMIGHOUL_ROAMING,RATTATA_ALOLAN,CHEWTLE,,,,,,DEFIANCE 15
95,95,Yoren,Registeel Den,62,TRAINERCLASS_TEAM_ROCKET_F,13,MEOWTH,SANDILE,SOLOSIS,,,,,,DEFIANCE 14
96,96,Isaiah,Subterranean Path 1,347,TRAINERCLASS_FISHERMAN,13,TYMPOLE,CHEWTLE,VULPIX_ALOLAN,PAWMI,,,TRUE,,GENERIC
97,97,Levi,Subterranean Path 1,347,TRAINERCLASS_FISHERMAN,13,HORSEA,STARLY,SPHEAL,CUBONE,,,TRUE,,GENERIC
98,98,Cameron,Subterranean Cave 2,344,TRAINERCLASS_BLACK_BELT,13,MACHOP,NINCADA,WOOLOO,GEODUDE_ALOLAN,,,TRUE,,GENERIC
99,99,Emilia,Subterranean Cave 2,20,TRAINERCLASS_HIKER,13,DIGLETT_ALOLAN,SANDSHREW,,,,,TRUE,Double Battle,GENERIC
100,100,Santiago,Subterranean Cave 2,347,TRAINERCLASS_FISHERMAN,13,WIGLETT,SANDSHREW_ALOLAN,,,,,TRUE,Double Battle,GENERIC
101,101,Maya,Subterranean Cave 2,351,TRAINERCLASS_PSYCHIC_M,13,SOLOSIS,SHUPPET,,,,,TRUE,Double Battle,GENERIC
102,102,Ariana,Subterranean Cave 2,351,TRAINERCLASS_PSYCHIC_F,13,GOTHITA,DUSKULL,,,,,TRUE,Double Battle,GENERIC
103,103,Serenity,Subterranean Path 1,35,TRAINERCLASS_IDOL,13,SWIRLIX,TENTACOOL,VOLBEAT,,,,TRUE,Double Battle,GENERIC
104,104,John,Subterranean Path 1,35,TRAINERCLASS_IDOL,13,SPRITZEE,TOEDSCOOL,ILLUMISE,,,,TRUE,Double Battle,GENERIC
105,105,Elijah,Subterranean Path 1,326,TRAINERCLASS_BEAUTY,13,HOPPIP,RATTATA_ALOLAN,SURSKIT,,,,TRUE,,GENERIC
106,106,Selwyn,Sandstone Cove,40,TRAINERCLASS_PKMN_RANGER_F,13,YAMPER,FIDOUGH,SMEARGLE,CHEWTLE,,,,,ALLIANCE 8
107,107,Uria,Sandstone Cove,39,TRAINERCLASS_PKMN_RANGER_M,13,JIGGLYPUFF,CLEFAIRY,KIRLIA,TAILLOW,,,,,ALLIANCE 9
108,108,Emily,Subterranean Path 1,317,TRAINERCLASS_YOUNGSTER,13,HAPPINY,GRUBBIN,COMBEE,,,,TRUE,,GENERIC
109,109,Victoria,Subterranean Cave 2,345,TRAINERCLASS_CAMPER,13,YUNGOOS,LOTAD,SPEWPA,,,,TRUE,,GENERIC
110,110,Liam,Subterranean Cave 2,7,TRAINERCLASS_BATTLE_GIRL,13,JIGGLYPUFF,MUNNA,SANDILE,,,,TRUE,,GENERIC
111,111,Lily,Subterranean Cave 2,5,TRAINERCLASS_BUG_CATCHER,13,CASCOON,CORPHISH,VANILLITE,PICHU,,,TRUE,,GENERIC
112,112,David,Subterranean Cave 2,50,TRAINERCLASS_RUIN_MANIAC,14,SNORUNT,SALANDIT,DRILBUR,WATTREL,,,TRUE,,GENERIC
113,113,Hazel,Subterranean Cave 2,141,TRAINERCLASS_AROMA_LADY,14,SHROOMISH,FLABEBE,FLETCHLING,SLUGMA,,,TRUE,,GENERIC
114,114,Charlotte,Subterranean Cave 2,31,TRAINERCLASS_ROUGHNECK,14,INKAY,EKANS,SKITTY,SWINUB,,,TRUE,,GENERIC
115,115,Naomi,Melton City,5,TRAINERCLASS_BUG_CATCHER,14,BURMY,WHISMUR,DIGLETT,GULPIN,,,TRUE,,GENERIC
116,116,Farron,Route 5 Area 2,55,TRAINERCLASS_TEAM_ROCKET,14,SHROODLE,GIMMIGHOUL,NIDORAN_F,,,,,,DEFIANCE 18
117,117,Zinnia,Route 5 Area 2,62,TRAINERCLASS_TEAM_ROCKET_F,14,SHROOMISH,MEOWTH_ALOLAN,GEODUDE_ALOLAN,HOUNDOUR,,,,,DEFIANCE 17
118,118,Grynn,Route 5 Area 2,55,TRAINERCLASS_TEAM_ROCKET,14,LARVITAR,DEINO,DREEPY,ELGYEM,,,,,DEFIANCE 16
119,119,Logan,Melton City,141,TRAINERCLASS_AROMA_LADY,14,PARAS,LILLIPUP,MILCERY,CAPSAKID,,,TRUE,,GENERIC
120,120,Elena,Melton City,10,TRAINERCLASS_GUITARIST,14,SHINX,SKWOVET,VENIPEDE,SMOOCHUM,,,TRUE,,GENERIC
121,121,Jason,Route 6 Area 1,20,TRAINERCLASS_HIKER,14,BONSLY,SEWADDLE,WIMPOD,PIKIPEK,,,TRUE,,GENERIC
122,122,Tom,Route 5 Area 4,326,TRAINERCLASS_BEAUTY,14,YAMPER,SHROODLE,METAPOD,PIDOVE,,,TRUE,,GENERIC
123,123,Nova,Route 5 Area 4,326,TRAINERCLASS_BEAUTY,14,TINKATINK,HOOTHOOT,TAROUNTULA,BOUNSWEET,,,TRUE,,GENERIC
124,124,Eleanor,Route 7 Area 1,317,TRAINERCLASS_YOUNGSTER,14,MANKEY,MANTYKE,SILCOON,PETILIL,,,TRUE,,GENERIC
125,125,Jonathan,Route 5 Area 4,44,TRAINERCLASS_ARTIST,14,BERGMITE,COMBEE,TYNAMO,WOOPER_PALDEAN,,,TRUE,,GENERIC
126,126,Dylan,Route 7 Area 1,351,TRAINERCLASS_PSYCHIC_F,14,UNOWN,BELLSPROUT,BINACLE,,,,TRUE,,GENERIC
127,127,Penelope,Route 5 Area 4,317,TRAINERCLASS_YOUNGSTER,14,LEDYBA,PSYDUCK,ODDISH,WATTREL,,,TRUE,,GENERIC
128,128,Peter,Route 5 Area 4,347,TRAINERCLASS_FISHERMAN,14,CLAMPERL,SKRELP,FRILLISH,STARYU,,,TRUE,,GENERIC
129,129,Wyatt,Melton Gym 2 Fighting,344,TRAINERCLASS_BLACK_BELT,14,MAKUHITA,MANKEY,MIENFOO,,,,,,GYM
130,130,Xavier,Melton Gym 2 Fighting,344,TRAINERCLASS_BLACK_BELT,14,PANCHAM,TIMBURR,MACHOP,PAWMI,,,,,GYM
131,131,Yara,Melton Gym 2 Fighting,344,TRAINERCLASS_BLACK_BELT,14,SCRAGGY,CLOBBOPUS,MEDITITE,JANGMO_O,,,,,GYM
132,132,Bugsy,Melton Gym 2 Fighting,,TRAINERCLASS_LEADER_BUGSY,16,CRABRAWLER,RIOLU,GURDURR,MACHOKE,MEGA_HERACROSS,,,Gym,GYM LEADER 2.1.1
133,133,Bugsy,Melton Gym 2 Fighting,,TRAINERCLASS_LEADER_BUGSY,18,FALINKS,THROH,SAWK,PAWMO,FARFETCHD_GALARIAN,MEGA_MEDICHAM,,Gym,GYM LEADER 2.2.1
134,134,Gerald,Route 6 Area 1,377,TRAINERCLASS_POKE_MANIAC,14,CUBCHOO,KRABBY,CLOBBOPUS,TANDEMAUS,,,TRUE,,GENERIC
135,135,Mia,Route 6 Area 1,347,TRAINERCLASS_FISHERMAN,14,WOOPER,CHINCHOU,MAGIKARP,KRABBY,,,TRUE,,GENERIC
136,136,Logan,Route 6 Area 1,141,TRAINERCLASS_AROMA_LADY,14,CACNEA,PHANPY,VOLTORB,WOOBAT,,,TRUE,,GENERIC
137,137,Asher,Route 6 Area 1,20,TRAINERCLASS_HIKER,14,SEEL,WOOPER_PALDEAN,GEODUDE,BRONZOR,,,TRUE,,GENERIC
138,138,Hop,Route 6 Area 1,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,14,ROOKIEDEE,APPLIN,SOBBLE,,,,,,RIVAL Hop 2
139,139,Natalie,Route 6 Area 1,377,TRAINERCLASS_POKE_MANIAC,14,TRUBBISH,LOMBRE,WHISMUR,KLINK,,,TRUE,,GENERIC
140,140,Serena,Route 6 Area 1,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,14,SCATTERBUG,DEDENNE,FENNEKIN,,,,,Double Battle,RIVAL Serena 1
141,141,Gloria,Route 6 Area 1,296,TRAINERCLASS_PKMN_TRAINER_DAWN_PT,14,ROLYCOLY,MORPEKO,GROOKEY,,,,,Double Battle,RIVAL Gloria 1
142,142,Aaliyah,Route 6 Area 1,20,TRAINERCLASS_HIKER,15,DIGLETT_ALOLAN,ONIX,SLOWPOKE,,,,TRUE,,GENERIC
143,143,Trevor,Route 6 Area 1,20,TRAINERCLASS_HIKER,15,CUFANT,SNUBBULL,GRIMER,SHELLOS,,,TRUE,,GENERIC
144,144,Nolan,Route 6 Area 1,347,TRAINERCLASS_FISHERMAN,15,FINNEON,WINGULL,DUCKLETT,SHELLDER,,,TRUE,,GENERIC
145,145,Theodore,Route 6 Area 1,377,TRAINERCLASS_POKE_MANIAC,15,DODUO,CHERUBI,DELIBIRD,MAREEP,,,TRUE,,GENERIC
146,146,Lucy,Route 6 Area 1,219,TRAINERCLASS_MEDIUM,15,DRIFLOON,GREAVARD,SANDYGAST,LITWICK,,,TRUE,,GENERIC
147,147,Cora,Route 6 Area 1,219,TRAINERCLASS_MEDIUM,15,PHANTUMP,YAMASK,HONEDGE,,,,TRUE,Double Battle,GENERIC
148,148,Anna,Route 6 Area 1,219,TRAINERCLASS_MEDIUM,15,PUMPKABOO,YAMASK_GALARIAN,GOLETT,,,,TRUE,Double Battle,GENERIC
149,149,Tarian,Sword Trio,40,TRAINERCLASS_PKMN_RANGER_F,15,CLEFFA,WYNAUT,PAWMI,HATENNA,,,,,ALLIANCE 10
150,150,Valor,Sword Trio,39,TRAINERCLASS_PKMN_RANGER_M,15,VOLTORB,SPRITZEE,COTTONEE,LUVDISC,MUNNA,,,,ALLIANCE 12
151,151,Weslyn,Sword Trio,39,TRAINERCLASS_PKMN_RANGER_M,15,IGGLYBUFF,MIMEJR,MILCERY,PIDOVE,,,,,ALLIANCE 13
152,152,Eamon,Sword Trio,39,TRAINERCLASS_PKMN_RANGER_M,15,SOLOSIS,TYNAMO,SWIRLIX,GOSSIFLEUR,ROSELIA,,,,ALLIANCE 14
153,153,Ulani,Sword Trio,40,TRAINERCLASS_PKMN_RANGER_F,15,CUTIEFLY,CHERUBI,TYROGUE,CUBCHOO,,,,,ALLIANCE 11
154,154,Yanin,Sword Trio,39,TRAINERCLASS_PKMN_RANGER_M,15,VULPIX_ALOLAN,CHARCADET,CLEFAIRY,VOLTORB_HISUIAN,MAWILE_MEGA,,,,ALLIANCE 15
155,155,Maverick,Route 7 Area 1,347,TRAINERCLASS_FISHERMAN,16,BUIZEL,JOLTIK,STARAVIA,SPOINK,,,TRUE,,GENERIC
156,156,Serenity,Route 7 Area 1,317,TRAINERCLASS_YOUNGSTER,16,PURRLOIN,TRUBBISH,MURKROW,MARILL,DWEBBLE,,TRUE,,GENERIC
157,157,Axel,Route 7 Area 1,317,TRAINERCLASS_YOUNGSTER,16,VENONAT,NOIBAT,ROOKIDEE,MEOWTH,FOMANTIS,,TRUE,,GENERIC
158,158,John,Route 7 Area 1,347,TRAINERCLASS_FISHERMAN,16,GOLDEEN,EEVEE,BONSLY,GRIMER_ALOLAN,,,TRUE,,GENERIC
159,159,Chloe,Route 7 Area 1,347,TRAINERCLASS_FISHERMAN,16,MANTYKE,STUFFUL,VULPIX,BLITZLE,,,TRUE,,GENERIC
160,160,Lucas,Route 7 Area 1,295,TRAINERCLASS_PKMN_TRAINER_LUCAS_PT,15,STARLY,HIPPOPOTAS,CHIMCHAR,,,,,,RIVAL Lucas 1
161,161,Evelyn,Route 7 Area 1,347,TRAINERCLASS_FISHERMAN,16,WINGULL,DUCKLETT,CARVANHA,POLIWAG,BARBOACH,,TRUE,,GENERIC
162,162,Layla,Route 7 Area 1,347,TRAINERCLASS_FISHERMAN,16,TENTACOOL,GOLDEEN,FINNEON,REMORAID,CORPHISH,,TRUE,,GENERIC
163,163,Evan,Route 7 Area 1,317,TRAINERCLASS_YOUNGSTER,16,ARON,AXEW,SHELLDER,MUNCHLAX,,,TRUE,,GENERIC
164,164,Ezra,Route 7 Area 1,55,TRAINERCLASS_PARASOL_LADY,16,SWABLU,KOFFING,SHELLOS,SPOINK,,,TRUE,,GENERIC
