Pokemon,Move,Method,Level
ABOMASNOW,GRASS_KNOT,tm,
ABOMASNOW,SWAGGER,tm,
ABOMASNOW,SUBSTITUTE,tm,
ABRA,TELEPORT,level-up,1
ABRA,ENCORE,egg,
ABRA,BARRIER,egg,
ABRA,KNOCK_OFF,egg,
ABRA,FIRE_PUNCH,egg,
ABRA,THUNDER_PUNCH,egg,
ABRA,ICE_PUNCH,egg,
ABRA,POWER_TRICK,egg,
ABRA,GUARD_SWAP,egg,
ABRA,FOCUS_PUNCH,tm,
ABRA,CALM_MIND,tm,
ABRA,TOXIC,tm,
ABRA,HIDDEN_POWER,tm,
ABRA,SUNNY_DAY,tm,
ABRA,TAUNT,tm,
ABRA,LIGHT_SCREEN,tm,
ABRA,PROTECT,tm,
ABRA,RAIN_DANCE,tm,
ABRA,SAFEGUARD,tm,
ABRA,FRUSTRATION,tm,
ABRA,IRON_TAIL,tm,
ABRA,RETURN,tm,
ABRA,PSYCHIC,tm,
ABRA,SHADOW_BALL,tm,
ABRA,DOUBLE_TEAM,tm,
ABRA,REFLECT,tm,
ABRA,SHOCK_WAVE,tm,
ABRA,TORMENT,tm,
ABRA,FACADE,tm,
ABRA,SECRET_POWER,tm,
ABRA,REST,tm,
ABRA,ATTRACT,tm,
ABRA,THIEF,tm,
ABRA,SKILL_SWAP,tm,
ABRA,SNATCH,tm,
ABRA,ENERGY_BALL,tm,
ABRA,FLING,tm,
ABRA,CHARGE_BEAM,tm,
ABRA,ENDURE,tm,
ABRA,DRAIN_PUNCH,tm,
ABRA,EMBARGO,tm,
ABRA,RECYCLE,tm,
ABRA,FLASH,tm,
ABRA,THUNDER_WAVE,tm,
ABRA,PSYCH_UP,tm,
ABRA,CAPTIVATE,tm,
ABRA,SLEEP_TALK,tm,
ABRA,NATURAL_GIFT,tm,
ABRA,DREAM_EATER,tm,
ABRA,GRASS_KNOT,tm,
ABRA,SWAGGER,tm,
ABRA,SUBSTITUTE,tm,
ABRA,TRICK_ROOM,tm,
ABSOL,QUICK_ATTACK,level-up,1
ABSOL,LEER,level-up,1
ABSOL,PERISH_SONG,level-up,1
ABSOL,FUTURE_SIGHT,level-up,1
ABSOL,SCRATCH,level-up,1
ABSOL,FEINT,level-up,1
ABSOL,LEER,level-up,4
ABSOL,QUICK_ATTACK,level-up,7
ABSOL,KNOCK_OFF,level-up,10
ABSOL,PURSUIT,level-up,10
ABSOL,DOUBLE_TEAM,level-up,11
ABSOL,TAUNT,level-up,16
ABSOL,BITE,level-up,16
ABSOL,DETECT,level-up,23
ABSOL,SLASH,level-up,23
ABSOL,NIGHT_SLASH,level-up,29
ABSOL,FOCUS_ENERGY,level-up,35
ABSOL,SWORDS_DANCE,level-up,35
ABSOL,PSYCHO_CUT,level-up,37
ABSOL,ME_FIRST,level-up,41
ABSOL,SUCKER_PUNCH,level-up,42
ABSOL,RAZOR_WIND,level-up,49
ABSOL,FUTURE_SIGHT,level-up,51
ABSOL,PERISH_SONG,level-up,55
ABSOL,BATON_PASS,egg,
ABSOL,FEINT_ATTACK,egg,
ABSOL,DOUBLE_EDGE,egg,
ABSOL,MAGIC_COAT,egg,
ABSOL,CURSE,egg,
ABSOL,SUBSTITUTE,egg,
ABSOL,MEAN_LOOK,egg,
ABSOL,ZEN_HEADBUTT,egg,
ABSOL,PUNISHMENT,egg,
ABSOL,SUCKER_PUNCH,egg,
ABSOL,ASSURANCE,egg,
ABSOL,ME_FIRST,egg,
ABSOL,MEGAHORN,egg,
ABSOL,WATER_PULSE,tm,
ABSOL,CALM_MIND,tm,
ABSOL,TOXIC,tm,
ABSOL,HAIL,tm,
ABSOL,HIDDEN_POWER,tm,
ABSOL,SUNNY_DAY,tm,
ABSOL,TAUNT,tm,
ABSOL,ICE_BEAM,tm,
ABSOL,BLIZZARD,tm,
ABSOL,HYPER_BEAM,tm,
ABSOL,PROTECT,tm,
ABSOL,RAIN_DANCE,tm,
ABSOL,FRUSTRATION,tm,
ABSOL,IRON_TAIL,tm,
ABSOL,THUNDERBOLT,tm,
ABSOL,THUNDER,tm,
ABSOL,RETURN,tm,
ABSOL,SHADOW_BALL,tm,
ABSOL,DOUBLE_TEAM,tm,
ABSOL,SHOCK_WAVE,tm,
ABSOL,FLAMETHROWER,tm,
ABSOL,SANDSTORM,tm,
ABSOL,FIRE_BLAST,tm,
ABSOL,ROCK_TOMB,tm,
ABSOL,AERIAL_ACE,tm,
ABSOL,TORMENT,tm,
ABSOL,FACADE,tm,
ABSOL,SECRET_POWER,tm,
ABSOL,REST,tm,
ABSOL,ATTRACT,tm,
ABSOL,THIEF,tm,
ABSOL,SNATCH,tm,
ABSOL,FALSE_SWIPE,tm,
ABSOL,CHARGE_BEAM,tm,
ABSOL,ENDURE,tm,
ABSOL,WILL_O_WISP,tm,
ABSOL,SHADOW_CLAW,tm,
ABSOL,PAYBACK,tm,
ABSOL,GIGA_IMPACT,tm,
ABSOL,FLASH,tm,
ABSOL,STONE_EDGE,tm,
ABSOL,THUNDER_WAVE,tm,
ABSOL,SWORDS_DANCE,tm,
ABSOL,PSYCH_UP,tm,
ABSOL,CAPTIVATE,tm,
ABSOL,DARK_PULSE,tm,
ABSOL,ROCK_SLIDE,tm,
ABSOL,X_SCISSOR,tm,
ABSOL,SLEEP_TALK,tm,
ABSOL,NATURAL_GIFT,tm,
ABSOL,DREAM_EATER,tm,
ABSOL,SWAGGER,tm,
ABSOL,SUBSTITUTE,tm,
ACCELGOR,WATER_SHURIKEN,level-up,1
ACCELGOR,ACID,level-up,1
ACCELGOR,CURSE,level-up,1
ACCELGOR,YAWN,level-up,1
ACCELGOR,ACID_ARMOR,level-up,1
ACCELGOR,GUARD_SWAP,level-up,1
ACCELGOR,BODY_SLAM,level-up,1
ACCELGOR,ABSORB,level-up,1
ACCELGOR,DOUBLE_TEAM,level-up,1
ACCELGOR,ACID_SPRAY,level-up,1
ACCELGOR,QUICK_ATTACK,level-up,1
ACCELGOR,FINAL_GAMBIT,level-up,1
ACCELGOR,POWER_SWAP,level-up,1
ACCELGOR,ACID_SPRAY,level-up,4
ACCELGOR,DOUBLE_TEAM,level-up,8
ACCELGOR,QUICK_ATTACK,level-up,13
ACCELGOR,MEGA_DRAIN,level-up,15
ACCELGOR,STRUGGLE_BUG,level-up,16
ACCELGOR,SWIFT,level-up,22
ACCELGOR,AGILITY,level-up,27
ACCELGOR,ME_FIRST,level-up,28
ACCELGOR,GIGA_DRAIN,level-up,32
ACCELGOR,U_TURN,level-up,37
ACCELGOR,POWER_SWAP,level-up,41
ACCELGOR,RECOVER,level-up,44
ACCELGOR,BUG_BUZZ,level-up,44
ACCELGOR,FINAL_GAMBIT,level-up,51
ACCELGOR,TOXIC,level-up,52
ACCELGOR,TOXIC,tm,
ACCELGOR,HIDDEN_POWER,tm,
ACCELGOR,HYPER_BEAM,tm,
ACCELGOR,PROTECT,tm,
ACCELGOR,RAIN_DANCE,tm,
ACCELGOR,GIGA_DRAIN,tm,
ACCELGOR,FRUSTRATION,tm,
ACCELGOR,RETURN,tm,
ACCELGOR,DOUBLE_TEAM,tm,
ACCELGOR,SLUDGE_BOMB,tm,
ACCELGOR,SANDSTORM,tm,
ACCELGOR,FACADE,tm,
ACCELGOR,SECRET_POWER,tm,
ACCELGOR,REST,tm,
ACCELGOR,ATTRACT,tm,
ACCELGOR,FOCUS_BLAST,tm,
ACCELGOR,ENERGY_BALL,tm,
ACCELGOR,ENDURE,tm,
ACCELGOR,DRAIN_PUNCH,tm,
ACCELGOR,GIGA_IMPACT,tm,
ACCELGOR,SLEEP_TALK,tm,
ACCELGOR,SWAGGER,tm,
ACCELGOR,U_TURN,tm,
ACCELGOR,SUBSTITUTE,tm,
AEGISLASH,KINGS_SHIELD,level-up,
AEGISLASH,KINGS_SHIELD,level-up,1
AEGISLASH,HEAD_SMASH,level-up,1
AEGISLASH,AERIAL_ACE,level-up,1
AEGISLASH,METAL_SOUND,level-up,1
AEGISLASH,SLASH,level-up,1
AEGISLASH,NIGHT_SLASH,level-up,1
AEGISLASH,RETALIATE,level-up,1
AEGISLASH,IRON_DEFENSE,level-up,1
AEGISLASH,IRON_HEAD,level-up,1
AEGISLASH,POWER_TRICK,level-up,1
AEGISLASH,SWORDS_DANCE,level-up,1
AEGISLASH,SACRED_SWORD,level-up,1
AEGISLASH,TACKLE,level-up,1
AEGISLASH,FURY_CUTTER,level-up,1
AEGISLASH,SHADOW_SNEAK,level-up,1
AEGISLASH,AUTOTOMIZE,level-up,1
AEGISLASH,PURSUIT,level-up,1
AEGISLASH,TOXIC,tm,
AEGISLASH,HIDDEN_POWER,tm,
AEGISLASH,SUNNY_DAY,tm,
AEGISLASH,HYPER_BEAM,tm,
AEGISLASH,PROTECT,tm,
AEGISLASH,RAIN_DANCE,tm,
AEGISLASH,FRUSTRATION,tm,
AEGISLASH,RETURN,tm,
AEGISLASH,SHADOW_BALL,tm,
AEGISLASH,BRICK_BREAK,tm,
AEGISLASH,DOUBLE_TEAM,tm,
AEGISLASH,REFLECT,tm,
AEGISLASH,SHOCK_WAVE,tm,
AEGISLASH,AERIAL_ACE,tm,
AEGISLASH,FACADE,tm,
AEGISLASH,SECRET_POWER,tm,
AEGISLASH,REST,tm,
AEGISLASH,ATTRACT,tm,
AEGISLASH,FALSE_SWIPE,tm,
AEGISLASH,ENDURE,tm,
AEGISLASH,SHADOW_CLAW,tm,
AEGISLASH,GIGA_IMPACT,tm,
AEGISLASH,GYRO_BALL,tm,
AEGISLASH,SWORDS_DANCE,tm,
AEGISLASH,ROCK_SLIDE,tm,
AEGISLASH,SLEEP_TALK,tm,
AEGISLASH,SWAGGER,tm,
AEGISLASH,SUBSTITUTE,tm,
AEGISLASH,FLASH_CANNON,tm,
AEGISLASH_BLADE,KINGS_SHIELD,level-up,
AEGISLASH_BLADE,KINGS_SHIELD,level-up,1
AEGISLASH_BLADE,HEAD_SMASH,level-up,1
AEGISLASH_BLADE,AERIAL_ACE,level-up,1
AEGISLASH_BLADE,METAL_SOUND,level-up,1
AEGISLASH_BLADE,SLASH,level-up,1
AEGISLASH_BLADE,NIGHT_SLASH,level-up,1
AEGISLASH_BLADE,RETALIATE,level-up,1
AEGISLASH_BLADE,IRON_DEFENSE,level-up,1
AEGISLASH_BLADE,IRON_HEAD,level-up,1
AEGISLASH_BLADE,POWER_TRICK,level-up,1
AEGISLASH_BLADE,SWORDS_DANCE,level-up,1
AEGISLASH_BLADE,SACRED_SWORD,level-up,1
AEGISLASH_BLADE,TACKLE,level-up,1
AEGISLASH_BLADE,FURY_CUTTER,level-up,1
AEGISLASH_BLADE,SHADOW_SNEAK,level-up,1
AEGISLASH_BLADE,AUTOTOMIZE,level-up,1
AEGISLASH_BLADE,PURSUIT,level-up,1
AERODACTYL,BITE,level-up,1
AERODACTYL,ANCIENT_POWER,level-up,1
AERODACTYL,IRON_HEAD,level-up,1
AERODACTYL,ICE_FANG,level-up,1
AERODACTYL,FIRE_FANG,level-up,1
AERODACTYL,THUNDER_FANG,level-up,1
AERODACTYL,WING_ATTACK,level-up,1
AERODACTYL,SUPERSONIC,level-up,1
AERODACTYL,SCARY_FACE,level-up,1
AERODACTYL,SUPERSONIC,level-up,5
AERODACTYL,WING_ATTACK,level-up,10
AERODACTYL,SCARY_FACE,level-up,15
AERODACTYL,ROAR,level-up,17
AERODACTYL,ANCIENT_POWER,level-up,25
AERODACTYL,CRUNCH,level-up,31
AERODACTYL,AGILITY,level-up,34
AERODACTYL,TAKE_DOWN,level-up,40
AERODACTYL,ROCK_SLIDE,level-up,44
AERODACTYL,IRON_HEAD,level-up,45
AERODACTYL,STONE_EDGE,level-up,45
AERODACTYL,SKY_DROP,level-up,49
AERODACTYL,HYPER_BEAM,level-up,59
AERODACTYL,GIGA_IMPACT,level-up,69
AERODACTYL,WHIRLWIND,egg,
AERODACTYL,PURSUIT,egg,
AERODACTYL,FORESIGHT,egg,
AERODACTYL,STEEL_WING,egg,
AERODACTYL,DRAGON_BREATH,egg,
AERODACTYL,CURSE,egg,
AERODACTYL,ASSURANCE,egg,
AERODACTYL,DRAGON_CLAW,tm,
AERODACTYL,ROAR,tm,
AERODACTYL,TOXIC,tm,
AERODACTYL,HIDDEN_POWER,tm,
AERODACTYL,SUNNY_DAY,tm,
AERODACTYL,TAUNT,tm,
AERODACTYL,HYPER_BEAM,tm,
AERODACTYL,PROTECT,tm,
AERODACTYL,RAIN_DANCE,tm,
AERODACTYL,FRUSTRATION,tm,
AERODACTYL,IRON_TAIL,tm,
AERODACTYL,EARTHQUAKE,tm,
AERODACTYL,RETURN,tm,
AERODACTYL,DOUBLE_TEAM,tm,
AERODACTYL,FLAMETHROWER,tm,
AERODACTYL,SANDSTORM,tm,
AERODACTYL,FIRE_BLAST,tm,
AERODACTYL,ROCK_TOMB,tm,
AERODACTYL,AERIAL_ACE,tm,
AERODACTYL,TORMENT,tm,
AERODACTYL,FACADE,tm,
AERODACTYL,SECRET_POWER,tm,
AERODACTYL,REST,tm,
AERODACTYL,ATTRACT,tm,
AERODACTYL,THIEF,tm,
AERODACTYL,STEEL_WING,tm,
AERODACTYL,ROOST,tm,
AERODACTYL,ENDURE,tm,
AERODACTYL,DRAGON_PULSE,tm,
AERODACTYL,PAYBACK,tm,
AERODACTYL,GIGA_IMPACT,tm,
AERODACTYL,ROCK_POLISH,tm,
AERODACTYL,STONE_EDGE,tm,
AERODACTYL,STEALTH_ROCK,tm,
AERODACTYL,CAPTIVATE,tm,
AERODACTYL,ROCK_SLIDE,tm,
AERODACTYL,SLEEP_TALK,tm,
AERODACTYL,NATURAL_GIFT,tm,
AERODACTYL,SWAGGER,tm,
AERODACTYL,SUBSTITUTE,tm,
AGGRON,TACKLE,level-up,1
AGGRON,HARDEN,level-up,1
AGGRON,METAL_CLAW,level-up,1
AGGRON,ROCK_TOMB,level-up,1
AGGRON,MUD_SLAP,level-up,1
AGGRON,HEADBUTT,level-up,1
AGGRON,MUD_SLAP,level-up,4
AGGRON,METAL_CLAW,level-up,10
AGGRON,HEADBUTT,level-up,11
AGGRON,ROCK_TOMB,level-up,13
AGGRON,ROAR,level-up,15
AGGRON,PROTECT,level-up,18
AGGRON,ROCK_SLIDE,level-up,24
AGGRON,IRON_HEAD,level-up,25
AGGRON,METAL_SOUND,level-up,33
AGGRON,TAKE_DOWN,level-up,34
AGGRON,IRON_TAIL,level-up,46
AGGRON,AUTOTOMIZE,level-up,49
AGGRON,IRON_DEFENSE,level-up,52
AGGRON,DOUBLE_EDGE,level-up,63
AGGRON,HEAVY_SLAM,level-up,65
AGGRON,METAL_BURST,level-up,76
AGGRON,FOCUS_PUNCH,tm,
AGGRON,DRAGON_CLAW,tm,
AGGRON,WATER_PULSE,tm,
AGGRON,ROAR,tm,
AGGRON,TOXIC,tm,
AGGRON,HIDDEN_POWER,tm,
AGGRON,SUNNY_DAY,tm,
AGGRON,TAUNT,tm,
AGGRON,ICE_BEAM,tm,
AGGRON,BLIZZARD,tm,
AGGRON,HYPER_BEAM,tm,
AGGRON,PROTECT,tm,
AGGRON,RAIN_DANCE,tm,
AGGRON,FRUSTRATION,tm,
AGGRON,SOLAR_BEAM,tm,
AGGRON,IRON_TAIL,tm,
AGGRON,THUNDERBOLT,tm,
AGGRON,THUNDER,tm,
AGGRON,EARTHQUAKE,tm,
AGGRON,RETURN,tm,
AGGRON,DIG,tm,
AGGRON,BRICK_BREAK,tm,
AGGRON,DOUBLE_TEAM,tm,
AGGRON,SHOCK_WAVE,tm,
AGGRON,FLAMETHROWER,tm,
AGGRON,SANDSTORM,tm,
AGGRON,FIRE_BLAST,tm,
AGGRON,ROCK_TOMB,tm,
AGGRON,AERIAL_ACE,tm,
AGGRON,FACADE,tm,
AGGRON,SECRET_POWER,tm,
AGGRON,REST,tm,
AGGRON,ATTRACT,tm,
AGGRON,FOCUS_BLAST,tm,
AGGRON,FLING,tm,
AGGRON,ENDURE,tm,
AGGRON,DRAGON_PULSE,tm,
AGGRON,SHADOW_CLAW,tm,
AGGRON,PAYBACK,tm,
AGGRON,GIGA_IMPACT,tm,
AGGRON,ROCK_POLISH,tm,
AGGRON,STONE_EDGE,tm,
AGGRON,AVALANCHE,tm,
AGGRON,THUNDER_WAVE,tm,
AGGRON,STEALTH_ROCK,tm,
AGGRON,CAPTIVATE,tm,
AGGRON,DARK_PULSE,tm,
AGGRON,ROCK_SLIDE,tm,
AGGRON,SLEEP_TALK,tm,
AGGRON,NATURAL_GIFT,tm,
AGGRON,SWAGGER,tm,
AGGRON,SUBSTITUTE,tm,
AGGRON,FLASH_CANNON,tm,
AIPOM,SCRATCH,level-up,1
AIPOM,TAIL_WHIP,level-up,1
AIPOM,SAND_ATTACK,level-up,4
AIPOM,ASTONISH,level-up,8
AIPOM,BATON_PASS,level-up,11
AIPOM,TICKLE,level-up,15
AIPOM,FURY_SWIPES,level-up,18
AIPOM,SWIFT,level-up,22
AIPOM,SCREECH,level-up,25
AIPOM,AGILITY,level-up,29
AIPOM,DOUBLE_HIT,level-up,32
AIPOM,FLING,level-up,36
AIPOM,NASTY_PLOT,level-up,39
AIPOM,LAST_RESORT,level-up,43
AIPOM,COUNTER,egg,
AIPOM,SCREECH,egg,
AIPOM,PURSUIT,egg,
AIPOM,AGILITY,egg,
AIPOM,SPITE,egg,
AIPOM,SLAM,egg,
AIPOM,DOUBLE_SLAP,egg,
AIPOM,BEAT_UP,egg,
AIPOM,FAKE_OUT,egg,
AIPOM,COVET,egg,
AIPOM,BOUNCE,egg,
AIPOM,FOCUS_PUNCH,tm,
AIPOM,WATER_PULSE,tm,
AIPOM,TOXIC,tm,
AIPOM,HIDDEN_POWER,tm,
AIPOM,SUNNY_DAY,tm,
AIPOM,TAUNT,tm,
AIPOM,PROTECT,tm,
AIPOM,RAIN_DANCE,tm,
AIPOM,FRUSTRATION,tm,
AIPOM,SOLAR_BEAM,tm,
AIPOM,IRON_TAIL,tm,
AIPOM,THUNDERBOLT,tm,
AIPOM,THUNDER,tm,
AIPOM,RETURN,tm,
AIPOM,DIG,tm,
AIPOM,SHADOW_BALL,tm,
AIPOM,BRICK_BREAK,tm,
AIPOM,DOUBLE_TEAM,tm,
AIPOM,SHOCK_WAVE,tm,
AIPOM,AERIAL_ACE,tm,
AIPOM,FACADE,tm,
AIPOM,SECRET_POWER,tm,
AIPOM,REST,tm,
AIPOM,ATTRACT,tm,
AIPOM,THIEF,tm,
AIPOM,SNATCH,tm,
AIPOM,FLING,tm,
AIPOM,ENDURE,tm,
AIPOM,SHADOW_CLAW,tm,
AIPOM,PAYBACK,tm,
AIPOM,THUNDER_WAVE,tm,
AIPOM,CAPTIVATE,tm,
AIPOM,SLEEP_TALK,tm,
AIPOM,NATURAL_GIFT,tm,
AIPOM,DREAM_EATER,tm,
AIPOM,GRASS_KNOT,tm,
AIPOM,SWAGGER,tm,
AIPOM,U_TURN,tm,
AIPOM,SUBSTITUTE,tm,
ALAKAZAM,KINESIS,level-up,
ALAKAZAM,CONFUSION,level-up,1
ALAKAZAM,KINESIS,level-up,1
ALAKAZAM,DISABLE,level-up,1
ALAKAZAM,TELEPORT,level-up,1
ALAKAZAM,PSYBEAM,level-up,12
ALAKAZAM,CONFUSION,level-up,16
ALAKAZAM,REFLECT,level-up,17
ALAKAZAM,DISABLE,level-up,18
ALAKAZAM,PSYCHO_CUT,level-up,23
ALAKAZAM,MIRACLE_EYE,level-up,23
ALAKAZAM,ALLY_SWITCH,level-up,24
ALAKAZAM,RECOVER,level-up,27
ALAKAZAM,PSYSHOCK,level-up,30
ALAKAZAM,TELEKINESIS,level-up,33
ALAKAZAM,PSYCHIC,level-up,36
ALAKAZAM,ROLE_PLAY,level-up,40
ALAKAZAM,FUTURE_SIGHT,level-up,44
ALAKAZAM,CALM_MIND,level-up,45
ALAKAZAM,TRICK,level-up,46
ALAKAZAM,FOCUS_PUNCH,tm,
ALAKAZAM,CALM_MIND,tm,
ALAKAZAM,TOXIC,tm,
ALAKAZAM,HIDDEN_POWER,tm,
ALAKAZAM,SUNNY_DAY,tm,
ALAKAZAM,TAUNT,tm,
ALAKAZAM,HYPER_BEAM,tm,
ALAKAZAM,LIGHT_SCREEN,tm,
ALAKAZAM,PROTECT,tm,
ALAKAZAM,RAIN_DANCE,tm,
ALAKAZAM,SAFEGUARD,tm,
ALAKAZAM,FRUSTRATION,tm,
ALAKAZAM,IRON_TAIL,tm,
ALAKAZAM,RETURN,tm,
ALAKAZAM,PSYCHIC,tm,
ALAKAZAM,SHADOW_BALL,tm,
ALAKAZAM,DOUBLE_TEAM,tm,
ALAKAZAM,REFLECT,tm,
ALAKAZAM,SHOCK_WAVE,tm,
ALAKAZAM,TORMENT,tm,
ALAKAZAM,FACADE,tm,
ALAKAZAM,SECRET_POWER,tm,
ALAKAZAM,REST,tm,
ALAKAZAM,ATTRACT,tm,
ALAKAZAM,THIEF,tm,
ALAKAZAM,SKILL_SWAP,tm,
ALAKAZAM,SNATCH,tm,
ALAKAZAM,FOCUS_BLAST,tm,
ALAKAZAM,ENERGY_BALL,tm,
ALAKAZAM,FLING,tm,
ALAKAZAM,CHARGE_BEAM,tm,
ALAKAZAM,ENDURE,tm,
ALAKAZAM,DRAIN_PUNCH,tm,
ALAKAZAM,EMBARGO,tm,
ALAKAZAM,RECYCLE,tm,
ALAKAZAM,GIGA_IMPACT,tm,
ALAKAZAM,FLASH,tm,
ALAKAZAM,THUNDER_WAVE,tm,
ALAKAZAM,PSYCH_UP,tm,
ALAKAZAM,CAPTIVATE,tm,
ALAKAZAM,SLEEP_TALK,tm,
ALAKAZAM,NATURAL_GIFT,tm,
ALAKAZAM,DREAM_EATER,tm,
ALAKAZAM,GRASS_KNOT,tm,
ALAKAZAM,SWAGGER,tm,
ALAKAZAM,SUBSTITUTE,tm,
ALAKAZAM,TRICK_ROOM,tm,
ALCREMIE,DECORATE,level-up,1
ALCREMIE,TACKLE,level-up,1
ALCREMIE,AROMATIC_MIST,level-up,1
ALCREMIE,SWEET_KISS,level-up,1
ALCREMIE,SWEET_SCENT,level-up,1
ALCREMIE,DRAINING_KISS,level-up,15
ALCREMIE,AROMATHERAPY,level-up,20
ALCREMIE,ATTRACT,level-up,25
ALCREMIE,ACID_ARMOR,level-up,30
ALCREMIE,DAZZLING_GLEAM,level-up,35
ALCREMIE,RECOVER,level-up,40
ALCREMIE,MISTY_TERRAIN,level-up,45
ALCREMIE,ENTRAINMENT,level-up,50
ALCREMIE,CALM_MIND,tm,
ALCREMIE,TOXIC,tm,
ALCREMIE,HIDDEN_POWER,tm,
ALCREMIE,HYPER_BEAM,tm,
ALCREMIE,LIGHT_SCREEN,tm,
ALCREMIE,PROTECT,tm,
ALCREMIE,GIGA_DRAIN,tm,
ALCREMIE,SAFEGUARD,tm,
ALCREMIE,FRUSTRATION,tm,
ALCREMIE,SOLAR_BEAM,tm,
ALCREMIE,RETURN,tm,
ALCREMIE,PSYCHIC,tm,
ALCREMIE,DOUBLE_TEAM,tm,
ALCREMIE,FACADE,tm,
ALCREMIE,SECRET_POWER,tm,
ALCREMIE,REST,tm,
ALCREMIE,ATTRACT,tm,
ALCREMIE,ENERGY_BALL,tm,
ALCREMIE,FLING,tm,
ALCREMIE,ENDURE,tm,
ALCREMIE,DRAIN_PUNCH,tm,
ALCREMIE,GIGA_IMPACT,tm,
ALCREMIE,PSYCH_UP,tm,
ALCREMIE,SLEEP_TALK,tm,
ALCREMIE,SUBSTITUTE,tm,
ALCREMIE_BERRY_SWEET,DECORATE,level-up,1
ALCREMIE_BERRY_SWEET,TACKLE,level-up,1
ALCREMIE_BERRY_SWEET,AROMATIC_MIST,level-up,1
ALCREMIE_BERRY_SWEET,SWEET_KISS,level-up,1
ALCREMIE_BERRY_SWEET,SWEET_SCENT,level-up,1
ALCREMIE_BERRY_SWEET,DRAINING_KISS,level-up,15
ALCREMIE_BERRY_SWEET,AROMATHERAPY,level-up,20
ALCREMIE_BERRY_SWEET,ATTRACT,level-up,25
ALCREMIE_BERRY_SWEET,ACID_ARMOR,level-up,30
ALCREMIE_BERRY_SWEET,DAZZLING_GLEAM,level-up,35
ALCREMIE_BERRY_SWEET,RECOVER,level-up,40
ALCREMIE_BERRY_SWEET,MISTY_TERRAIN,level-up,45
ALCREMIE_BERRY_SWEET,ENTRAINMENT,level-up,50
ALCREMIE_BERRY_SWEET,TOXIC,tm,
ALCREMIE_BERRY_SWEET,HIDDEN_POWER,tm,
ALCREMIE_BERRY_SWEET,HYPER_BEAM,tm,
ALCREMIE_BERRY_SWEET,LIGHT_SCREEN,tm,
ALCREMIE_BERRY_SWEET,PROTECT,tm,
ALCREMIE_BERRY_SWEET,GIGA_DRAIN,tm,
ALCREMIE_BERRY_SWEET,SAFEGUARD,tm,
ALCREMIE_BERRY_SWEET,FRUSTRATION,tm,
ALCREMIE_BERRY_SWEET,SOLAR_BEAM,tm,
ALCREMIE_BERRY_SWEET,RETURN,tm,
ALCREMIE_BERRY_SWEET,PSYCHIC,tm,
ALCREMIE_BERRY_SWEET,DOUBLE_TEAM,tm,
ALCREMIE_BERRY_SWEET,FACADE,tm,
ALCREMIE_BERRY_SWEET,SECRET_POWER,tm,
ALCREMIE_BERRY_SWEET,REST,tm,
